credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,target
596.0,Germany,Male,32.0,3.0,96709.07,2.0,0.0,0.0,41788.37,No
623.0,France,Male,43.0,1.0,0.0,2.0,1.0,1.0,146379.3,No
601.0,Spain,Female,44.0,4.0,0.0,2.0,1.0,0.0,58561.31,No
506.0,Germany,Male,59.0,8.0,119152.1,2.0,1.0,1.0,170679.74,No
560.0,Spain,Female,27.0,7.0,124995.98,1.0,1.0,1.0,114669.79,No
790.0,Spain,Male,37.0,8.0,0.0,2.0,1.0,1.0,149418.41,No
439.0,Spain,Female,32.0,3.0,138901.61,1.0,1.0,0.0,75685.97,No
597.0,Germany,Female,22.0,6.0,101528.61,1.0,1.0,0.0,70529.0,Yes
678.0,Spain,Female,40.0,4.0,113794.22,1.0,1.0,0.0,16618.76,No
464.0,Germany,Female,42.0,3.0,85679.25,1.0,1.0,1.0,164104.74,No
481.0,France,Female,57.0,9.0,0.0,3.0,1.0,1.0,169719.35,Yes
651.0,France,Female,56.0,4.0,0.0,1.0,0.0,0.0,84383.22,Yes
850.0,France,Male,47.0,6.0,0.0,1.0,1.0,0.0,187391.02,Yes
687.0,Germany,Female,41.0,2.0,154007.21,1.0,1.0,0.0,158408.23,No
696.0,France,Male,19.0,1.0,110928.51,1.0,1.0,1.0,2766.63,No
612.0,Spain,Female,36.0,5.0,119799.27,2.0,1.0,0.0,159416.58,No
586.0,Spain,Female,57.0,3.0,0.0,2.0,0.0,1.0,6057.81,No
425.0,Germany,Male,40.0,9.0,166776.6,2.0,0.0,1.0,172646.88,No
643.0,Spain,Male,43.0,1.0,0.0,2.0,1.0,1.0,145764.4,No
641.0,France,Female,37.0,2.0,0.0,2.0,1.0,0.0,3939.87,No
795.0,France,Female,40.0,2.0,101891.1,1.0,1.0,1.0,183044.86,No
762.0,France,Male,35.0,9.0,0.0,2.0,1.0,1.0,43075.7,No
687.0,France,Female,44.0,9.0,0.0,2.0,0.0,0.0,103042.2,Yes
850.0,Spain,Male,37.0,4.0,88141.1,1.0,1.0,0.0,109659.12,No
753.0,France,Female,62.0,6.0,0.0,2.0,1.0,1.0,136398.9,No
678.0,France,Female,49.0,3.0,204510.94,1.0,0.0,1.0,738.88,Yes
578.0,Germany,Male,34.0,8.0,147487.23,2.0,1.0,0.0,66680.77,No
825.0,France,Male,29.0,3.0,148874.01,2.0,0.0,1.0,71192.82,No
696.0,Spain,Female,30.0,0.0,0.0,2.0,1.0,1.0,9002.8,No
457.0,France,Male,40.0,10.0,134320.23,2.0,1.0,0.0,150757.35,No
680.0,France,Female,30.0,8.0,141441.75,1.0,1.0,1.0,16278.97,No
819.0,France,Female,38.0,10.0,0.0,2.0,1.0,0.0,30498.7,No
510.0,France,Female,45.0,10.0,103821.47,2.0,0.0,1.0,77878.62,No
567.0,France,Male,36.0,1.0,0.0,2.0,0.0,0.0,8555.73,No
638.0,Spain,Male,34.0,5.0,146679.77,1.0,1.0,0.0,102179.86,No
579.0,Spain,Male,56.0,4.0,99340.83,1.0,0.0,0.0,4523.74,Yes
715.0,Germany,Female,37.0,9.0,105489.31,1.0,0.0,0.0,143096.49,Yes
587.0,Spain,Female,34.0,1.0,0.0,2.0,1.0,1.0,97932.68,No
711.0,Spain,Male,38.0,3.0,128718.78,1.0,0.0,0.0,114793.45,No
741.0,France,Female,36.0,3.0,0.0,2.0,1.0,1.0,89804.83,No
688.0,France,Male,38.0,7.0,148045.68,1.0,1.0,0.0,175479.92,Yes
475.0,France,Female,45.0,0.0,134264.04,1.0,1.0,0.0,27822.99,Yes
567.0,France,Male,36.0,7.0,0.0,2.0,0.0,1.0,3896.08,No
440.0,France,Male,42.0,2.0,0.0,2.0,1.0,0.0,49826.68,No
741.0,France,Male,42.0,6.0,106036.52,1.0,1.0,0.0,194686.78,Yes
582.0,Germany,Male,41.0,6.0,70349.48,2.0,0.0,1.0,178074.04,No
613.0,France,Male,26.0,4.0,100446.57,1.0,0.0,1.0,149653.81,No
692.0,Germany,Female,43.0,2.0,69014.49,2.0,0.0,0.0,164621.43,No
521.0,France,Male,38.0,5.0,110641.18,1.0,0.0,1.0,136507.69,Yes
759.0,Spain,Female,35.0,7.0,147936.42,1.0,1.0,1.0,106785.7,No
715.0,Germany,Male,42.0,2.0,88120.97,2.0,1.0,1.0,21333.22,No
711.0,France,Female,39.0,3.0,152462.79,1.0,1.0,0.0,90305.97,No
554.0,France,Female,44.0,6.0,92436.86,1.0,1.0,0.0,126033.9,No
