X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,target
-6.228e-05,0.00043633,0.00016562,0.00139257,-0.00044223,0.00020754,0.00097774,0.00051748,-6.84e-06,-9.722e-05,0.00239665,0.00011895,7.439e-05,0.00053223,-2.982e-05,0.00098964,-0.00125851,0.00021472,0.00067162,0.00052763,-0.00014638,-6.54e-06,0.00060851,0.00012892,0.00047084,0.00147577,0.00110626,0.00240156,0.00053823,0.00161534,0.00086654,0.00062205,D
0.0061646,0.00755247,-0.00201322,-0.00658376,0.0118817,-0.00033214,0.00452453,0.00356939,0.00044723,-0.00673395,0.00998726,-0.00068185,0.00021852,-0.00038521,0.00017486,-0.00033531,-0.00024464,-4.813e-05,-0.00125294,0.00382117,0.00142778,-0.00082164,-0.00013066,-0.00013329,0.00995465,0.0135879,0.0057803,0.01206468,0.00047614,0.00041785,0.00426729,0.00084258,P
0.00119599,-0.00023998,0.00032046,0.03332438,0.01356486,-0.0049651,0.00094983,-0.00078958,0.00052381,0.02337935,0.01741305,-0.00335956,-0.00012773,-0.00073076,0.00012897,0.0030606,-0.00220031,-0.00143679,4.399e-05,-0.00028189,2.671e-05,0.00359303,0.00433173,-0.00063067,0.00126122,0.03632041,0.00134163,0.02934442,0.00075296,0.00403398,0.00028655,0.00566317,S
0.00027446,-0.01179108,0.000931,0.00074376,0.00025871,-0.00037936,0.00096381,-0.01207374,-0.00022413,0.00019192,-0.01132183,0.00048518,-0.00063598,-0.00093339,-0.00011553,-0.00086909,0.0001382,0.00036095,-0.00438158,-0.00029489,0.00024681,-9.4e-05,-0.00437633,0.00086327,0.01183096,0.00087408,0.01211422,0.01133385,0.00113535,0.00095116,0.00439842,0.00446165,S
-0.00016688,-0.00038616,1.154e-05,-5.229e-05,6.491e-05,1.079e-05,0.00225294,-0.00139617,0.00022588,-0.00017852,0.00010786,-0.00012896,-0.00017115,-9.804e-05,3.38e-06,-0.00012524,-1.887e-05,5.11e-06,-9.079e-05,-0.00017112,7.745e-05,-0.00111718,-0.0011322,-9.174e-05,0.00042083,8.405e-05,0.00266008,0.00024523,0.00019727,0.00012675,0.00020863,0.00159323,D
-0.00707408,0.0211196,0.00068004,-0.00218608,-0.02068181,0.00297985,-0.00433098,0.01728936,0.00065912,-0.00295487,-0.01929276,0.00190071,-0.00052318,0.00251197,0.000291,-0.00021375,-0.00383725,0.00013646,0.0001922,0.00346351,-0.00027345,-0.00052056,-0.00316083,-0.00014951,0.02228324,0.02100942,0.01783574,0.01961006,0.00258233,0.00384562,0.0034796,0.0032069,S
0.00025857,0.00025434,-1.102e-05,0.00755251,-0.03278412,-0.00033814,0.00021985,0.00034123,-5.563e-05,0.00794257,-0.01932429,-0.00055202,8.04e-06,6.3e-05,-6.62e-06,0.00057928,-0.00183852,-4.294e-05,1.869e-05,7.634e-05,-1.18e-05,0.00047712,-0.00117198,-0.00010875,0.00036287,0.03364451,0.00040971,0.02090018,6.385e-05,0.0019281,7.948e-05,0.00127004,R
-0.00163505,0.0008989,-0.0002423,-0.00041917,-0.00017402,-0.00019204,-0.0006858,0.00019373,-5.315e-05,-0.0029569,0.00176109,-0.0029148,-0.00034443,0.00052414,0.00040386,0.00184158,-0.00252197,0.00438766,2.249e-05,0.00015741,0.00029297,0.00181726,-0.00135159,0.00322635,0.00188152,0.00049282,0.00071462,0.00451007,0.00074596,0.00538547,0.00033333,0.0039419,H
-0.0032545,-0.00635193,-0.00152371,-0.00272654,0.0030104,-0.00108047,-0.00202347,-0.00553984,-0.00146197,-0.00118804,0.00413893,-0.00023041,-1.301e-05,0.0006598,-1.689e-05,-0.00036271,5.112e-05,-6.612e-05,-6.25e-05,0.00025839,-6.39e-05,-0.00021825,0.00015875,-3.6e-07,0.00729798,0.00420285,0.00607631,0.00431222,0.00066015,0.00037221,0.00027342,0.00026989,P
-0.0256514,-0.01294981,-0.00019559,0.00153913,-0.01062003,6.443e-05,-0.01231373,-0.0110481,-0.00147114,0.00255666,-0.01183784,0.0010974,-0.00371454,0.00718116,-0.00161899,0.00082585,0.00323068,-0.00079867,-0.00245167,0.006357,-0.00141812,0.00145976,0.004697,-0.00080201,0.02873552,0.01073118,0.01660881,0.0121604,0.00824549,0.00342887,0.0069594,0.00498356,S
0.00589891,-0.0174298,-0.00127581,0.00015421,-0.01163728,-0.00145082,0.01137795,-0.01805163,-0.00127043,0.00454594,-0.01425807,-0.0010302,0.00349833,0.00163894,-0.00069875,0.00068992,0.00149037,-0.00049818,0.00344968,-0.00108875,-0.00049782,0.00189529,-0.00017641,-4.427e-05,0.01844513,0.01172838,0.02137599,0.01500064,0.0039259,0.00171621,0.00365151,0.001904,R
-0.00097169,0.00026712,1.57e-06,0.00456714,-0.00010789,0.00030232,-0.00059003,0.00013255,5.611e-05,0.00228644,-0.00121774,0.00019938,0.00011137,-0.00010821,-3.152e-05,-9.558e-05,0.00059838,-5.654e-05,4.342e-05,-9.293e-05,-3.094e-05,-0.00047928,0.00040276,-9.4e-05,0.00100774,0.00457841,0.00060733,0.00259817,0.00015845,0.0006086,0.00010714,0.00063305,D
-0.00496588,-0.02053514,0.00139709,0.00201144,-0.01812134,0.00144277,-0.00357877,-0.02227568,0.00133475,0.00319907,-0.01277235,0.00219651,-0.0006678,0.00104623,-0.00028723,0.00013445,0.00135791,-0.00021267,-0.00053391,0.00033962,-0.00038419,-0.00032378,-0.00016086,-0.00010855,0.02117319,0.01828963,0.02260078,0.01334884,0.00127399,0.00138103,0.00074027,0.00037748,R
-0.00241822,0.00097939,7.876e-05,0.00273974,-0.0403815,-0.00010754,-0.00294647,0.00064376,0.00015064,0.00206741,-0.0314202,-0.000217,-0.00022169,-7.53e-06,2.477e-05,-0.00074042,-0.00522145,-8.186e-05,-0.00015007,-5.661e-05,2.687e-05,-0.00050788,-0.00281583,-7.66e-05,0.00261021,0.04047448,0.00301974,0.0314889,0.00022319,0.00527432,0.00016263,0.00286229,R
0.00698231,-0.01011986,-0.00192127,0.00053653,-0.00229134,-0.00097061,0.00560021,-0.00616047,-0.00068586,-0.00065881,-0.00181243,-0.00012015,0.00071499,-0.00210243,-0.00031961,-0.00028006,0.00055719,3.706e-05,-4.708e-05,-0.00132047,-3.117e-05,-0.00026159,0.00028407,6.74e-06,0.01244409,0.00254562,0.00835369,0.00193219,0.00224356,0.00062472,0.00132168,0.00038622,S
0.00044393,0.00045568,-0.0001874,-0.00522564,-0.02889006,0.00324015,-4.486e-05,0.00060836,-9.08e-05,8.775e-05,-0.00686939,0.00210333,1.374e-05,3.966e-05,-3.207e-05,-0.00162583,-0.00972658,0.00099688,6.357e-05,1.836e-05,-2.408e-05,5.959e-05,-0.00260672,0.00064147,0.0006632,0.02953712,0.00061673,0.00718472,5.282e-05,0.00991178,7.042e-05,0.00268515,S
-0.0066222,0.00540848,0.00068942,0.00164208,0.00127744,-0.00021537,-0.00404789,0.00521065,0.0007358,0.0023648,0.00089242,-0.00026595,-0.00103064,-0.00043705,0.00022085,-2.438e-05,-0.0001532,0.00015207,-0.00054542,-0.00015869,0.00016449,-1.274e-05,-0.00087953,0.0001351,0.00857791,0.00209157,0.00663911,0.00254154,0.00114105,0.00021723,0.00059137,0.00088994,S
0.00360767,-0.00062475,-0.00043002,0.00074403,0.00132455,0.0002698,0.00372036,-0.00092218,-0.00050431,0.00080818,0.00249165,0.00025532,-0.00032737,8.09e-05,4.666e-05,-5.625e-05,0.00050781,1.722e-05,-0.00022329,0.00014759,4.71e-05,-2.05e-06,0.00088431,3.877e-05,0.00368653,0.00154298,0.00386599,0.00263185,0.00034043,0.00051121,0.00027177,0.00088516,D
-0.00085402,-0.00052022,-8.8e-07,0.00417056,-0.04530541,-0.00193913,-0.00012177,0.00020926,1.216e-05,-0.00149865,-0.03930426,-0.00393236,-0.00030091,-7.104e-05,-1.76e-06,0.00031732,-0.00320663,-0.00011993,-0.00025422,7.398e-05,-3.169e-05,-0.00030231,-0.00119309,-9.343e-05,0.00099999,0.04553827,0.00024242,0.0395289,0.00030918,0.00322453,0.00026666,0.00123433,R
0.00087451,-7.182e-05,-3.521e-05,0.00651676,0.00149178,-0.00092987,0.00086641,-0.00103971,-2.613e-05,7.57e-05,-0.00051818,-8.866e-05,-0.0002059,3.673e-05,1.976e-05,0.00400927,0.0003279,0.00011177,-1.64e-05,6.751e-05,-1.27e-06,-9.889e-05,6.429e-05,-2.42e-05,0.00087816,0.00674968,0.00135364,0.00053113,0.00021008,0.00402421,6.949e-05,0.0001204,D
-0.00010852,-2.94e-05,1.964e-05,-0.00023004,-0.00205472,-0.00025356,-9.326e-05,-4.771e-05,2.45e-05,2.904e-05,-0.00021512,-2.677e-05,-4.15e-06,-4.45e-06,8.2e-07,-1.884e-05,3.225e-05,1.549e-05,-4.14e-06,-3.87e-06,1.3e-06,2.97e-06,-1.043e-05,3.49e-06,0.00011414,0.00208305,0.00010758,0.00021871,6.14e-06,4.043e-05,5.81e-06,1.139e-05,S
7.519e-05,-4.448e-05,1.138e-05,-0.00031867,-0.00011215,-3.371e-05,-1.964e-05,-5e-06,-1.07e-05,-0.00026578,-9.84e-05,-2.972e-05,-1.581e-05,2.14e-06,3.2e-07,4.63e-06,3.08e-06,3.38e-06,-3.56e-06,9e-08,3.9e-07,1.49e-06,3.9e-07,1.75e-06,8.81e-05,0.00033951,2.292e-05,0.00028496,1.596e-05,6.51e-06,3.59e-06,2.33e-06,D
0.00464832,0.00994211,0.00204304,0.00185171,-0.02207454,-0.00475019,0.00119731,0.01626844,0.00220558,0.00322852,-0.02227267,-0.00482841,8.776e-05,-0.00338207,0.00052288,-0.00126829,0.00395709,-0.0007766,-0.00101943,-0.00194134,0.00046441,0.00058092,0.0019763,-0.00024925,0.01116362,0.02265565,0.01646087,0.02301757,0.00342338,0.00422732,0.00224137,0.00207493,S
0.00184232,-0.00370971,-0.00033216,0.00367717,-0.00060752,-0.00022034,-0.00120384,-7.41e-06,8.221e-05,0.00353903,-0.00031728,-3.473e-05,-4.811e-05,0.00046941,1.579e-05,-0.00036467,0.0003858,1.291e-05,0.00027076,0.00019121,1.404e-05,-0.00022648,0.00135633,7.58e-05,0.00415529,0.00373353,0.00120667,0.0035534,0.00047213,0.00053103,0.00033177,0.0013772,R
0.00100785,-0.0014254,-0.00025596,-0.00263439,-0.00493621,-0.00053584,0.00114996,-0.00026161,-0.00023327,-0.00108013,-0.00326961,-0.00052617,-0.00022816,0.00017104,5.658e-05,0.00030113,0.00059868,2.284e-05,-0.00025551,6.18e-05,5.673e-05,5.752e-05,0.00025061,3.451e-05,0.00176438,0.0056208,0.00120219,0.00348337,0.00029071,0.00067053,0.00026893,0.00025943,R
-8.191e-05,-0.00032151,-0.0003302,0.00102848,0.00085398,-0.00021903,-0.00022307,0.00016634,-0.00012374,0.00163265,0.00187935,-0.00062029,-2.055e-05,6.519e-05,6.01e-06,0.00015976,0.0002388,-2.669e-05,-3.227e-05,3.81e-05,-4.6e-07,0.00016114,0.00017532,-5.216e-05,0.00046809,0.00135463,0.00030454,0.00256559,6.862e-05,0.00028855,4.993e-05,0.00024378,P
-0.00075321,-0.00157301,-0.00024944,-3.69e-05,-0.0002464,0.00011684,-0.00051395,-0.00108719,-0.00020365,0.00102703,-0.00031977,4.05e-05,-0.0001012,-0.00015347,-1.186e-05,-0.00014115,-7.483e-05,1.403e-05,-7.17e-05,-9.706e-05,-7.74e-06,9.17e-06,-6.155e-05,3.3e-06,0.00176179,0.00027519,0.00121967,0.00107642,0.00018422,0.00016038,0.00012092,6.232e-05,D
-0.0038666,-0.00166986,-9.157e-05,0.00047037,-0.00139914,-1.405e-05,-0.00063229,-0.00046223,-9.048e-05,0.00051108,-0.00128252,-5.546e-05,-0.00068332,-0.00028495,1.502e-05,-1.072e-05,3.389e-05,2.06e-06,4.92e-05,5.535e-05,5.1e-06,-4.98e-06,2.596e-05,3.31e-06,0.00421276,0.00147615,0.00078844,0.00138172,0.00074051,3.561e-05,7.423e-05,2.664e-05,P
0.00204127,0.00033073,0.00010432,-0.00048729,-0.00046434,-0.00013545,7.781e-05,-4.865e-05,-3.13e-06,-0.00029173,-0.0003306,-4.733e-05,-0.00018037,-1.953e-05,-7.31e-06,2.574e-05,1.939e-05,6.63e-06,3.56e-06,-2.23e-06,-1.5e-07,1.238e-05,1.076e-05,1.72e-06,0.00207052,0.00068659,9.182e-05,0.00044345,0.00018157,3.29e-05,4.2e-06,1.65e-05,D
-0.00032162,-0.00433717,-0.00175091,-0.00327149,0.00823321,0.00232534,0.00127285,-0.00260695,-0.00119683,-0.00195833,0.00487149,0.00200352,0.0003356,0.0004335,2.744e-05,0.00075855,-0.00050328,-0.00033959,0.00019009,0.0001712,-3.872e-05,0.0003032,0.00012075,-0.00015095,0.0046883,0.00915945,0.00313827,0.00561966,0.00054892,0.0009716,0.00025873,0.00035958,H
0.0003876,-0.00053137,5.725e-05,-0.00027881,-0.00047731,1.683e-05,-7.494e-05,-0.00015349,-6.59e-06,-0.00011686,-0.00026935,7.848e-05,-0.00013669,6.364e-05,-6.29e-06,-9.013e-05,1.78e-05,1.06e-05,-2.75e-06,7.55e-06,1.54e-06,-7.621e-05,1.11e-06,1.343e-05,0.0006602,0.00055303,0.00017093,0.00030391,0.00015091,9.248e-05,8.18e-06,7.74e-05,D
0.00010679,-9.316e-05,-6.408e-05,0.00015974,5.042e-05,5.394e-05,4.449e-05,-4.957e-05,-4.794e-05,0.00014755,6.193e-05,5.615e-05,-1.1e-05,5.5e-06,2.13e-06,-8.46e-06,-3.38e-06,-2.97e-06,-8.08e-06,3.25e-06,1.45e-06,-5.13e-06,-2.68e-06,-2.07e-06,0.00015553,0.00017598,8.206e-05,0.00016959,1.248e-05,9.58e-06,8.83e-06,6.14e-06,D
