V1,V2,V3,V4,V5,V6,V7,V8,target
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,3.0
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,1.0
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,2.0
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,2.0
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,1.0
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,1.0
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,3.0
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,3.0
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,2.0
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,3.0
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,3.0
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,2.0
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,3.0
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,2.0
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,2.0
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,3.0
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,1.0
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,2.0
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,1.0
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,2.0
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,3.0
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,2.0
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,3.0
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,2.0
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,2.0
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,3.0
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,3.0
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,3.0
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,3.0
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,3.0
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,2.0
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,3.0
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,3.0
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,3.0
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,3.0
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,1.0
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,3.0
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,1.0
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,3.0
