age,workclass,fnlwgt,education,educationNum,maritalStatus,occupation,relationship,race,sex,capitalGain,capitalLoss,hoursPerWeek,nativeCountry,target
59.0,Local-gov,53612.0,Masters,14.0,Separated,Prof-specialty,Own-child,Black,Female,0.0,0.0,35.0,United-States,-1.0
51.0,Private,136913.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,-1.0
58.0,Self-emp-not-inc,331474.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,20.0,United-States,1.0
36.0,Private,52327.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0.0,0.0,40.0,Iran,1.0
61.0,Private,136109.0,11th,7.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45.0,United-States,-1.0
19.0,Private,233779.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,-1.0
27.0,Self-emp-inc,186733.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50.0,United-States,-1.0
44.0,State-gov,174325.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Black,Male,7688.0,0.0,40.0,United-States,1.0
32.0,Private,323055.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,-1.0
28.0,Private,338376.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,United-States,-1.0
21.0,Private,222490.0,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,40.0,United-States,-1.0
24.0,Private,196674.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,-1.0
41.0,Private,281725.0,5th-6th,3.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,Mexico,-1.0
21.0,Private,195248.0,Some-college,10.0,Never-married,Sales,Own-child,Other,Female,0.0,0.0,20.0,United-States,-1.0
47.0,Private,171751.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1.0
25.0,Private,169323.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0.0,0.0,40.0,United-States,-1.0
20.0,Private,368852.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,-1.0
30.0,Private,211028.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45.0,United-States,-1.0
44.0,Private,118550.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,33.0,United-States,-1.0
25.0,Private,304032.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,36.0,United-States,-1.0
28.0,Private,190525.0,Masters,14.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,United-States,-1.0
30.0,Self-emp-not-inc,176185.0,Some-college,10.0,Married-spouse-absent,Craft-repair,Own-child,White,Male,0.0,0.0,60.0,United-States,1.0
33.0,Private,402848.0,HS-grad,9.0,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,0.0,0.0,32.0,United-States,-1.0
48.0,Private,195554.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298.0,0.0,40.0,United-States,1.0
44.0,Private,68748.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,-1.0
