Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
EV,5457.0,ATL,TLH,5,1047.0,63.0,0
OH,6350.0,DSM,MSP,5,1020.0,66.0,1
WN,759.0,SJC,ONT,2,425.0,70.0,0
OO,6417.0,LAX,SMX,3,621.0,55.0,1
YV,7306.0,SYR,IAD,3,618.0,77.0,1
EV,5275.0,ATL,JAN,1,494.0,84.0,0
DL,2160.0,MIA,ATL,6,1130.0,124.0,1
UA,272.0,EWR,ORD,6,510.0,165.0,0
EV,7107.0,IAD,LGA,5,1055.0,85.0,1
9E,4288.0,MKE,CVG,3,945.0,85.0,0
FL,217.0,MKE,RSW,1,855.0,174.0,0
DL,736.0,SMF,ATL,1,1365.0,258.0,1
AA,2264.0,DFW,RDU,1,1175.0,150.0,1
US,5.0,PHX,ORD,3,800.0,201.0,1
AA,1769.0,LGA,MIA,2,550.0,200.0,0
WN,3658.0,BUR,PHX,7,930.0,85.0,0
WN,186.0,HOU,JAN,4,960.0,65.0,0
EV,5266.0,ATL,MGM,1,770.0,54.0,1
US,1980.0,PHL,PVD,4,945.0,68.0,1
B6,622.0,HOU,JFK,2,945.0,204.0,0
UA,262.0,SEA,IAD,6,1392.0,291.0,0
WN,3586.0,BWI,SAN,3,975.0,360.0,0
B6,79.0,JFK,MCO,6,1320.0,165.0,1
DL,1726.0,FLL,ATL,6,970.0,120.0,0
YV,7257.0,DTW,ORD,5,1060.0,77.0,1
OO,4662.0,ABQ,SLC,1,360.0,99.0,1
AA,522.0,PDX,DFW,3,945.0,215.0,0
FL,463.0,BWI,ATL,3,1167.0,125.0,0
OH,6332.0,CLE,CVG,4,440.0,76.0,1
DL,1244.0,FLL,JFK,2,510.0,173.0,0
DL,1509.0,MSP,DEN,4,555.0,125.0,1
OO,6907.0,ORD,DSM,7,1085.0,76.0,1
WN,3012.0,MDW,MSP,6,725.0,90.0,1
US,567.0,PHX,MCO,2,599.0,246.0,1
XE,2409.0,CLE,MCI,7,1092.0,124.0,1
OO,4464.0,SLC,BZN,3,1191.0,80.0,0
CO,787.0,EWR,SNA,6,1020.0,365.0,1
EV,5464.0,OMA,DTW,3,810.0,119.0,0
YV,2949.0,PHX,TEX,4,775.0,121.0,0
DL,1036.0,SLC,ATL,6,916.0,219.0,0
XE,2277.0,IAH,BRO,7,700.0,68.0,1
EV,5188.0,ATL,DSM,4,1155.0,145.0,1
EV,5005.0,MEM,DEN,3,815.0,155.0,1
OH,6283.0,DTW,CVG,2,940.0,80.0,0
WN,150.0,HOU,MAF,4,540.0,85.0,0
UA,822.0,IAD,RDU,3,1060.0,71.0,1
DL,2267.0,BDL,ATL,4,1087.0,166.0,1
EV,7104.0,IAD,CAE,5,1313.0,81.0,0
AS,605.0,LAS,SEA,6,790.0,164.0,0
AA,1578.0,MFE,DFW,7,715.0,100.0,1
DL,2244.0,MSP,MKE,3,790.0,71.0,1
B6,375.0,LGA,FLL,2,577.0,186.0,1
XE,5909.0,PIA,ORD,2,865.0,58.0,1
FL,376.0,TPA,MKE,3,1106.0,169.0,0
WN,2043.0,DEN,PHL,7,840.0,220.0,1
YV,1027.0,OGG,HNL,7,890.0,32.0,0
OO,6635.0,ORD,ORF,4,830.0,119.0,0
B6,917.0,JFK,ORD,7,990.0,170.0,0
AA,34.0,LAX,JFK,1,510.0,322.0,0
WN,2314.0,OAK,SAN,5,785.0,80.0,1
EV,7070.0,CAE,ORD,2,448.0,128.0,0
FL,421.0,PNS,ATL,4,1090.0,70.0,1
OO,6441.0,DAY,DEN,3,971.0,186.0,0
FL,897.0,LGA,IND,7,1019.0,135.0,1
B6,38.0,JFK,ROC,5,1200.0,86.0,0
DL,2752.0,TPA,LGA,1,775.0,157.0,0
OO,6466.0,LAX,SLC,7,465.0,110.0,0
OO,6509.0,TUS,LAX,4,486.0,95.0,0
EV,5181.0,ATL,MLU,2,612.0,110.0,1
DL,2614.0,SEA,MSP,6,935.0,197.0,1
US,90.0,PHL,ORD,4,475.0,152.0,1
WN,1289.0,SEA,SMF,1,465.0,105.0,0
WN,1110.0,ABQ,HOU,5,1060.0,115.0,1
WN,378.0,DAL,BHM,7,1105.0,90.0,1
MQ,3390.0,HOU,DFW,7,895.0,70.0,0
US,270.0,PHX,LAS,1,520.0,71.0,0
DL,2713.0,DTW,MSN,5,925.0,82.0,0
EV,5551.0,VPS,ATL,3,465.0,79.0,0
WN,1277.0,CLE,MDW,7,1230.0,80.0,1
DL,1970.0,ATL,BUF,2,815.0,122.0,0
FL,852.0,MCO,ATL,1,1129.0,91.0,0
WN,2019.0,PHX,SLC,6,1020.0,95.0,1
WN,3575.0,BNA,MCI,1,1030.0,105.0,1
MQ,3068.0,SAN,LAX,2,945.0,45.0,0
FL,27.0,MDW,ATL,2,711.0,109.0,0
AA,719.0,MIA,TPA,2,1080.0,60.0,0
DL,2176.0,MCO,LGA,4,560.0,159.0,0
FL,793.0,ATL,STL,6,1345.0,102.0,0
MQ,4353.0,ORD,CLE,2,1170.0,80.0,1
MQ,4028.0,JAX,ORD,2,1035.0,170.0,0
DL,400.0,ATL,MSP,7,725.0,160.0,1
DL,22.0,SEA,ATL,3,701.0,284.0,1
CO,1457.0,CLE,SEA,2,535.0,312.0,1
OO,6509.0,TUS,LAX,4,486.0,95.0,0
OO,6448.0,TUS,LAX,1,688.0,92.0,0
AA,369.0,DFW,ABQ,4,765.0,110.0,0
EV,5149.0,ATL,TLH,5,660.0,67.0,0
B6,602.0,JFK,PWM,4,750.0,73.0,0
EV,4967.0,BMI,ATL,7,1120.0,105.0,0
EV,7095.0,IAD,ROA,5,1333.0,55.0,0
XE,2867.0,OKC,IAH,5,1125.0,82.0,0
EV,5446.0,VPS,ATL,2,613.0,74.0,0
CO,338.0,EWR,MIA,7,390.0,181.0,0
FL,840.0,MCO,ATL,3,591.0,90.0,1
B6,28.0,TPA,JFK,3,1115.0,155.0,1
EV,7129.0,IAD,BTV,6,1041.0,91.0,1
OO,6338.0,LAX,SAN,5,962.0,45.0,1
WN,417.0,OAK,SNA,4,375.0,85.0,1
WN,662.0,PHX,ABQ,2,1135.0,65.0,1
US,1085.0,CLT,MCO,4,885.0,102.0,1
WN,50.0,HOU,DAL,5,1110.0,60.0,1
WN,1100.0,SDF,MDW,3,1055.0,75.0,1
OO,6824.0,ORD,SBN,2,407.0,39.0,0
AA,1038.0,DFW,MSP,3,445.0,140.0,0
