Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
WN,343.0,LAX,ELP,7.0,615.0,110.0,1.0
9E,3669.0,SGF,MEM,4.0,390.0,71.0,0.0
OO,6416.0,SFO,ABQ,6.0,914.0,136.0,0.0
UA,184.0,SFO,PHL,6.0,551.0,334.0,0.0
CO,1123.0,BOS,EWR,2.0,515.0,80.0,1.0
OH,6341.0,DTW,ATW,1.0,545.0,99.0,0.0
DL,1731.0,PDX,SLC,6.0,795.0,103.0,0.0
F9,609.0,IND,DEN,6.0,1195.0,165.0,0.0
FL,96.0,RDU,ATL,1.0,375.0,85.0,0.0
FL,707.0,ATL,DAY,3.0,1335.0,95.0,0.0
UA,269.0,RIC,ORD,5.0,1002.0,133.0,0.0
WN,270.0,BDL,LAS,2.0,805.0,365.0,1.0
CO,1780.0,SEA,EWR,4.0,675.0,312.0,1.0
US,2122.0,LGA,BOS,2.0,600.0,71.0,0.0
WN,720.0,LAS,MDW,2.0,450.0,210.0,1.0
XE,2887.0,EWR,BWI,2.0,470.0,76.0,0.0
FL,30.0,ATL,MDW,5.0,525.0,112.0,0.0
DL,2060.0,MIA,ATL,4.0,964.0,121.0,0.0
WN,1717.0,OAK,AUS,1.0,600.0,205.0,1.0
AA,335.0,LGA,ORD,6.0,900.0,170.0,0.0
AS,583.0,SNA,PDX,2.0,885.0,148.0,1.0
9E,4210.0,MEM,STL,3.0,1180.0,75.0,0.0
B6,597.0,HPN,MCO,4.0,1180.0,165.0,1.0
WN,1533.0,ABQ,ELP,1.0,1085.0,55.0,1.0
CO,1703.0,LAX,EWR,1.0,515.0,318.0,1.0
FL,1051.0,MCO,ABE,1.0,945.0,143.0,0.0
OH,6556.0,MSY,CVG,2.0,1010.0,124.0,0.0
OO,7046.0,DEN,TUL,2.0,612.0,90.0,0.0
CO,1535.0,EWR,PHX,5.0,405.0,340.0,0.0
MQ,4650.0,LGA,ATL,1.0,360.0,150.0,0.0
CO,89.0,IAH,EWR,4.0,360.0,200.0,0.0
US,1715.0,DCA,FLL,3.0,885.0,154.0,0.0
F9,796.0,PDX,DEN,7.0,904.0,143.0,1.0
WN,941.0,ISP,BWI,3.0,745.0,75.0,1.0
WN,1529.0,SNA,SMF,6.0,1025.0,85.0,0.0
WN,3333.0,PHX,TUL,1.0,970.0,135.0,1.0
OH,6349.0,DTW,LIT,1.0,932.0,147.0,0.0
AA,1991.0,DCA,DFW,6.0,710.0,210.0,0.0
XE,2212.0,IAH,BTR,4.0,1055.0,61.0,0.0
B6,746.0,SJU,MCO,7.0,980.0,187.0,1.0
DL,1213.0,ROC,ATL,5.0,940.0,144.0,1.0
CO,1663.0,RSW,IAH,3.0,1100.0,162.0,0.0
F9,358.0,DEN,TPA,5.0,700.0,204.0,1.0
UA,626.0,ORD,PHL,6.0,1096.0,129.0,0.0
US,834.0,CLT,PVD,4.0,1189.0,111.0,0.0
UA,931.0,SFO,LAX,3.0,1129.0,92.0,1.0
OH,6550.0,DCA,JFK,4.0,545.0,81.0,1.0
CO,328.0,EWR,CLT,3.0,1065.0,128.0,0.0
HA,146.0,HNL,OGG,5.0,520.0,37.0,0.0
DL,2583.0,ATL,SLC,7.0,500.0,265.0,0.0
AA,371.0,LGA,ORD,2.0,1235.0,150.0,1.0
DL,1691.0,ATL,TPA,3.0,1370.0,86.0,1.0
WN,1026.0,PVD,MCO,1.0,465.0,190.0,0.0
OO,6291.0,LAX,ELP,7.0,760.0,111.0,0.0
