Gold2000,Silver2000,Bronze2000,Total2000,Population,Athletes,GDP,Total1996,Log1996,Log.population,Log.GDP,target
39.0,25.0,33.0,97.0,274028.0,664.0,7567100.0,101.0,4.615121,12.520986,15.83932,N
32.0,28.0,28.0,88.0,147434.0,468.0,356030.0,63.0,4.143135,11.901136,12.78277,N
28.0,16.0,15.0,59.0,1255698.0,295.0,906079.0,50.0,3.912023,14.043202,13.716882,N
16.0,25.0,17.0,58.0,18520.0,655.0,367802.0,41.0,3.713572,9.826607,12.8153,N
14.0,17.0,26.0,57.0,82133.0,497.0,2364632.0,65.0,4.174387,11.316095,14.676133,N
13.0,14.0,11.0,38.0,58683.0,359.0,1533619.0,37.0,3.610918,10.979905,14.243141,N
14.0,8.0,13.0,35.0,57369.0,413.0,1140484.0,35.0,3.555348,10.957259,13.946963,N
11.0,11.0,7.0,29.0,11116.0,245.0,18600.0,25.0,3.218876,9.316141,9.830917,N
11.0,10.0,7.0,28.0,58649.0,355.0,1152136.0,15.0,2.70805,10.979326,13.957128,N
8.0,9.0,11.0,28.0,23348.0,292.0,483130.0,27.0,3.295837,10.058267,13.088041,N
11.0,6.0,9.0,26.0,22474.0,169.0,36191.0,20.0,2.995732,10.020114,10.496566,N
12.0,9.0,4.0,25.0,15678.0,254.0,402565.0,19.0,2.944439,9.660014,12.905612,N
3.0,10.0,10.0,23.0,50861.0,248.0,60904.0,23.0,3.135494,10.836852,11.017054,N
5.0,8.0,5.0,18.0,126281.0,286.0,5149185.0,14.0,2.639057,11.746265,15.454349,N
8.0,6.0,3.0,17.0,10116.0,204.0,44274.0,21.0,3.044522,9.221874,10.698153,N
3.0,3.0,11.0,17.0,10315.0,156.0,22452.0,15.0,2.70805,9.241354,10.019135,N
6.0,5.0,3.0,14.0,38718.0,205.0,124682.0,17.0,2.833213,10.56406,11.733522,N
3.0,3.0,8.0,14.0,30563.0,332.0,569899.0,22.0,3.091042,10.327545,13.253214,N
5.0,6.0,2.0,13.0,8336.0,98.0,9924.0,15.0,2.70805,9.028339,9.202711,P
