Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement,target
0.0,1.0,0.0,0.0,1.0,1953.0,1.0,N
0.0,0.0,0.0,0.0,1.0,1953.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1953.0,1.0,N
1.0,0.0,0.0,0.0,0.0,1953.0,0.0,N
1.0,0.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
1.0,0.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1953.0,1.0,N
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,N
0.0,0.0,0.0,0.0,0.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1953.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,N
6.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,1.0,N
0.0,0.0,0.0,0.0,1.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,N
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,1.0,N
1.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,N
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,1.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,N
2.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,N
