Year,Row,Group,target
1983.0,1.0,1.0,P
1983.0,2.0,1.0,N
1983.0,3.0,1.0,N
1983.0,4.0,1.0,N
1983.0,5.0,2.0,N
1983.0,6.0,2.0,N
1983.0,7.0,2.0,P
1983.0,8.0,2.0,P
1983.0,9.0,3.0,P
1983.0,10.0,3.0,P
1983.0,11.0,3.0,P
1983.0,12.0,3.0,P
1983.0,13.0,4.0,P
1983.0,14.0,4.0,P
1983.0,15.0,4.0,N
1983.0,16.0,4.0,N
1983.0,17.0,5.0,P
1983.0,18.0,5.0,N
1983.0,19.0,5.0,P
1983.0,20.0,5.0,P
1983.0,21.0,6.0,P
1983.0,22.0,6.0,N
1983.0,23.0,6.0,N
1983.0,24.0,6.0,N
1983.0,25.0,7.0,N
1983.0,26.0,7.0,N
1983.0,27.0,7.0,N
1983.0,28.0,7.0,N
1983.0,29.0,8.0,N
1983.0,30.0,8.0,N
1983.0,31.0,8.0,N
1983.0,32.0,8.0,N
1983.0,33.0,9.0,P
1983.0,34.0,9.0,N
1983.0,35.0,9.0,N
1983.0,36.0,9.0,N
1983.0,37.0,10.0,N
1983.0,38.0,10.0,N
1983.0,39.0,10.0,N
1983.0,40.0,10.0,N
1983.0,41.0,11.0,N
1983.0,42.0,11.0,N
1983.0,43.0,11.0,N
1983.0,44.0,11.0,N
1983.0,45.0,12.0,N
1983.0,46.0,12.0,P
1983.0,47.0,12.0,P
1983.0,48.0,12.0,P
1983.0,49.0,13.0,P
1983.0,50.0,13.0,P
1983.0,51.0,13.0,P
1983.0,52.0,13.0,P
1984.0,1.0,1.0,P
1984.0,2.0,1.0,P
1984.0,3.0,1.0,N
1984.0,4.0,1.0,N
1984.0,5.0,2.0,P
1984.0,6.0,2.0,N
1984.0,7.0,2.0,N
1984.0,8.0,2.0,N
1984.0,9.0,3.0,N
1984.0,10.0,3.0,N
1984.0,11.0,3.0,N
1984.0,12.0,3.0,P
1984.0,13.0,4.0,N
1984.0,14.0,4.0,P
1984.0,15.0,4.0,P
1984.0,16.0,4.0,N
1984.0,17.0,5.0,N
1984.0,18.0,5.0,N
1984.0,19.0,5.0,P
1984.0,20.0,5.0,N
1984.0,21.0,6.0,N
1984.0,22.0,6.0,N
1984.0,23.0,6.0,N
1984.0,24.0,6.0,N
1984.0,25.0,7.0,N
1984.0,26.0,7.0,N
1984.0,27.0,7.0,N
1984.0,28.0,7.0,N
1984.0,29.0,8.0,N
1984.0,30.0,8.0,N
1984.0,31.0,8.0,N
1984.0,32.0,8.0,N
1984.0,33.0,9.0,N
1984.0,34.0,9.0,N
1984.0,35.0,9.0,N
1984.0,36.0,9.0,P
1984.0,37.0,10.0,N
1984.0,38.0,10.0,N
1984.0,39.0,10.0,P
1984.0,40.0,10.0,P
1984.0,41.0,11.0,N
1984.0,42.0,11.0,P
1984.0,43.0,11.0,P
1984.0,44.0,11.0,P
1984.0,45.0,12.0,N
1984.0,46.0,12.0,N
1984.0,47.0,12.0,N
1984.0,48.0,12.0,N
1984.0,49.0,13.0,N
1984.0,50.0,13.0,P
1984.0,51.0,13.0,P
1984.0,52.0,13.0,P
1985.0,1.0,1.0,P
1985.0,2.0,1.0,P
1985.0,3.0,1.0,P
1985.0,4.0,1.0,P
1985.0,5.0,2.0,P
1985.0,6.0,2.0,P
1985.0,7.0,2.0,P
1985.0,8.0,2.0,P
1985.0,9.0,3.0,P
1985.0,10.0,3.0,P
1985.0,11.0,3.0,P
1985.0,12.0,3.0,P
1985.0,13.0,4.0,P
1985.0,14.0,4.0,P
1985.0,15.0,4.0,P
1985.0,16.0,4.0,P
1985.0,17.0,5.0,P
1985.0,18.0,5.0,P
1985.0,19.0,5.0,P
1985.0,20.0,5.0,P
1985.0,21.0,6.0,P
1985.0,22.0,6.0,N
1985.0,23.0,6.0,P
1985.0,24.0,6.0,N
1985.0,25.0,7.0,N
1985.0,26.0,7.0,N
1985.0,27.0,7.0,N
1985.0,28.0,7.0,N
1985.0,29.0,8.0,N
1985.0,30.0,8.0,N
1985.0,31.0,8.0,N
1985.0,32.0,8.0,N
1985.0,33.0,9.0,N
1985.0,34.0,9.0,P
1985.0,35.0,9.0,P
1985.0,36.0,9.0,P
1985.0,37.0,10.0,N
1985.0,38.0,10.0,N
1985.0,39.0,10.0,N
1985.0,40.0,10.0,N
1985.0,41.0,11.0,N
1985.0,42.0,11.0,N
1985.0,43.0,11.0,N
1985.0,44.0,11.0,N
1985.0,45.0,12.0,N
1985.0,46.0,12.0,P
1985.0,47.0,12.0,P
1985.0,48.0,12.0,P
1985.0,49.0,13.0,P
1985.0,50.0,13.0,P
1985.0,51.0,13.0,P
1985.0,52.0,13.0,P
1986.0,1.0,1.0,P
1986.0,2.0,1.0,P
1986.0,3.0,1.0,P
1986.0,4.0,1.0,N
1986.0,5.0,2.0,N
1986.0,6.0,2.0,P
1986.0,7.0,2.0,P
1986.0,8.0,2.0,P
1986.0,9.0,3.0,P
1986.0,10.0,3.0,P
1986.0,11.0,3.0,P
1986.0,12.0,3.0,P
1986.0,13.0,4.0,P
1986.0,14.0,4.0,P
1986.0,15.0,4.0,P
1986.0,16.0,4.0,P
1986.0,17.0,5.0,P
1986.0,18.0,5.0,P
1986.0,19.0,5.0,P
1986.0,20.0,5.0,P
1986.0,21.0,6.0,P
1986.0,22.0,6.0,P
1986.0,23.0,6.0,P
1986.0,24.0,6.0,P
1986.0,25.0,7.0,P
1986.0,26.0,7.0,P
1986.0,27.0,7.0,P
1986.0,28.0,7.0,P
1986.0,29.0,8.0,P
1986.0,30.0,8.0,P
1986.0,31.0,8.0,P
1986.0,32.0,8.0,P
1986.0,33.0,9.0,P
1986.0,34.0,9.0,P
1986.0,35.0,9.0,P
1986.0,36.0,9.0,P
1986.0,37.0,10.0,P
1986.0,38.0,10.0,P
1986.0,39.0,10.0,P
1986.0,40.0,10.0,P
1986.0,41.0,11.0,P
1986.0,42.0,11.0,P
1986.0,43.0,11.0,P
1986.0,44.0,11.0,P
1986.0,45.0,12.0,P
1986.0,46.0,12.0,P
1986.0,47.0,12.0,P
1986.0,48.0,12.0,P
1986.0,49.0,13.0,P
1986.0,50.0,13.0,P
1986.0,51.0,13.0,P
1986.0,52.0,13.0,P
1987.0,1.0,1.0,P
1987.0,2.0,1.0,P
1987.0,3.0,1.0,P
1987.0,4.0,1.0,P
1987.0,5.0,2.0,P
1987.0,6.0,2.0,N
1987.0,7.0,2.0,P
1987.0,8.0,2.0,P
1987.0,9.0,3.0,N
1987.0,10.0,3.0,P
1987.0,11.0,3.0,P
1987.0,12.0,3.0,P
1987.0,13.0,4.0,P
1987.0,14.0,4.0,P
1987.0,15.0,4.0,P
1987.0,16.0,4.0,N
1987.0,17.0,5.0,N
1987.0,18.0,5.0,N
1987.0,19.0,5.0,N
1987.0,20.0,5.0,N
1987.0,21.0,6.0,N
1987.0,22.0,6.0,N
1987.0,23.0,6.0,N
1987.0,24.0,6.0,N
1987.0,25.0,7.0,N
1987.0,26.0,7.0,N
1987.0,27.0,7.0,N
1987.0,28.0,7.0,N
1987.0,29.0,8.0,N
1987.0,30.0,8.0,N
1987.0,31.0,8.0,N
1987.0,32.0,8.0,N
1987.0,33.0,9.0,N
1987.0,34.0,9.0,N
1987.0,35.0,9.0,N
1987.0,36.0,9.0,N
1987.0,37.0,10.0,P
1987.0,38.0,10.0,N
1987.0,39.0,10.0,P
1987.0,40.0,10.0,N
1987.0,41.0,11.0,P
1987.0,42.0,11.0,P
1987.0,43.0,11.0,P
1987.0,44.0,11.0,P
1987.0,45.0,12.0,P
1987.0,46.0,12.0,P
1987.0,47.0,12.0,P
1987.0,48.0,12.0,P
1987.0,49.0,13.0,P
1987.0,50.0,13.0,P
1987.0,51.0,13.0,P
1987.0,52.0,13.0,P
1988.0,1.0,1.0,P
1988.0,2.0,1.0,P
1988.0,3.0,1.0,P
1988.0,4.0,1.0,P
1988.0,5.0,2.0,P
1988.0,6.0,2.0,P
1988.0,7.0,2.0,P
1988.0,8.0,2.0,P
1988.0,9.0,3.0,P
1988.0,10.0,3.0,P
1988.0,11.0,3.0,P
1988.0,12.0,3.0,P
1988.0,13.0,4.0,N
1988.0,14.0,4.0,P
1988.0,15.0,4.0,P
1988.0,16.0,4.0,P
1988.0,17.0,5.0,P
1988.0,18.0,5.0,P
1988.0,19.0,5.0,P
1988.0,20.0,5.0,P
1988.0,21.0,6.0,P
1988.0,22.0,6.0,P
1988.0,23.0,6.0,P
1988.0,24.0,6.0,P
1988.0,25.0,7.0,P
1988.0,26.0,7.0,P
1988.0,27.0,7.0,P
1988.0,28.0,7.0,P
1988.0,29.0,8.0,P
1988.0,30.0,8.0,P
1988.0,31.0,8.0,N
1988.0,32.0,8.0,P
1988.0,33.0,9.0,P
1988.0,34.0,9.0,P
1988.0,35.0,9.0,N
1988.0,36.0,9.0,N
1988.0,37.0,10.0,N
1988.0,38.0,10.0,N
1988.0,39.0,10.0,N
1988.0,40.0,10.0,N
