group,conc,age,at.risk,target
1.0,0.0,22.5,2595529.0,P
1.0,0.0,27.5,1846189.0,N
1.0,0.0,32.5,1402764.0,P
1.0,0.0,37.5,1215899.0,N
1.0,0.0,42.5,1191615.0,N
1.0,0.0,47.5,1111810.0,N
1.0,0.0,52.5,957985.0,N
1.0,0.0,57.5,774836.0,N
1.0,0.0,62.5,634758.0,N
1.0,0.0,67.5,492203.0,N
1.0,0.0,72.5,342767.0,N
1.0,0.0,77.5,199630.0,N
1.0,0.0,82.5,96293.0,N
2.0,10.0,22.5,934.0,P
2.0,10.0,27.5,489.0,P
2.0,10.0,32.5,276.0,P
2.0,10.0,37.5,317.0,P
2.0,10.0,42.5,374.0,P
2.0,10.0,47.5,435.0,N
2.0,10.0,52.5,342.0,P
2.0,10.0,57.5,277.0,N
2.0,10.0,62.5,203.0,N
2.0,10.0,67.5,175.0,P
2.0,10.0,72.5,105.0,N
2.0,10.0,77.5,78.0,N
2.0,10.0,82.5,38.0,P
3.0,11.0,22.5,666.0,P
3.0,11.0,27.5,267.0,P
3.0,11.0,32.5,310.0,P
3.0,11.0,37.5,221.0,P
3.0,11.0,42.5,311.0,P
3.0,11.0,47.5,292.0,P
3.0,11.0,52.5,295.0,P
3.0,11.0,57.5,265.0,P
3.0,11.0,62.5,203.0,P
3.0,11.0,67.5,143.0,P
3.0,11.0,72.5,93.0,P
3.0,11.0,77.5,69.0,P
3.0,11.0,82.5,59.0,P
4.0,30.0,22.5,1003.0,P
4.0,30.0,27.5,591.0,P
4.0,30.0,32.5,481.0,P
4.0,30.0,37.5,405.0,P
4.0,30.0,42.5,462.0,P
4.0,30.0,47.5,397.0,P
4.0,30.0,52.5,392.0,P
4.0,30.0,57.5,353.0,P
4.0,30.0,62.5,317.0,P
4.0,30.0,67.5,199.0,N
4.0,30.0,72.5,115.0,P
4.0,30.0,77.5,71.0,N
4.0,30.0,82.5,75.0,P
5.0,32.0,22.5,1545.0,P
5.0,32.0,27.5,865.0,P
5.0,32.0,32.5,673.0,P
5.0,32.0,37.5,709.0,P
5.0,32.0,42.5,744.0,P
5.0,32.0,47.5,644.0,P
5.0,32.0,52.5,563.0,N
5.0,32.0,57.5,439.0,P
5.0,32.0,62.5,318.0,P
5.0,32.0,67.5,238.0,N
5.0,32.0,72.5,167.0,P
