V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,target
1.89,3240.0,0.14,0.0,v1,v1,7239.0,v1,1.0,v1,1.98,0.0,class2
5.55,3608.0,0.5,2.0,v2,v1,7164.0,v2,0.0,v1,1.86,2.0,class2
6.36,3388.0,0.13,2.0,v1,v1,4498.0,v1,2.0,v1,2.03,1.0,class2
4.23,3137.0,0.44,2.0,v1,v2,7160.0,v3,1.0,v3,1.18,2.0,class3
6.1,3473.0,0.4,2.0,v2,v2,4586.0,v1,1.0,v3,0.58,1.0,class3
1.63,3142.0,0.52,1.0,v1,v1,4507.0,v2,0.0,v1,1.16,0.0,class2
5.6,3141.0,0.66,1.0,v1,v2,7237.0,v1,0.0,v3,0.58,1.0,class3
8.28,3251.0,0.13,0.0,v2,v2,7326.0,v2,2.0,v3,1.14,1.0,class3
1.47,3551.0,0.32,0.0,v1,v1,4420.0,v3,0.0,v2,2.05,1.0,class2
6.66,3073.0,0.44,1.0,v2,v1,6629.0,v1,1.0,v1,1.67,0.0,class3
6.43,3138.0,0.44,1.0,v1,v1,3263.0,v1,2.0,v1,0.81,2.0,class2
5.89,3517.0,0.26,0.0,v1,v1,4125.0,v1,2.0,v1,0.57,0.0,class3
6.04,3539.0,0.51,1.0,v1,v1,7328.0,v1,1.0,v1,1.16,0.0,class3
2.8,3515.0,0.4,1.0,v2,v1,7326.0,v2,0.0,v1,1.29,0.0,class3
8.28,3151.0,0.64,2.0,v1,v1,4575.0,v1,1.0,v1,0.57,2.0,class2
7.93,3138.0,0.46,2.0,v2,v1,4518.0,v3,2.0,v1,1.05,1.0,class2
5.51,3473.0,0.3,2.0,v1,v1,6165.0,v3,1.0,v1,0.56,1.0,class1
8.24,3140.0,0.5,1.0,v2,v1,7335.0,v2,2.0,v1,1.02,0.0,class2
5.43,3076.0,0.48,1.0,v2,v2,6924.0,v2,0.0,v3,0.57,2.0,class2
2.73,3386.0,0.4,0.0,v1,v1,5387.0,v3,1.0,v1,1.67,2.0,class1
1.6,3124.0,0.24,1.0,v1,v1,3607.0,v3,0.0,v1,1.23,2.0,class2
5.68,3148.0,0.53,2.0,v1,v2,4645.0,v1,2.0,v3,1.97,2.0,class2
8.23,3139.0,0.4,1.0,v1,v1,4394.0,v1,1.0,v1,1.22,0.0,class2
4.36,3420.0,0.65,0.0,v2,v2,3767.0,v3,0.0,v2,1.71,1.0,class2
7.0,3567.0,0.62,0.0,v2,v2,4432.0,v2,2.0,v3,1.2,0.0,class3
1.78,3221.0,0.52,0.0,v2,v1,3038.0,v1,0.0,v1,1.89,2.0,class1
7.57,3130.0,0.42,1.0,v1,v1,4509.0,v3,1.0,v1,1.92,0.0,class2
5.44,3150.0,0.31,2.0,v2,v1,3026.0,v2,1.0,v1,1.72,1.0,class2
7.1,3447.0,0.47,1.0,v2,v1,7348.0,v3,0.0,v1,1.68,0.0,class2
7.22,3465.0,0.52,2.0,v1,v1,6270.0,v1,2.0,v1,1.04,1.0,class2
6.52,3164.0,0.4,0.0,v1,v1,4538.0,v1,0.0,v1,1.78,1.0,class2
5.87,3090.0,0.54,2.0,v1,v1,3159.0,v1,2.0,v2,0.83,2.0,class2
1.46,3146.0,0.44,2.0,v2,v1,4486.0,v2,1.0,v1,0.6,1.0,class2
6.75,3213.0,0.53,1.0,v2,v1,3355.0,v3,0.0,v1,1.83,1.0,class1
8.36,3122.0,0.4,1.0,v1,v2,6988.0,v3,0.0,v3,0.57,0.0,class3
6.76,3608.0,0.13,0.0,v2,v1,3093.0,v1,2.0,v1,0.6,0.0,class3
6.71,3406.0,0.5,2.0,v2,v1,4563.0,v3,2.0,v1,1.79,1.0,class2
6.08,3105.0,0.47,2.0,v1,v1,3192.0,v1,0.0,v1,1.35,2.0,class1
7.25,3125.0,0.41,2.0,v1,v1,6144.0,v1,0.0,v1,1.57,2.0,class1
6.49,3324.0,0.27,0.0,v2,v1,4474.0,v2,2.0,v1,0.93,1.0,class3
2.19,3599.0,0.44,2.0,v1,v1,5121.0,v2,1.0,v1,1.27,1.0,class3
5.57,3554.0,0.37,1.0,v1,v1,6447.0,v3,1.0,v1,0.57,2.0,class3
3.26,3117.0,0.13,1.0,v2,v1,5909.0,v3,2.0,v1,1.83,1.0,class1
7.65,3119.0,0.53,2.0,v1,v1,4748.0,v1,1.0,v1,0.59,2.0,class2
5.54,3143.0,0.45,1.0,v2,v1,4552.0,v3,0.0,v1,1.65,1.0,class2
