left-weight,left-distance,right-weight,right-distance,target
1.0,1.0,1.0,1.0,N
1.0,1.0,1.0,2.0,N
1.0,1.0,1.0,3.0,N
1.0,1.0,1.0,4.0,N
1.0,1.0,1.0,5.0,N
1.0,1.0,2.0,1.0,N
1.0,1.0,2.0,2.0,N
1.0,1.0,2.0,3.0,N
1.0,1.0,2.0,4.0,N
1.0,1.0,2.0,5.0,N
1.0,1.0,3.0,1.0,N
1.0,1.0,3.0,2.0,N
1.0,1.0,3.0,3.0,N
1.0,1.0,3.0,4.0,N
1.0,1.0,3.0,5.0,N
1.0,1.0,4.0,1.0,N
1.0,1.0,4.0,2.0,N
1.0,1.0,4.0,3.0,N
1.0,1.0,4.0,4.0,N
1.0,1.0,4.0,5.0,N
1.0,1.0,5.0,1.0,N
1.0,1.0,5.0,2.0,N
1.0,1.0,5.0,3.0,N
1.0,1.0,5.0,4.0,N
1.0,1.0,5.0,5.0,N
1.0,2.0,1.0,1.0,P
1.0,2.0,1.0,2.0,N
1.0,2.0,1.0,3.0,N
1.0,2.0,1.0,4.0,N
1.0,2.0,1.0,5.0,N
1.0,2.0,2.0,1.0,N
1.0,2.0,2.0,2.0,N
1.0,2.0,2.0,3.0,N
1.0,2.0,2.0,4.0,N
1.0,2.0,2.0,5.0,N
1.0,2.0,3.0,1.0,N
1.0,2.0,3.0,2.0,N
1.0,2.0,3.0,3.0,N
1.0,2.0,3.0,4.0,N
1.0,2.0,3.0,5.0,N
1.0,2.0,4.0,1.0,N
1.0,2.0,4.0,2.0,N
1.0,2.0,4.0,3.0,N
1.0,2.0,4.0,4.0,N
1.0,2.0,4.0,5.0,N
1.0,2.0,5.0,1.0,N
1.0,2.0,5.0,2.0,N
1.0,2.0,5.0,3.0,N
1.0,2.0,5.0,4.0,N
1.0,2.0,5.0,5.0,N
1.0,3.0,1.0,1.0,P
1.0,3.0,1.0,2.0,P
1.0,3.0,1.0,3.0,N
1.0,3.0,1.0,4.0,N
1.0,3.0,1.0,5.0,N
1.0,3.0,2.0,1.0,P
1.0,3.0,2.0,2.0,N
1.0,3.0,2.0,3.0,N
1.0,3.0,2.0,4.0,N
1.0,3.0,2.0,5.0,N
1.0,3.0,3.0,1.0,N
1.0,3.0,3.0,2.0,N
1.0,3.0,3.0,3.0,N
1.0,3.0,3.0,4.0,N
1.0,3.0,3.0,5.0,N
1.0,3.0,4.0,1.0,N
1.0,3.0,4.0,2.0,N
1.0,3.0,4.0,3.0,N
1.0,3.0,4.0,4.0,N
1.0,3.0,4.0,5.0,N
1.0,3.0,5.0,1.0,N
1.0,3.0,5.0,2.0,N
1.0,3.0,5.0,3.0,N
1.0,3.0,5.0,4.0,N
1.0,3.0,5.0,5.0,N
1.0,4.0,1.0,1.0,P
1.0,4.0,1.0,2.0,P
1.0,4.0,1.0,3.0,P
1.0,4.0,1.0,4.0,N
1.0,4.0,1.0,5.0,N
1.0,4.0,2.0,1.0,P
1.0,4.0,2.0,2.0,N
1.0,4.0,2.0,3.0,N
1.0,4.0,2.0,4.0,N
1.0,4.0,2.0,5.0,N
1.0,4.0,3.0,1.0,P
1.0,4.0,3.0,2.0,N
1.0,4.0,3.0,3.0,N
1.0,4.0,3.0,4.0,N
1.0,4.0,3.0,5.0,N
1.0,4.0,4.0,1.0,N
1.0,4.0,4.0,2.0,N
1.0,4.0,4.0,3.0,N
1.0,4.0,4.0,4.0,N
1.0,4.0,4.0,5.0,N
1.0,4.0,5.0,1.0,N
1.0,4.0,5.0,2.0,N
1.0,4.0,5.0,3.0,N
1.0,4.0,5.0,4.0,N
1.0,4.0,5.0,5.0,N
1.0,5.0,1.0,1.0,P
1.0,5.0,1.0,2.0,P
1.0,5.0,1.0,3.0,P
1.0,5.0,1.0,4.0,P
1.0,5.0,1.0,5.0,N
1.0,5.0,2.0,1.0,P
1.0,5.0,2.0,2.0,P
1.0,5.0,2.0,3.0,N
1.0,5.0,2.0,4.0,N
1.0,5.0,2.0,5.0,N
1.0,5.0,3.0,1.0,P
1.0,5.0,3.0,2.0,N
1.0,5.0,3.0,3.0,N
1.0,5.0,3.0,4.0,N
1.0,5.0,3.0,5.0,N
1.0,5.0,4.0,1.0,P
1.0,5.0,4.0,2.0,N
1.0,5.0,4.0,3.0,N
1.0,5.0,4.0,4.0,N
1.0,5.0,4.0,5.0,N
1.0,5.0,5.0,1.0,N
1.0,5.0,5.0,2.0,N
1.0,5.0,5.0,3.0,N
1.0,5.0,5.0,4.0,N
1.0,5.0,5.0,5.0,N
2.0,1.0,1.0,1.0,P
2.0,1.0,1.0,2.0,N
2.0,1.0,1.0,3.0,N
2.0,1.0,1.0,4.0,N
2.0,1.0,1.0,5.0,N
2.0,1.0,2.0,1.0,N
2.0,1.0,2.0,2.0,N
2.0,1.0,2.0,3.0,N
2.0,1.0,2.0,4.0,N
2.0,1.0,2.0,5.0,N
2.0,1.0,3.0,1.0,N
2.0,1.0,3.0,2.0,N
2.0,1.0,3.0,3.0,N
2.0,1.0,3.0,4.0,N
2.0,1.0,3.0,5.0,N
2.0,1.0,4.0,1.0,N
2.0,1.0,4.0,2.0,N
2.0,1.0,4.0,3.0,N
2.0,1.0,4.0,4.0,N
2.0,1.0,4.0,5.0,N
2.0,1.0,5.0,1.0,N
2.0,1.0,5.0,2.0,N
2.0,1.0,5.0,3.0,N
2.0,1.0,5.0,4.0,N
2.0,1.0,5.0,5.0,N
2.0,2.0,1.0,1.0,P
2.0,2.0,1.0,2.0,P
2.0,2.0,1.0,3.0,P
2.0,2.0,1.0,4.0,N
2.0,2.0,1.0,5.0,N
2.0,2.0,2.0,1.0,P
2.0,2.0,2.0,2.0,N
2.0,2.0,2.0,3.0,N
2.0,2.0,2.0,4.0,N
2.0,2.0,2.0,5.0,N
2.0,2.0,3.0,1.0,P
2.0,2.0,3.0,2.0,N
2.0,2.0,3.0,3.0,N
2.0,2.0,3.0,4.0,N
2.0,2.0,3.0,5.0,N
2.0,2.0,4.0,1.0,N
2.0,2.0,4.0,2.0,N
2.0,2.0,4.0,3.0,N
2.0,2.0,4.0,4.0,N
2.0,2.0,4.0,5.0,N
2.0,2.0,5.0,1.0,N
2.0,2.0,5.0,2.0,N
2.0,2.0,5.0,3.0,N
2.0,2.0,5.0,4.0,N
2.0,2.0,5.0,5.0,N
2.0,3.0,1.0,1.0,P
2.0,3.0,1.0,2.0,P
2.0,3.0,1.0,3.0,P
2.0,3.0,1.0,4.0,P
2.0,3.0,1.0,5.0,P
2.0,3.0,2.0,1.0,P
2.0,3.0,2.0,2.0,P
2.0,3.0,2.0,3.0,N
2.0,3.0,2.0,4.0,N
2.0,3.0,2.0,5.0,N
2.0,3.0,3.0,1.0,P
2.0,3.0,3.0,2.0,N
2.0,3.0,3.0,3.0,N
2.0,3.0,3.0,4.0,N
2.0,3.0,3.0,5.0,N
2.0,3.0,4.0,1.0,P
2.0,3.0,4.0,2.0,N
2.0,3.0,4.0,3.0,N
2.0,3.0,4.0,4.0,N
2.0,3.0,4.0,5.0,N
2.0,3.0,5.0,1.0,P
2.0,3.0,5.0,2.0,N
2.0,3.0,5.0,3.0,N
2.0,3.0,5.0,4.0,N
2.0,3.0,5.0,5.0,N
2.0,4.0,1.0,1.0,P
2.0,4.0,1.0,2.0,P
2.0,4.0,1.0,3.0,P
2.0,4.0,1.0,4.0,P
2.0,4.0,1.0,5.0,P
2.0,4.0,2.0,1.0,P
2.0,4.0,2.0,2.0,P
2.0,4.0,2.0,3.0,P
2.0,4.0,2.0,4.0,N
2.0,4.0,2.0,5.0,N
2.0,4.0,3.0,1.0,P
2.0,4.0,3.0,2.0,P
2.0,4.0,3.0,3.0,N
2.0,4.0,3.0,4.0,N
2.0,4.0,3.0,5.0,N
2.0,4.0,4.0,1.0,P
2.0,4.0,4.0,2.0,N
2.0,4.0,4.0,3.0,N
2.0,4.0,4.0,4.0,N
2.0,4.0,4.0,5.0,N
2.0,4.0,5.0,1.0,P
2.0,4.0,5.0,2.0,N
2.0,4.0,5.0,3.0,N
2.0,4.0,5.0,4.0,N
2.0,4.0,5.0,5.0,N
2.0,5.0,1.0,1.0,P
2.0,5.0,1.0,2.0,P
2.0,5.0,1.0,3.0,P
2.0,5.0,1.0,4.0,P
2.0,5.0,1.0,5.0,P
2.0,5.0,2.0,1.0,P
2.0,5.0,2.0,2.0,P
2.0,5.0,2.0,3.0,P
2.0,5.0,2.0,4.0,P
2.0,5.0,2.0,5.0,N
2.0,5.0,3.0,1.0,P
2.0,5.0,3.0,2.0,P
2.0,5.0,3.0,3.0,P
2.0,5.0,3.0,4.0,N
2.0,5.0,3.0,5.0,N
2.0,5.0,4.0,1.0,P
2.0,5.0,4.0,2.0,P
2.0,5.0,4.0,3.0,N
2.0,5.0,4.0,4.0,N
2.0,5.0,4.0,5.0,N
2.0,5.0,5.0,1.0,P
2.0,5.0,5.0,2.0,N
2.0,5.0,5.0,3.0,N
2.0,5.0,5.0,4.0,N
2.0,5.0,5.0,5.0,N
3.0,1.0,1.0,1.0,P
3.0,1.0,1.0,2.0,P
3.0,1.0,1.0,3.0,N
3.0,1.0,1.0,4.0,N
3.0,1.0,1.0,5.0,N
3.0,1.0,2.0,1.0,P
3.0,1.0,2.0,2.0,N
3.0,1.0,2.0,3.0,N
3.0,1.0,2.0,4.0,N
3.0,1.0,2.0,5.0,N
3.0,1.0,3.0,1.0,N
3.0,1.0,3.0,2.0,N
3.0,1.0,3.0,3.0,N
3.0,1.0,3.0,4.0,N
3.0,1.0,3.0,5.0,N
3.0,1.0,4.0,1.0,N
3.0,1.0,4.0,2.0,N
3.0,1.0,4.0,3.0,N
3.0,1.0,4.0,4.0,N
3.0,1.0,4.0,5.0,N
3.0,1.0,5.0,1.0,N
3.0,1.0,5.0,2.0,N
3.0,1.0,5.0,3.0,N
3.0,1.0,5.0,4.0,N
3.0,1.0,5.0,5.0,N
3.0,2.0,1.0,1.0,P
3.0,2.0,1.0,2.0,P
3.0,2.0,1.0,3.0,P
3.0,2.0,1.0,4.0,P
3.0,2.0,1.0,5.0,P
3.0,2.0,2.0,1.0,P
3.0,2.0,2.0,2.0,P
3.0,2.0,2.0,3.0,N
3.0,2.0,2.0,4.0,N
3.0,2.0,2.0,5.0,N
3.0,2.0,3.0,1.0,P
