raw,target
1.76,N
1.76,N
1.76,N
1.76,N
1.74,N
1.72,N
1.68,P
1.68,P
1.76,N
1.84,N
1.84,N
1.86,N
1.86,N
1.88,N
1.88,N
1.84,N
1.76,P
1.66,P
1.76,P
1.82,N
1.78,P
1.84,N
1.88,N
1.94,N
1.94,N
1.9,N
1.9,N
1.92,N
1.92,N
1.92,N
1.94,N
1.94,N
1.92,N
1.96,N
1.66,P
1.92,N
1.94,N
1.92,N
1.86,N
1.76,P
1.8,P
1.86,N
1.94,N
1.94,N
1.9,N
1.92,N
1.92,N
1.94,N
1.92,N
1.92,N
1.94,N
1.92,N
1.96,N
2.0,N
1.94,N
1.92,N
1.94,N
1.92,N
1.8,P
1.78,P
1.78,P
1.86,P
1.92,N
1.94,N
1.94,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.94,N
1.94,N
1.92,N
1.88,P
1.86,P
1.8,P
1.8,P
1.84,P
1.68,P
1.88,P
1.92,N
1.96,N
1.96,N
1.94,N
1.96,N
2.0,N
2.0,N
1.98,N
1.0,P
1.94,N
1.96,N
1.96,N
1.96,N
1.96,N
1.94,N
1.94,N
1.94,N
1.94,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.96,N
1.98,N
1.96,N
1.96,N
2.0,N
2.02,N
1.98,N
1.96,N
1.98,N
1.96,N
1.92,N
1.74,P
1.8,P
1.86,P
1.9,P
1.96,N
2.0,N
2.0,N
1.98,N
1.94,N
1.92,N
1.94,N
1.98,N
1.62,P
1.98,N
1.96,N
1.96,N
1.98,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
1.98,N
1.98,N
1.58,P
2.0,N
2.0,N
2.02,N
2.04,N
2.04,N
2.0,N
1.98,N
2.0,N
2.0,N
1.96,N
1.9,P
1.82,P
1.9,P
2.0,N
2.0,N
1.94,N
2.0,N
2.0,N
1.98,N
2.0,N
2.0,N
1.54,P
2.02,N
2.04,N
2.04,N
2.04,N
2.04,N
1.94,N
1.82,P
2.02,N
2.04,N
2.04,N
2.04,N
2.04,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
2.0,N
1.72,P
1.96,N
2.0,N
2.0,N
1.96,N
1.96,N
2.0,N
2.0,N
1.96,N
1.88,P
1.64,P
2.0,N
2.04,N
2.0,N
2.06,N
2.0,N
2.0,N
2.0,N
2.0,N
1.96,N
2.02,N
1.92,P
1.96,N
1.86,P
2.0,N
2.0,N
1.98,N
2.0,N
2.04,N
2.02,N
2.0,N
2.02,N
2.0,N
2.0,N
2.02,N
1.38,P
2.0,N
1.96,N
1.98,N
2.0,N
2.02,N
2.02,N
2.0,N
1.96,N
1.92,P
1.92,P
1.92,P
1.96,N
2.0,N
2.0,N
2.0,N
2.02,N
2.02,N
2.02,N
2.02,N
2.0,N
2.0,N
1.96,N
1.98,N
2.0,N
1.96,N
2.02,N
2.0,N
2.02,N
2.02,N
2.04,N
2.02,N
2.0,N
2.04,N
2.08,N
2.06,N
2.04,N
2.02,N
2.0,N
2.0,N
2.02,N
2.04,N
2.04,N
2.02,N
2.0,N
1.78,P
1.84,P
1.88,P
2.0,N
2.04,N
2.02,N
2.0,N
1.68,P
2.02,N
2.04,N
2.04,N
2.04,N
2.08,N
2.0,N
2.04,N
2.0,N
1.72,P
1.88,P
2.0,N
2.04,N
2.02,N
2.0,N
2.04,N
2.04,N
2.02,N
2.04,N
2.04,N
2.02,N
2.04,N
2.08,N
2.08,N
2.04,N
2.04,N
2.06,N
2.04,N
2.02,N
2.0,N
1.76,P
1.84,P
1.92,P
1.84,P
1.94,P
2.0,N
2.04,N
2.06,N
2.04,N
2.04,N
2.02,N
2.0,N
2.0,N
2.02,N
2.04,N
2.02,N
2.04,N
2.02,N
0.72,P
2.04,N
2.04,N
2.04,N
2.08,N
2.06,N
2.02,N
2.06,N
2.04,N
1.82,P
1.88,P
2.04,N
2.02,N
2.04,N
2.04,N
2.04,N
1.58,P
2.08,N
2.02,N
2.04,N
2.0,N
1.84,P
