V1,V6,V10,V12,V13,V14,V15,target
29,590.0,25,124.0,1,-1.0,0,2
41,2823.0,14,858.0,1,-1.0,0,2
40,1558.0,20,44.0,15,-1.0,0,1
23,377.0,28,7.0,1,-1.0,0,1
55,127.0,21,1130.0,8,-1.0,0,2
43,511.0,30,67.0,7,-1.0,0,1
56,5496.0,3,330.0,3,-1.0,0,1
27,168.0,12,123.0,1,196.0,1,2
30,697.0,28,545.0,2,181.0,8,2
48,83.0,13,1101.0,1,-1.0,0,2
42,765.0,27,78.0,8,-1.0,0,1
40,0.0,29,245.0,3,-1.0,0,1
60,174.0,15,241.0,1,364.0,1,1
60,493.0,18,671.0,4,-1.0,0,2
39,0.0,20,286.0,4,-1.0,0,1
67,2048.0,16,452.0,5,195.0,4,2
29,872.0,21,173.0,2,-1.0,0,1
35,331.0,14,857.0,2,-1.0,0,2
38,0.0,13,531.0,2,-1.0,0,2
57,5961.0,14,166.0,3,-1.0,0,1
43,983.0,26,97.0,1,-1.0,0,2
51,0.0,15,177.0,4,99.0,2,1
57,202.0,20,207.0,1,346.0,2,1
57,63.0,25,1448.0,17,-1.0,0,2
27,1820.0,17,1027.0,1,-1.0,0,2
43,14646.0,23,210.0,1,-1.0,0,2
47,1110.0,23,329.0,3,-1.0,0,1
35,515.0,29,114.0,3,-1.0,0,1
57,2038.0,9,628.0,1,182.0,2,2
38,367.0,20,128.0,2,-1.0,0,1
39,171.0,8,153.0,1,353.0,1,1
45,-33.0,28,198.0,3,-1.0,0,1
40,60.0,20,325.0,2,-1.0,0,1
30,1320.0,5,122.0,3,362.0,1,1
30,2166.0,12,316.0,2,-1.0,0,2
45,1251.0,21,126.0,4,-1.0,0,1
66,0.0,12,701.0,1,-1.0,0,1
57,0.0,6,355.0,1,-1.0,0,2
29,1934.0,29,271.0,1,-1.0,0,2
80,155.0,12,290.0,1,93.0,2,2
32,623.0,6,335.0,3,194.0,2,2
41,542.0,11,64.0,2,347.0,1,1
34,158.0,9,278.0,2,132.0,4,2
55,1938.0,18,193.0,1,386.0,3,2
35,126.0,16,472.0,1,-1.0,0,1
29,818.0,5,61.0,1,-1.0,0,1
30,0.0,10,1399.0,1,-1.0,0,2
27,4661.0,8,114.0,1,-1.0,0,2
25,329.0,14,158.0,2,-1.0,0,1
53,261.0,14,154.0,2,336.0,2,1
29,0.0,15,218.0,1,-1.0,0,1
54,0.0,18,144.0,2,-1.0,0,1
46,11385.0,24,269.0,3,-1.0,0,2
39,8.0,29,1028.0,2,-1.0,0,1
49,293.0,28,452.0,1,-1.0,0,2
55,-196.0,20,210.0,2,-1.0,0,1
45,4877.0,8,172.0,2,-1.0,0,1
46,2166.0,23,870.0,1,-1.0,0,2
60,631.0,12,429.0,2,-1.0,0,2
46,0.0,3,305.0,13,-1.0,0,2
43,1927.0,20,149.0,1,152.0,1,1
58,7881.0,28,507.0,8,-1.0,0,1
57,380.0,18,878.0,2,-1.0,0,1
43,1046.0,9,901.0,1,-1.0,0,2
27,119.0,16,781.0,2,-1.0,0,2
53,592.0,13,151.0,1,-1.0,0,1
47,555.0,17,478.0,1,-1.0,0,2
27,178.0,3,732.0,2,-1.0,0,2
39,283.0,26,126.0,2,-1.0,0,1
41,5291.0,14,1423.0,3,-1.0,0,2
29,464.0,10,317.0,2,518.0,1,2
29,110.0,13,1036.0,1,-1.0,0,2
46,499.0,31,37.0,10,-1.0,0,1
44,961.0,20,314.0,2,-1.0,0,1
34,1242.0,29,578.0,3,-1.0,0,1
54,1624.0,12,166.0,3,182.0,10,2
59,5397.0,23,671.0,3,-1.0,0,2
54,1633.0,3,409.0,2,-1.0,0,2
28,1609.0,18,98.0,2,315.0,3,1
47,238.0,13,3076.0,1,-1.0,0,2
31,16.0,20,73.0,1,-1.0,0,1
37,980.0,8,1306.0,5,-1.0,0,2
59,363.0,30,400.0,1,-1.0,0,2
62,2801.0,9,261.0,1,183.0,1,2
31,242.0,9,106.0,4,-1.0,0,1
49,-454.0,14,558.0,1,-1.0,0,2
32,398.0,13,716.0,1,-1.0,0,2
43,555.0,12,175.0,2,369.0,2,1
46,-591.0,9,126.0,1,-1.0,0,1
55,139.0,30,26.0,25,-1.0,0,1
38,0.0,27,297.0,1,75.0,3,2
61,2.0,12,131.0,1,114.0,3,2
52,199.0,12,246.0,2,-1.0,0,1
23,107.0,14,84.0,1,183.0,1,2
52,152.0,13,404.0,6,-1.0,0,2
33,235.0,18,525.0,1,-1.0,0,2
41,140.0,3,96.0,1,125.0,2,1
36,-185.0,12,167.0,2,350.0,2,1
37,26.0,16,114.0,4,-1.0,0,1
55,2152.0,19,922.0,2,-1.0,0,2
50,810.0,15,91.0,1,103.0,3,2
57,1660.0,4,642.0,1,-1.0,0,2
30,4642.0,21,528.0,1,-1.0,0,2
46,475.0,23,158.0,2,-1.0,0,1
46,4414.0,18,504.0,7,-1.0,0,2
36,1392.0,15,205.0,2,-1.0,0,1
44,348.0,16,170.0,2,-1.0,0,2
49,0.0,19,99.0,2,-1.0,0,1
36,1313.0,20,8.0,10,-1.0,0,1
50,416.0,5,494.0,5,-1.0,0,2
34,530.0,7,57.0,1,-1.0,0,1
51,117.0,18,442.0,2,-1.0,0,2
42,717.0,4,152.0,6,-1.0,0,1
55,49.0,7,494.0,4,-1.0,0,2
59,4412.0,2,162.0,2,-1.0,0,2
54,-690.0,29,230.0,4,-1.0,0,1
40,1259.0,20,234.0,5,-1.0,0,1
76,3324.0,13,122.0,1,92.0,3,2
32,-15.0,11,132.0,3,-1.0,0,1
61,544.0,29,63.0,3,200.0,9,2
33,1862.0,12,65.0,1,-1.0,0,1
47,2785.0,13,570.0,1,-1.0,0,2
37,698.0,8,1081.0,2,-1.0,0,2
47,2408.0,30,376.0,1,-1.0,0,2
27,20585.0,15,188.0,1,-1.0,0,2
40,-378.0,13,541.0,1,295.0,6,1
26,19.0,30,268.0,1,-1.0,0,1
37,125.0,5,56.0,1,-1.0,0,1
29,-680.0,9,117.0,2,-1.0,0,1
30,0.0,13,150.0,4,-1.0,0,1
33,272.0,1,293.0,2,92.0,3,2
32,1868.0,27,186.0,16,-1.0,0,1
38,2084.0,16,71.0,2,330.0,2,1
43,-260.0,11,183.0,2,-1.0,0,1
27,337.0,9,23.0,1,-1.0,0,2
27,1117.0,7,416.0,4,-1.0,0,1
72,2600.0,3,443.0,2,82.0,3,2
32,23.0,22,137.0,2,-1.0,0,1
38,323.0,19,138.0,1,-1.0,0,1
53,1194.0,30,166.0,4,-1.0,0,1
60,2408.0,20,102.0,4,-1.0,0,1
32,518.0,18,34.0,7,-1.0,0,1
41,4539.0,30,298.0,3,-1.0,0,1
47,49.0,18,250.0,4,-1.0,0,1
38,1401.0,13,516.0,1,-1.0,0,2
62,2785.0,6,270.0,3,-1.0,0,2
34,3821.0,13,649.0,2,-1.0,0,2
34,1092.0,23,268.0,1,-1.0,0,1
67,405.0,10,344.0,2,95.0,2,2
58,3864.0,15,815.0,4,-1.0,0,2
52,371.0,21,224.0,2,182.0,1,2
35,1380.0,23,155.0,1,-1.0,0,2
49,381.0,5,504.0,2,-1.0,0,1
39,116.0,22,554.0,2,-1.0,0,2
46,-11.0,11,139.0,2,-1.0,0,1
43,1916.0,13,565.0,2,-1.0,0,1
39,3970.0,18,56.0,1,-1.0,0,1
23,0.0,10,213.0,1,-1.0,0,2
48,623.0,2,1425.0,2,-1.0,0,2
20,76.0,18,639.0,2,-1.0,0,2
44,-68.0,25,121.0,4,-1.0,0,1
26,632.0,12,312.0,3,181.0,1,2
37,238.0,3,149.0,1,-1.0,0,2
43,3064.0,20,2453.0,2,-1.0,0,2
48,0.0,8,85.0,9,-1.0,0,1
54,-394.0,15,895.0,5,365.0,2,1
46,3354.0,19,522.0,1,174.0,1,2
39,1820.0,25,103.0,1,-1.0,0,1
36,1597.0,21,137.0,1,-1.0,0,1
38,10.0,8,84.0,3,-1.0,0,1
59,-313.0,20,407.0,1,-1.0,0,1
48,1405.0,14,629.0,2,-1.0,0,2
36,1354.0,7,281.0,3,97.0,2,2
35,671.0,10,112.0,1,-1.0,0,2
31,8781.0,14,680.0,1,177.0,1,2
25,528.0,14,201.0,1,-1.0,0,2
28,19.0,17,149.0,1,-1.0,0,2
38,7005.0,25,696.0,1,202.0,2,2
38,3141.0,9,347.0,4,189.0,2,2
47,162.0,25,366.0,3,-1.0,0,2
45,523.0,1,380.0,4,371.0,4,1
32,2366.0,20,127.0,2,-1.0,0,1
48,762.0,12,81.0,4,-1.0,0,1
66,587.0,12,457.0,2,392.0,2,2
59,121.0,12,144.0,7,-1.0,0,1
63,0.0,31,253.0,5,-1.0,0,2
35,4822.0,20,843.0,2,-1.0,0,2
53,-634.0,19,695.0,3,-1.0,0,1
58,64.0,21,78.0,2,-1.0,0,1
32,12686.0,3,54.0,1,-1.0,0,1
40,0.0,28,496.0,2,182.0,11,2
72,588.0,5,66.0,3,-1.0,0,1
30,6.0,5,279.0,2,342.0,2,1
58,2553.0,14,366.0,2,-1.0,0,1
34,2733.0,14,604.0,1,-1.0,0,2
37,238.0,7,200.0,2,-1.0,0,1
47,1167.0,4,505.0,1,96.0,6,2
30,0.0,5,159.0,2,-1.0,0,2
47,440.0,12,91.0,1,-1.0,0,1
31,1981.0,22,437.0,2,-1.0,0,1
47,0.0,16,261.0,2,-1.0,0,2
30,2539.0,5,199.0,5,-1.0,0,2
28,4987.0,2,924.0,2,113.0,21,2
43,733.0,25,282.0,1,187.0,3,2
60,5.0,4,494.0,1,95.0,2,2
56,8163.0,14,1231.0,4,-1.0,0,2
26,294.0,5,87.0,1,91.0,2,2
36,324.0,18,104.0,4,-1.0,0,1
30,20.0,20,404.0,6,340.0,1,1
61,6016.0,2,670.0,3,-1.0,0,2
37,127.0,13,71.0,1,-1.0,0,2
25,1003.0,12,361.0,1,-1.0,0,2
59,-22.0,26,748.0,3,-1.0,0,2
37,194.0,2,144.0,1,-1.0,0,1
40,211.0,5,216.0,4,-1.0,0,1
34,7279.0,12,882.0,1,-1.0,0,2
28,352.0,18,431.0,1,-1.0,0,2
36,3740.0,7,254.0,1,-1.0,0,1
35,2427.0,12,175.0,3,31.0,10,2
45,0.0,26,64.0,2,-1.0,0,1
37,1970.0,5,253.0,1,-1.0,0,2
31,457.0,29,38.0,9,-1.0,0,1
55,-171.0,15,30.0,2,-1.0,0,1
53,10185.0,23,115.0,1,-1.0,0,2
