V1,V6,V10,V12,V13,V14,V15,target
55.0,2152.0,19.0,922.0,2.0,-1.0,0.0,2.0
59.0,679.0,30.0,761.0,4.0,-1.0,0.0,2.0
54.0,1693.0,30.0,1277.0,1.0,87.0,2.0,2.0
30.0,140.0,15.0,760.0,1.0,-1.0,0.0,2.0
51.0,0.0,8.0,124.0,2.0,-1.0,0.0,2.0
30.0,-208.0,13.0,108.0,1.0,-1.0,0.0,1.0
45.0,6993.0,20.0,283.0,1.0,-1.0,0.0,2.0
32.0,506.0,5.0,63.0,2.0,-1.0,0.0,2.0
37.0,2987.0,13.0,216.0,1.0,87.0,10.0,2.0
39.0,1048.0,21.0,405.0,1.0,-1.0,0.0,1.0
26.0,689.0,25.0,678.0,2.0,-1.0,0.0,2.0
30.0,1785.0,17.0,235.0,1.0,-1.0,0.0,2.0
58.0,1669.0,13.0,109.0,2.0,-1.0,0.0,1.0
37.0,0.0,18.0,850.0,2.0,-1.0,0.0,1.0
57.0,1166.0,9.0,106.0,1.0,-1.0,0.0,1.0
43.0,56.0,15.0,259.0,1.0,-1.0,0.0,1.0
39.0,426.0,18.0,1029.0,1.0,-1.0,0.0,2.0
47.0,1715.0,22.0,211.0,8.0,-1.0,0.0,1.0
33.0,136.0,18.0,30.0,2.0,336.0,13.0,1.0
53.0,0.0,22.0,77.0,9.0,-1.0,0.0,1.0
19.0,103.0,10.0,104.0,2.0,-1.0,0.0,2.0
32.0,354.0,4.0,239.0,1.0,196.0,8.0,1.0
40.0,1117.0,13.0,280.0,1.0,-1.0,0.0,1.0
47.0,4420.0,20.0,454.0,1.0,-1.0,0.0,2.0
35.0,0.0,21.0,199.0,3.0,-1.0,0.0,1.0
60.0,851.0,18.0,112.0,2.0,-1.0,0.0,1.0
44.0,280.0,5.0,193.0,2.0,-1.0,0.0,1.0
32.0,1279.0,3.0,1173.0,3.0,-1.0,0.0,2.0
65.0,3195.0,2.0,904.0,1.0,-1.0,0.0,2.0
32.0,2089.0,14.0,132.0,1.0,-1.0,0.0,2.0
36.0,4708.0,15.0,104.0,1.0,-1.0,0.0,1.0
40.0,2129.0,30.0,452.0,1.0,-1.0,0.0,2.0
32.0,35.0,17.0,324.0,3.0,126.0,3.0,2.0
47.0,831.0,5.0,316.0,3.0,-1.0,0.0,1.0
36.0,539.0,27.0,398.0,2.0,477.0,1.0,2.0
35.0,113.0,17.0,923.0,2.0,-1.0,0.0,2.0
27.0,-442.0,30.0,85.0,7.0,-1.0,0.0,1.0
44.0,982.0,20.0,650.0,3.0,-1.0,0.0,2.0
52.0,0.0,2.0,541.0,3.0,-1.0,0.0,2.0
51.0,1679.0,12.0,417.0,1.0,365.0,9.0,2.0
43.0,1854.0,30.0,323.0,1.0,-1.0,0.0,2.0
40.0,224.0,17.0,875.0,2.0,-1.0,0.0,2.0
52.0,1227.0,22.0,1123.0,4.0,-1.0,0.0,2.0
30.0,695.0,13.0,478.0,2.0,-1.0,0.0,1.0
62.0,557.0,14.0,185.0,1.0,-1.0,0.0,2.0
25.0,2399.0,3.0,193.0,2.0,-1.0,0.0,1.0
60.0,0.0,25.0,641.0,4.0,-1.0,0.0,2.0
32.0,3136.0,19.0,820.0,1.0,-1.0,0.0,2.0
29.0,238.0,25.0,344.0,2.0,88.0,1.0,2.0
36.0,871.0,12.0,396.0,3.0,-1.0,0.0,2.0
49.0,935.0,1.0,150.0,1.0,-1.0,0.0,1.0
57.0,2416.0,11.0,74.0,2.0,-1.0,0.0,1.0
32.0,0.0,19.0,303.0,3.0,-1.0,0.0,1.0
26.0,1327.0,30.0,171.0,4.0,-1.0,0.0,1.0
42.0,994.0,12.0,227.0,3.0,93.0,6.0,2.0
45.0,185.0,29.0,249.0,3.0,-1.0,0.0,1.0
52.0,955.0,17.0,301.0,2.0,134.0,4.0,2.0
42.0,636.0,20.0,91.0,2.0,-1.0,0.0,1.0
45.0,524.0,23.0,808.0,1.0,-1.0,0.0,2.0
29.0,0.0,28.0,296.0,1.0,-1.0,0.0,1.0
73.0,1609.0,14.0,169.0,2.0,-1.0,0.0,2.0
51.0,507.0,8.0,85.0,2.0,-1.0,0.0,1.0
37.0,33.0,6.0,326.0,1.0,-1.0,0.0,1.0
33.0,329.0,9.0,44.0,1.0,-1.0,0.0,1.0
60.0,11262.0,26.0,323.0,1.0,-1.0,0.0,2.0
32.0,46.0,14.0,485.0,2.0,-1.0,0.0,2.0
36.0,1392.0,15.0,205.0,2.0,-1.0,0.0,1.0
36.0,4596.0,8.0,234.0,2.0,175.0,2.0,2.0
31.0,416.0,11.0,33.0,2.0,-1.0,0.0,1.0
25.0,469.0,21.0,273.0,1.0,86.0,1.0,2.0
32.0,-428.0,13.0,518.0,1.0,-1.0,0.0,1.0
74.0,1765.0,11.0,290.0,2.0,-1.0,0.0,2.0
30.0,7529.0,19.0,328.0,1.0,-1.0,0.0,2.0
38.0,3278.0,19.0,645.0,14.0,-1.0,0.0,2.0
33.0,131.0,12.0,209.0,3.0,427.0,2.0,2.0
