a1cx,a1cy,a1sx,a1sy,a1rho,a1pop,a2cx,a2cy,a2sx,a2sy,a2rho,a2pop,a3cx,a3cy,a3sx,a3sy,a3rho,a3pop,temp,b1x,b1y,b1call,b1eff,b2x,b2y,b2call,b2eff,b3x,b3y,b3call,b3eff,mxql,target
0.41301,0.607442,0.332608,0.406812,-0.151224,1.525222,-0.144368,0.852368,0.412397,1.728169,-0.449231,4.078482,0.232042,-0.32319,0.792235,0.421474,-0.307503,3.086689,0.363949,0.441308,-0.276851,2.0,1.974706,-0.776759,-0.78377,8.0,0.603486,-0.997118,-0.502138,5.0,1.169388,9.0,P
-0.602384,0.350618,0.429196,0.414476,-0.124489,4.597991,0.579458,0.651134,0.104394,0.636356,-0.283787,3.546643,0.11586,0.409074,2.152997,0.75868,0.341127,1.478951,0.662488,0.462398,0.339673,6.0,0.798979,-0.00282,-0.080542,2.0,1.125542,-0.983397,-0.107632,5.0,1.186039,7.0,N
-0.322881,-0.538491,1.60226,0.039605,0.196023,1.909005,-0.675672,0.963618,0.147458,1.414008,0.495453,0.056459,-0.163151,0.350221,1.12409,1.39816,-0.456921,1.600723,0.650252,-0.24738,0.318002,3.0,0.577355,-0.952645,-0.5716,5.0,1.280392,0.771129,-0.665756,5.0,1.024203,6.0,P
-0.23357,-0.936451,1.710192,2.179527,0.438461,4.742055,-0.163625,-0.923273,0.597622,0.118409,0.229981,3.209085,-0.165046,0.012872,0.398148,1.335824,0.11991,13.070052,0.308221,-0.743841,0.258362,4.0,0.760084,-0.198235,-0.205276,2.0,0.509727,-0.579544,0.480094,6.0,1.568492,7.0,N
0.403126,0.313367,0.822382,1.393975,0.253435,9.39863,0.312528,0.288321,0.431867,0.110369,0.294665,1.2741,0.32835,-0.288962,0.067075,0.632938,0.148618,3.633846,0.233204,-0.685285,-0.758206,6.0,1.170067,0.573352,0.315217,2.0,0.622033,-0.134747,0.669948,3.0,1.295913,9.0,P
-0.017878,0.220771,0.037941,0.298548,-0.47277,3.762778,-0.79546,0.165907,0.421014,0.013787,-0.139091,0.381122,0.836916,-0.801391,2.242973,0.194025,-0.303852,0.636225,0.554068,0.602932,-0.772229,3.0,1.063314,-0.387546,-0.2539,5.0,0.597801,-0.631752,0.041766,3.0,1.466912,7.0,P
0.3457,0.658409,0.004313,0.041727,0.248306,1.47662,0.317824,-0.015015,0.870175,1.059934,0.275087,0.654086,-0.330889,0.908071,1.308776,0.143776,0.20871,5.227891,0.409048,0.64931,0.010654,7.0,0.901486,0.368354,-0.136157,4.0,0.869763,0.680687,-0.287984,8.0,0.653114,9.0,P
0.191042,0.954493,0.841096,1.255521,0.464016,1.099298,-0.31478,-0.110777,1.102842,0.046679,-0.466958,1.642563,-0.350668,0.958245,0.222133,2.15721,0.463938,8.345275,0.583435,-0.011537,0.864393,5.0,0.824826,-0.385423,0.085826,7.0,1.015563,-0.241577,-0.167008,7.0,0.861025,8.0,N
0.239531,-0.391718,0.317551,2.95634,0.122455,6.116613,-0.992386,-0.734185,0.797696,1.341425,0.43084,0.571166,0.643303,0.049932,0.964677,0.027338,0.427852,1.623983,0.642157,0.668291,-0.447812,4.0,1.31801,0.323396,-0.949254,2.0,0.971576,0.028994,0.384228,8.0,1.500834,9.0,P
-0.334927,-0.400629,1.011086,0.675644,-0.243191,7.533187,-0.808829,-0.00543,0.323024,2.468748,-0.472164,0.328122,-0.323752,0.075648,0.018347,0.290855,0.281067,1.573139,0.637925,0.197325,0.583472,3.0,0.970515,-0.881471,0.752463,4.0,1.894977,0.477627,-0.035771,3.0,1.515114,6.0,P
0.188384,0.839495,0.254375,0.087425,-0.404065,1.899583,-0.979797,0.952343,0.618891,0.033232,0.210728,4.26802,-0.061012,0.9823,1.172969,0.974483,-0.115498,2.105797,0.615546,-0.125512,-0.051617,3.0,0.982935,0.150616,0.418072,4.0,1.443355,-0.485465,0.21962,4.0,1.219759,5.0,P
0.984182,0.290532,0.851759,1.827234,-0.134888,5.106181,0.259373,0.067119,0.426063,0.098982,0.229464,6.974536,0.544244,0.693244,1.631125,0.919691,-0.208672,1.161718,0.270403,0.634749,0.054564,2.0,1.449373,0.328648,-0.095527,5.0,0.70061,-0.782363,0.338642,3.0,0.895353,6.0,N
0.306265,0.601763,1.037023,0.09082,0.327177,9.877847,-0.239954,0.805853,0.588649,0.628713,0.250362,0.358043,-0.661646,-0.503446,1.420591,0.183737,-0.354066,2.350939,0.268112,0.481581,0.050274,7.0,1.562871,0.456356,0.155536,7.0,0.926969,0.037635,-0.837368,7.0,1.525911,8.0,P
-0.548988,0.198411,0.043676,1.58052,-0.322732,4.337548,0.673031,-0.031883,0.525251,1.504909,-0.106799,5.664986,0.205842,-0.962873,4.098577,0.497191,0.026306,1.393466,0.503161,0.462817,-0.751931,5.0,0.633422,-0.87511,-0.870601,2.0,0.644525,-0.37168,0.118998,5.0,1.699016,8.0,N
-0.317048,0.280602,0.490741,0.120399,-0.07458,6.160781,-0.88747,-0.366011,0.026697,0.861429,-0.059922,3.073749,-0.371176,0.927716,0.47094,0.026539,0.358324,11.642085,0.313952,0.244796,0.160952,6.0,1.129185,-0.685097,0.908508,6.0,0.761621,0.410787,-0.000201,6.0,1.674044,7.0,N
0.288326,0.34591,0.300429,0.28036,0.234537,5.929849,0.229831,-0.845946,0.735476,3.703307,0.258998,1.126236,0.142351,0.634946,0.327385,2.298987,0.140475,0.119118,0.201223,-0.33966,0.802692,5.0,1.117974,-0.850749,0.700721,6.0,1.097184,0.972396,-0.233401,4.0,1.81442,7.0,P
0.540096,0.857962,1.482394,0.3439,0.169055,2.490604,-0.480212,0.041608,0.031256,2.034611,-0.190024,4.414855,-0.03946,0.259921,0.814342,0.509915,0.468945,0.791825,0.501548,-0.484771,-0.423159,7.0,1.73595,0.340514,0.40344,3.0,0.945015,0.842066,0.242372,2.0,0.610981,8.0,P
-0.007153,-0.175049,0.61141,1.188084,0.378202,3.328487,-0.587385,-0.380012,0.251516,0.450207,-0.253897,3.237667,-0.440747,-0.979936,0.351065,2.770704,0.19249,10.48696,0.241547,0.443863,-0.782057,3.0,0.76575,-0.664766,-0.611564,2.0,1.771768,-0.315581,-0.286437,2.0,1.283367,5.0,N
0.606787,-0.397363,0.89446,1.030074,0.151487,0.859286,0.079757,0.663768,1.64248,0.48814,0.308513,4.503518,0.991987,0.070887,0.817746,1.221517,-0.193854,2.277092,0.202541,0.726896,-0.55409,2.0,1.428959,0.572026,0.602075,3.0,1.287499,-0.990026,-0.195227,3.0,0.757433,9.0,P
-0.319871,-0.666773,0.498728,2.273747,-0.148649,13.302881,0.288707,0.275223,0.341248,0.088187,-0.201533,5.67342,0.407085,-0.183261,1.514636,1.309668,0.03692,1.372265,0.426,0.367765,0.433808,5.0,1.385919,0.501522,-0.165408,6.0,0.597259,0.447468,-0.213794,3.0,1.057498,8.0,N
0.446855,0.74174,0.349951,2.172709,-0.400721,0.328902,0.764085,0.320937,4.613439,2.031843,0.029833,2.162611,-0.919287,-0.911405,3.798593,0.600991,0.149639,0.188872,0.233209,0.731402,0.0065,3.0,0.685907,-0.437767,0.637642,4.0,1.422822,0.626632,-0.400335,4.0,1.138162,5.0,P
-0.819359,0.593485,0.332259,0.675093,-0.211208,6.070859,0.048416,0.292199,0.475077,0.572803,-0.481557,0.603755,0.452538,-0.206865,1.604931,0.306549,-0.144943,18.028917,0.331446,0.270766,0.681899,4.0,0.826926,-0.794208,-0.440605,7.0,1.417882,0.116517,-0.864881,3.0,1.495326,8.0,N
-0.765984,0.33666,0.224512,0.472485,0.143508,1.305199,0.084529,0.75133,1.853321,0.041868,-0.069148,1.271744,0.222572,-0.768665,0.806347,0.82458,0.105922,1.341442,0.506708,0.629477,0.482738,6.0,1.092783,0.038677,-0.588083,3.0,1.586503,-0.256856,0.33026,6.0,1.423708,7.0,P
0.887216,0.178673,0.60354,0.480822,-0.48347,1.992092,-0.890563,-0.724358,2.36848,1.172043,-0.404756,1.348793,-0.15324,-0.168317,2.333687,0.461466,-0.417877,2.032733,0.339118,0.384426,0.436555,4.0,1.883121,0.800816,-0.280367,5.0,1.18987,0.067507,-0.275077,2.0,0.864532,7.0,P
0.559379,-0.494229,2.739786,4.3082,-0.27869,3.847068,0.691022,0.935344,1.747835,0.821082,0.088127,0.384919,-0.743864,-0.725218,0.850534,1.574248,-0.468406,3.398615,0.544382,-0.779601,-0.600352,2.0,1.609991,-0.420508,-0.972876,2.0,1.716958,0.507515,-0.318657,3.0,1.151174,5.0,P
-0.944173,0.038209,0.903157,0.241688,-0.170499,9.840532,-0.894136,0.122541,0.042497,0.913213,0.497639,6.940671,0.573241,-0.088793,2.105477,0.058183,-0.323063,1.26315,0.599914,-0.832792,-0.255656,2.0,0.508836,0.69881,-0.785833,3.0,1.266644,-0.955376,-0.404259,3.0,0.542365,5.0,N
-0.330796,-0.661513,2.073398,2.936102,-0.280249,2.278193,-0.775369,0.352793,0.224481,1.070819,-0.472758,2.515584,0.396288,0.816316,0.91101,0.0115,-0.425278,2.288147,0.824167,-0.782702,-0.650542,8.0,0.649444,0.457105,-0.82576,2.0,1.993751,-0.794344,0.11622,8.0,1.097603,9.0,P
0.015959,0.495869,0.240255,0.554548,0.221775,5.772268,-0.698458,0.90329,0.367009,1.727634,-0.168755,4.328706,0.045601,0.310331,0.060533,2.086796,0.438209,6.057674,0.470997,0.121058,-0.903403,5.0,1.217237,0.019758,-0.25018,5.0,1.985996,0.320907,-0.467373,3.0,1.70221,6.0,P
0.688402,-0.768697,0.022198,0.256803,0.158048,10.946119,-0.831572,0.106045,1.70664,1.048463,0.354205,5.257999,0.160488,0.92543,0.853092,1.965837,-0.396551,0.661427,0.563807,0.465774,0.929213,6.0,0.690126,0.767238,0.585666,6.0,1.263037,-0.04785,-0.434752,6.0,1.888544,7.0,N
0.051702,0.331857,1.717626,0.222473,0.143545,2.493448,0.579806,0.101191,1.034262,0.078022,0.231801,1.854807,0.135277,0.508784,2.034324,1.664908,0.003214,2.767119,0.181328,0.820699,-0.29806,5.0,0.938801,-0.804695,-0.348075,4.0,0.742789,-0.798731,-0.135919,5.0,0.750574,6.0,N
0.271889,-0.171358,0.043582,2.515972,0.304258,3.592059,-0.58043,0.722669,1.113119,0.177679,0.064391,0.84597,-0.056847,-0.619362,1.247382,0.220288,-0.341223,0.393295,0.370069,0.695676,-0.766778,7.0,1.637948,-0.904515,-0.723483,4.0,1.612216,0.99366,0.295311,5.0,0.681084,8.0,P
0.662331,-0.068536,0.187727,0.595757,0.127958,6.152287,0.579451,0.802482,0.209225,3.823491,-0.227272,4.61071,0.84102,-0.010137,1.270327,0.104157,0.42539,0.739471,0.446168,-0.865266,-0.300609,4.0,1.441394,-0.384535,-0.730497,4.0,1.180762,0.216081,-0.220318,5.0,1.871793,7.0,P
