a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql,target
-0.102111,-0.193977,-0.385334,0.257042,7.188886,15.12816,0.671618,8.0,N
0.373578,-0.425602,0.2895,0.234217,2.028584,2.85618,0.569577,5.0,P
0.385361,0.10834,-0.048971,-0.147634,4.073232,3.616225,0.126882,6.0,N
0.316211,-0.134321,0.080048,0.036333,0.360257,1.069743,0.807717,8.0,P
0.007116,0.295712,0.007483,-0.456627,0.07203,0.968635,0.188453,7.0,P
0.36613,0.363605,-0.200576,0.176573,9.935666,1.860283,0.814479,6.0,N
-0.093119,-0.390041,0.046167,-0.446617,1.732547,4.0203,0.842864,6.0,P
0.339518,0.48181,0.38399,-0.296895,1.480749,5.089209,0.338931,5.0,N
0.101106,-0.045147,-0.159791,0.264757,4.420638,0.744186,0.729389,7.0,P
0.350144,0.083891,0.149193,-0.362766,0.027632,1.079095,0.711124,8.0,P
-0.01942,0.449999,0.31253,0.205283,9.341137,0.670166,0.638305,5.0,N
-0.185726,-0.151874,0.219358,0.465814,7.003263,6.866083,0.776597,8.0,N
-0.204264,0.1783,0.420034,0.495341,4.255686,3.216722,0.406159,8.0,N
-0.382686,0.245759,-0.077422,-0.131272,4.247333,5.331848,0.636844,6.0,N
-0.283403,0.452307,0.484202,-0.168472,1.925906,0.040204,0.391175,7.0,P
-0.047994,-0.223132,-0.250457,-0.389985,0.36291,0.163468,0.623968,6.0,P
0.197808,0.217762,0.427363,-0.260208,2.496633,2.158898,0.668119,6.0,P
-0.167292,-0.499718,0.13691,0.070242,2.43674,0.376675,0.702087,5.0,P
0.366807,-0.341985,0.320992,-0.259174,9.167674,8.593205,0.247677,7.0,N
0.334049,-0.472449,-0.129682,0.338876,2.164862,8.313493,0.640132,8.0,N
0.390571,-0.060979,-0.477323,-0.073481,9.257957,14.805977,0.715781,8.0,N
0.10495,0.426869,0.096682,0.019721,0.250424,3.166411,0.681261,7.0,P
-0.147034,-0.307275,0.480487,-0.336127,3.986536,2.995441,0.742523,7.0,P
0.419136,-0.096576,-0.493148,0.408153,0.218394,9.424446,0.471557,7.0,N
0.303751,0.448241,0.278653,0.488503,0.07364,6.202247,0.867571,7.0,P
-0.158242,-0.145725,-0.03349,-0.457704,3.593601,2.499985,0.39407,7.0,N
0.004029,0.414583,0.468224,0.084628,1.291934,1.194606,0.296197,7.0,P
-0.354853,0.088915,0.243674,-0.183298,6.590696,0.871226,0.541852,6.0,N
-0.103837,-0.060555,-0.028464,-0.481954,1.196913,0.051008,0.414221,5.0,P
0.428268,0.247435,0.190118,-0.023102,0.541538,1.755421,0.671251,8.0,P
-0.155287,0.126401,0.397628,-0.088331,5.51377,10.12245,0.37025,7.0,N
-0.477235,-0.476812,0.078047,0.329986,0.332996,7.424853,0.780092,8.0,N
-0.148063,-0.110492,-0.355003,0.355727,1.300682,0.293228,0.516916,7.0,P
0.042743,0.167979,-0.328858,0.330779,0.46069,0.813368,0.856525,5.0,P
-0.25489,0.377032,0.452278,0.19478,4.970861,2.559945,0.474811,5.0,N
0.398361,-0.309463,0.498344,0.198052,2.820201,3.950382,0.486077,7.0,N
0.121941,-0.178892,0.172285,-0.462555,2.284648,2.640706,0.207884,7.0,P
0.376486,-0.059361,0.309315,0.342257,4.148214,6.112664,0.894345,7.0,N
0.476476,0.414008,0.261853,0.292121,0.619272,0.161588,0.158687,8.0,P
-0.282169,-0.262193,0.073037,0.138149,2.451564,1.175842,0.881602,5.0,P
-0.159082,0.091644,-0.185974,-0.299618,1.736921,4.956242,0.782108,8.0,N
-0.420689,-0.354283,-0.050685,-0.379151,0.200464,0.015467,0.800349,8.0,P
-0.490822,0.495036,-0.299396,-0.139483,1.644756,4.877203,0.656217,6.0,N
0.057815,-0.271687,-0.384738,-0.411118,0.284053,2.27602,0.678456,6.0,P
0.076644,-0.408844,-0.276722,-0.291482,7.202299,2.270091,0.446821,8.0,N
-0.429039,-0.293254,0.408642,0.158752,4.812473,2.028817,0.374,5.0,N
0.19658,0.064367,-0.47735,-0.140039,5.069298,0.467255,0.282215,7.0,N
-0.458768,0.03628,-0.074317,0.248452,5.186254,2.382083,0.593179,6.0,N
0.318321,-0.218964,0.350057,-0.442378,2.973529,1.844515,0.642533,7.0,P
0.405112,-0.418549,0.244336,-0.19178,0.905298,0.962119,0.935712,8.0,P
0.333508,-0.102351,-0.329003,0.079448,1.3606,3.320235,0.553302,6.0,P
0.442196,0.266254,-0.354449,-0.210422,0.302735,0.30171,0.783777,8.0,P
-0.339322,-0.068888,0.369626,-0.435834,8.205858,3.175912,0.711592,8.0,N
0.104331,-0.04188,-0.271389,-0.353779,1.21888,7.914449,0.79671,6.0,N
-0.152973,0.331893,-0.183197,-0.313018,2.627374,2.693143,0.56323,5.0,P
0.488702,-0.082498,-0.099927,-0.277763,2.809995,6.629293,0.435438,8.0,N
-0.39824,0.131413,0.288443,0.02094,0.723639,1.438804,0.709215,8.0,P
0.215639,0.1823,-0.434203,-0.360572,0.327077,1.959999,0.742077,8.0,P
-0.184845,-0.373604,0.101883,0.264811,2.065948,4.051005,0.651758,6.0,N
-0.066416,0.41309,-0.265594,-0.078501,3.243537,1.826434,0.76874,8.0,P
0.342638,-0.275038,-0.259258,-0.483185,7.11481,2.928623,0.76719,6.0,N
-0.315462,-0.261153,-0.011032,-0.347969,6.584869,0.117494,0.750432,5.0,P
-0.060299,-0.491147,-0.084517,-0.199054,0.807326,3.004509,0.629451,8.0,P
0.480043,0.137282,-0.451975,0.213587,3.270702,1.890255,0.676259,5.0,P
0.226834,-0.436277,0.149418,0.155148,1.984266,7.33493,0.390639,6.0,N
-0.172692,0.086441,0.308036,-0.414119,3.612804,5.200235,0.735651,8.0,N
0.390854,0.010747,-0.245454,-0.2113,3.847632,0.053878,0.411089,5.0,P
-0.4071,0.167423,-0.06782,0.100827,4.108809,2.180885,0.403655,6.0,P
0.168354,0.085003,-0.262095,-0.399446,2.329364,5.398107,0.214534,7.0,N
