MonthsSinceLastDonation,NumberOfDonations,TotalBloodDonated,MonthsSinceFirstDonation,target
9.0,4.0,1000.0,65.0,No
25.0,6.0,1500.0,50.0,No
16.0,3.0,750.0,21.0,Yes
11.0,1.0,250.0,11.0,No
4.0,7.0,1750.0,58.0,No
12.0,9.0,2250.0,60.0,No
4.0,5.0,1250.0,58.0,No
11.0,6.0,1500.0,27.0,No
14.0,2.0,500.0,29.0,No
4.0,2.0,500.0,4.0,No
4.0,2.0,500.0,23.0,No
13.0,8.0,2000.0,26.0,No
23.0,8.0,2000.0,64.0,No
0.0,8.0,2000.0,59.0,No
2.0,8.0,2000.0,35.0,Yes
2.0,5.0,1250.0,16.0,Yes
16.0,1.0,250.0,16.0,No
16.0,1.0,250.0,16.0,No
16.0,10.0,2500.0,89.0,No
2.0,2.0,500.0,11.0,No
3.0,17.0,4250.0,86.0,No
2.0,2.0,500.0,33.0,No
16.0,2.0,500.0,27.0,No
13.0,3.0,750.0,16.0,No
14.0,4.0,1000.0,23.0,Yes
4.0,14.0,3500.0,86.0,No
9.0,2.0,500.0,11.0,No
14.0,4.0,1000.0,26.0,No
11.0,4.0,1000.0,28.0,No
2.0,4.0,1000.0,35.0,No
72.0,1.0,250.0,72.0,No
4.0,6.0,1500.0,16.0,Yes
11.0,2.0,500.0,17.0,No
14.0,3.0,750.0,26.0,No
2.0,4.0,1000.0,26.0,No
4.0,1.0,250.0,4.0,No
2.0,4.0,1000.0,16.0,No
14.0,2.0,500.0,14.0,No
4.0,5.0,1250.0,16.0,Yes
2.0,1.0,250.0,2.0,No
4.0,17.0,4250.0,71.0,Yes
21.0,1.0,250.0,21.0,No
11.0,6.0,1500.0,58.0,No
4.0,1.0,250.0,4.0,No
11.0,24.0,6000.0,64.0,No
11.0,2.0,500.0,25.0,No
21.0,3.0,750.0,35.0,No
38.0,1.0,250.0,38.0,No
4.0,14.0,3500.0,40.0,No
11.0,9.0,2250.0,33.0,No
4.0,9.0,2250.0,38.0,Yes
11.0,6.0,1500.0,71.0,No
2.0,2.0,500.0,11.0,No
2.0,4.0,1000.0,43.0,No
23.0,4.0,1000.0,45.0,No
2.0,1.0,250.0,2.0,Yes
16.0,10.0,2500.0,62.0,No
2.0,10.0,2500.0,52.0,No
21.0,3.0,750.0,64.0,No
23.0,1.0,250.0,23.0,No
