CountryID,Gender,ageRDATE,p2sumstake,p2sumbet,p2sumday,p2intvday,p2bpd,p2net,p2bpd1m,p2stakeSD1m,p2totalactivedays1m,p2stakeSlope1m,target
620.0,1.0,21.0,6202.57,347.0,68.0,308.0,5.102941176,57.95,6.16,104.6161511,25.0,0.038441023,1.0
40.0,1.0,19.0,665.8765,57.0,26.0,540.0,2.192307692,116.0765,3.0,30.58078505,13.0,0.122799171,0.0
616.0,1.0,20.0,843.221,306.0,105.0,679.0,2.914285714,-27.4005,4.285714286,5.516550845,7.0,-0.1084391,0.0
616.0,1.0,38.0,355.1172,31.0,20.0,458.0,1.55,76.5577,2.0,31.7357977,9.0,-0.04432965,0.0
724.0,1.0,26.0,13622.0703,613.0,76.0,733.0,8.065789474,1860.0303,7.083333333,47.88915468,12.0,-0.138552,0.0
276.0,1.0,24.0,6322.35,172.0,21.0,285.0,8.19047619,383.46,11.8,143.0075577,5.0,-0.449893323,0.0
724.0,1.0,53.0,6746.67,741.0,29.0,64.0,25.55172414,103.93,27.42857143,137.2970561,7.0,-0.271396692,0.0
792.0,1.0,39.0,1198.2252,867.0,53.0,629.0,16.35849057,384.5283,29.0,37.56728359,10.0,-0.094499698,1.0
756.0,1.0,32.0,710.8569,21.0,16.0,255.0,1.3125,-9.3301,1.333333333,136.9886978,9.0,-0.260838264,0.0
276.0,1.0,27.0,8645.84,329.0,67.0,571.0,4.910447761,305.5,6.0,38.07905264,8.0,0.004617173,0.0
792.0,1.0,22.0,225.6902,79.0,32.0,257.0,2.46875,21.3687,3.5,30.97287351,4.0,-0.099370707,0.0
276.0,1.0,62.0,87013.23,7454.0,422.0,600.0,17.66350711,6030.7,9.862068966,53.95188059,29.0,0.027057136,0.0
792.0,0.0,23.0,1195.5915,101.0,56.0,617.0,1.803571429,57.9936,2.0,13.13578125,2.0,3.442033706,1.0
300.0,1.0,33.0,187.0,13.0,6.0,37.0,2.166666667,187.0,2.0,18.22772613,4.0,0.590185239,1.0
276.0,1.0,39.0,14539.1803,1537.0,142.0,652.0,10.82394366,1683.4403,9.4,16.47084967,10.0,0.144966772,1.0
792.0,1.0,29.0,34.7289,9.0,6.0,99.0,1.5,18.3641,1.0,0.194501851,3.0,-0.391698818,0.0
208.0,1.0,30.0,387.4219,123.0,23.0,233.0,5.347826087,13.7955,7.538461538,23.57507748,13.0,-0.031763301,0.0
276.0,1.0,52.0,13644.83,866.0,219.0,438.0,3.9543379,1004.29,3.5,28.9350223,18.0,-0.060563417,0.0
792.0,1.0,24.0,517.767,32.0,16.0,263.0,2.0,99.0168,2.142857143,25.14966178,14.0,-0.00748002,0.0
300.0,1.0,25.0,67712.71,1187.0,156.0,392.0,7.608974359,-3558.29,5.0,298.0898854,17.0,0.172707456,0.0
276.0,1.0,27.0,240.9886,66.0,37.0,520.0,1.783783784,7.0486,2.0,9.899494937,2.0,-3.36729583,0.0
276.0,1.0,53.0,93.34,53.0,22.0,419.0,2.409090909,14.99,1.0,3.685557398,4.0,-0.230258509,1.0
40.0,1.0,36.0,1700.41,212.0,30.0,345.0,7.066666667,283.17,5.142857143,40.51228814,7.0,-0.232077115,1.0
276.0,1.0,38.0,70.0,9.0,4.0,37.0,2.25,70.0,2.333333333,10.40833,3.0,-0.111571776,0.0
208.0,1.0,22.0,99.0253,16.0,9.0,338.0,1.777777778,-93.7396,1.5,6.240640173,4.0,0.271585111,1.0
616.0,1.0,31.0,1815.5042,536.0,79.0,656.0,6.784810127,421.9129,9.666666667,20.60712396,9.0,0.393847234,0.0
276.0,1.0,26.0,70.9613,64.0,12.0,678.0,5.333333333,-27.5787,11.5,3.535533906,2.0,-0.374693449,0.0
276.0,1.0,32.0,1694.53,274.0,71.0,537.0,3.85915493,56.95,3.818181818,2.078596117,11.0,-0.131749422,0.0
616.0,0.0,26.0,6820.8527,1231.0,286.0,704.0,4.304195804,-174.2196,5.47826087,5.241708035,23.0,0.077366525,0.0
300.0,1.0,29.0,793.1,37.0,22.0,530.0,1.681818182,25.09,3.333333333,20.81665999,3.0,-0.111571776,1.0
792.0,1.0,32.0,790.4401,379.0,70.0,206.0,5.414285714,102.4881,4.3,6.805661082,10.0,-0.013088601,1.0
276.0,1.0,42.0,12634.91,353.0,51.0,293.0,6.921568627,45.1,10.5625,473.6308707,16.0,0.205972513,1.0
276.0,0.0,52.0,16275.09,553.0,71.0,714.0,7.788732394,306.92,5.0,154.6454269,6.0,0.366965142,0.0
792.0,1.0,20.0,81.0796,88.0,22.0,422.0,4.0,12.9205,6.222222222,6.09507294,9.0,0.215145194,0.0
276.0,1.0,18.0,9.5,7.0,4.0,267.0,1.75,5.97,1.5,0.353553391,2.0,-0.693147181,0.0
276.0,1.0,31.0,5643.229,54.0,10.0,575.0,5.4,32.619,5.0,132.1565118,4.0,-0.001848501,0.0
276.0,1.0,18.0,107.88,107.0,25.0,279.0,4.28,7.58,2.0,4.173328009,4.0,0.184582669,1.0
724.0,1.0,32.0,411.05,140.0,52.0,573.0,2.692307692,49.96,3.615384615,8.567230352,13.0,0.104475312,1.0
276.0,1.0,18.0,26.72,44.0,19.0,188.0,2.315789474,7.44,3.5,1.75547104,8.0,-0.18824054,1.0
724.0,1.0,24.0,2717.81,247.0,27.0,492.0,9.148148148,375.8,10.6,44.76556644,10.0,-0.332795819,0.0
276.0,1.0,17.0,134.75,21.0,6.0,313.0,3.5,86.99,4.75,6.048467437,4.0,0.015649432,1.0
442.0,1.0,26.0,30.5,30.0,5.0,263.0,6.0,25.4,12.0,14.14213562,2.0,2.397895273,0.0
276.0,1.0,33.0,111.0,16.0,7.0,142.0,2.285714286,-11.31,1.75,7.941190087,4.0,-0.624319556,0.0
276.0,1.0,24.0,59.14,62.0,22.0,435.0,2.818181818,14.31,5.0,5.507570547,3.0,-0.143841036,0.0
616.0,0.0,30.0,789.4754,122.0,37.0,107.0,3.297297297,167.7293,4.944444444,20.45870127,18.0,0.118720747,1.0
792.0,1.0,27.0,627.093,36.0,11.0,267.0,3.272727273,-78.5064,3.5,30.28033838,10.0,0.078905583,0.0
276.0,1.0,42.0,61740.59,2198.0,178.0,363.0,12.34831461,4786.2,20.44,794.3969458,25.0,0.064369922,1.0
276.0,1.0,45.0,271.32,142.0,48.0,419.0,2.958333333,34.3,1.75,5.130645845,8.0,-0.193845443,0.0
250.0,0.0,31.0,5275.53,105.0,20.0,388.0,5.25,684.92,6.666666667,218.6506959,9.0,0.099277837,0.0
792.0,1.0,19.0,25.4707,16.0,8.0,455.0,2.0,13.9672,2.5,0.417193001,2.0,-0.405493359,0.0
792.0,0.0,27.0,242.226,189.0,43.0,337.0,4.395348837,-32.0682,7.461538462,6.968112003,13.0,0.001469311,0.0
40.0,1.0,31.0,20921.2582,797.0,173.0,669.0,4.606936416,4820.4882,6.3,54.78673878,20.0,-0.042928328,0.0
