col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,target
1749.0,58.0,62.6,70.0,55.7,85.0,83.5,94.8,66.3,75.9,75.5,158.6,N
1750.0,73.3,75.9,89.2,88.3,90.0,100.0,85.4,103.0,91.2,65.7,63.3,N
1751.0,70.0,43.5,45.3,56.4,60.7,50.7,66.3,59.8,23.5,23.2,28.5,P
1752.0,35.0,50.0,71.0,59.3,59.7,39.6,78.4,29.3,27.1,46.6,37.6,P
1753.0,44.0,32.0,45.7,38.0,36.0,31.7,22.2,39.0,28.0,25.0,20.0,P
1754.0,0.0,3.0,1.7,13.7,20.7,26.7,18.8,12.3,8.2,24.1,13.2,P
1755.0,10.2,11.2,6.8,6.5,0.0,0.0,8.6,3.2,17.8,23.7,6.8,P
1756.0,12.5,7.1,5.4,9.4,12.5,12.9,3.6,6.4,11.8,14.3,17.0,P
1757.0,14.1,21.2,26.2,30.0,38.1,12.8,25.0,51.3,39.7,32.5,64.7,P
1758.0,37.6,52.0,49.0,72.3,46.4,45.0,44.0,38.7,62.5,37.7,43.0,P
1759.0,48.3,44.0,46.8,47.0,49.0,50.0,51.0,71.3,77.2,59.7,46.3,N
1760.0,67.3,59.5,74.7,58.3,72.0,48.3,66.0,75.6,61.3,50.6,59.7,N
1761.0,70.0,91.0,80.7,71.7,107.2,99.3,94.1,91.1,100.7,88.7,89.7,P
1762.0,43.8,72.8,45.7,60.2,39.9,77.1,33.8,67.7,68.5,69.3,77.8,N
1763.0,56.5,31.9,34.2,32.9,32.7,35.8,54.2,26.5,68.1,46.3,60.9,N
1764.0,59.7,59.7,40.2,34.4,44.3,30.0,30.0,30.0,28.2,28.0,26.0,P
1765.0,24.0,26.0,25.0,22.0,20.2,20.0,27.0,29.7,16.0,14.0,14.0,P
1766.0,12.0,11.0,36.6,6.0,26.8,3.0,3.3,4.0,4.3,5.0,5.7,P
1767.0,27.4,30.0,43.0,32.9,29.8,33.3,21.9,40.8,42.7,44.1,54.7,N
1768.0,53.5,66.1,46.3,42.7,77.7,77.4,52.6,66.8,74.8,77.8,90.6,N
1769.0,73.9,64.2,64.3,96.7,73.6,94.4,118.6,120.3,148.8,158.2,148.1,N
1770.0,104.0,142.5,80.1,51.0,70.1,83.3,109.8,126.3,104.4,103.6,132.2,N
1771.0,36.0,46.2,46.7,64.9,152.7,119.5,67.7,58.5,101.4,90.0,99.7,N
1772.0,100.9,90.8,31.1,92.2,38.0,57.0,77.3,56.2,50.5,78.6,61.3,N
1773.0,54.6,29.0,51.2,32.9,41.1,28.4,27.7,12.7,29.3,26.3,40.9,P
1774.0,46.8,65.4,55.7,43.8,51.3,28.5,17.5,6.6,7.9,14.0,17.7,P
1775.0,4.4,0.0,11.6,11.2,3.9,12.3,1.0,7.9,3.2,5.6,15.1,P
1776.0,21.7,11.6,6.3,21.8,11.2,19.0,1.0,24.2,16.0,30.0,35.0,P
1777.0,45.0,36.5,39.0,95.5,80.3,80.7,95.0,112.0,116.2,106.5,146.0,N
