state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,target
3.0,72.0,510.0,0.0,0.0,0.0,272.4,88.0,46.31,107.9,125.0,9.17,185.5,81.0,8.35,12.7,2.0,3.43,0.0,No
23.0,53.0,415.0,0.0,0.0,0.0,164.1,106.0,27.9,206.0,56.0,17.51,194.7,124.0,8.76,11.4,2.0,3.08,1.0,No
36.0,155.0,408.0,0.0,1.0,30.0,61.6,103.0,10.47,255.1,110.0,21.68,225.9,96.0,10.17,12.4,5.0,3.35,1.0,No
37.0,161.0,415.0,0.0,0.0,0.0,178.1,109.0,30.28,146.5,86.0,12.45,137.6,78.0,6.19,8.5,2.0,2.3,1.0,No
11.0,99.0,415.0,0.0,0.0,0.0,62.9,81.0,10.69,231.0,64.0,19.64,168.9,121.0,7.6,8.5,5.0,2.3,1.0,No
22.0,36.0,510.0,0.0,1.0,29.0,281.4,102.0,47.84,202.2,76.0,17.19,187.2,113.0,8.42,9.0,6.0,2.43,2.0,No
48.0,117.0,408.0,0.0,1.0,14.0,80.2,81.0,13.63,219.0,103.0,18.62,122.6,102.0,5.52,8.6,2.0,2.32,1.0,No
49.0,152.0,510.0,1.0,1.0,41.0,146.8,128.0,24.96,285.6,96.0,24.28,213.6,80.0,9.61,4.3,2.0,1.16,1.0,Yes
31.0,59.0,510.0,0.0,0.0,0.0,195.0,58.0,33.15,198.5,88.0,16.87,304.3,110.0,13.69,14.8,9.0,4.0,0.0,No
22.0,115.0,415.0,0.0,1.0,26.0,155.2,110.0,26.38,230.9,133.0,19.63,261.6,100.0,11.77,4.5,4.0,1.22,0.0,No
37.0,125.0,408.0,0.0,1.0,32.0,96.5,109.0,16.41,145.8,109.0,12.39,174.4,82.0,7.85,9.4,2.0,2.54,1.0,No
45.0,104.0,415.0,0.0,1.0,23.0,280.2,136.0,47.63,220.5,92.0,18.74,136.9,102.0,6.16,13.3,3.0,3.59,4.0,No
24.0,152.0,408.0,0.0,0.0,0.0,101.2,122.0,17.2,141.6,87.0,12.04,198.5,124.0,8.93,7.5,3.0,2.03,2.0,No
11.0,73.0,408.0,0.0,0.0,0.0,187.3,118.0,31.84,239.7,90.0,20.37,167.5,108.0,7.54,15.1,2.0,4.08,1.0,No
5.0,57.0,415.0,0.0,0.0,0.0,85.9,92.0,14.6,193.9,127.0,16.48,231.5,93.0,10.42,10.1,2.0,2.73,0.0,No
50.0,109.0,415.0,1.0,1.0,46.0,165.2,85.0,28.08,136.0,92.0,11.56,184.8,100.0,8.32,11.9,5.0,3.21,1.0,No
34.0,44.0,510.0,0.0,0.0,0.0,143.2,77.0,24.34,169.8,114.0,14.43,215.8,77.0,9.71,7.6,4.0,2.05,1.0,No
27.0,106.0,415.0,0.0,1.0,25.0,169.4,105.0,28.8,240.5,108.0,20.44,159.4,114.0,7.17,13.9,5.0,3.75,4.0,No
48.0,120.0,408.0,0.0,1.0,26.0,239.4,94.0,40.7,259.4,88.0,22.05,238.0,132.0,10.71,7.7,3.0,2.08,0.0,No
17.0,111.0,415.0,0.0,0.0,0.0,255.9,97.0,43.5,204.1,129.0,17.35,171.3,84.0,7.71,12.3,5.0,3.32,3.0,No
33.0,143.0,415.0,0.0,0.0,0.0,209.1,127.0,35.55,106.1,80.0,9.02,179.6,90.0,8.08,14.0,6.0,3.78,0.0,No
22.0,147.0,415.0,0.0,0.0,0.0,130.6,83.0,22.2,208.1,144.0,17.69,204.6,72.0,9.21,15.6,3.0,4.21,3.0,No
9.0,136.0,408.0,1.0,0.0,0.0,199.2,122.0,33.86,214.7,114.0,18.25,150.9,105.0,6.79,11.8,7.0,3.19,1.0,No
14.0,83.0,415.0,0.0,0.0,0.0,195.0,92.0,33.15,210.5,83.0,17.89,180.6,92.0,8.13,11.0,13.0,2.97,0.0,No
1.0,42.0,415.0,0.0,1.0,21.0,125.5,67.0,21.34,166.7,90.0,14.17,227.1,97.0,10.22,11.0,1.0,2.97,2.0,No
9.0,124.0,415.0,0.0,1.0,28.0,251.4,104.0,42.74,225.1,89.0,19.13,251.9,121.0,11.34,7.5,5.0,2.03,1.0,No
25.0,109.0,510.0,1.0,0.0,0.0,186.5,106.0,31.71,190.3,103.0,16.18,168.5,128.0,7.58,10.5,6.0,2.84,2.0,No
8.0,108.0,510.0,0.0,0.0,0.0,169.6,99.0,28.83,264.1,87.0,22.45,206.3,78.0,9.28,9.3,4.0,2.51,0.0,No
24.0,83.0,415.0,0.0,0.0,0.0,196.7,117.0,33.44,272.0,89.0,23.12,199.9,62.0,9.0,10.1,11.0,2.73,3.0,No
19.0,102.0,510.0,1.0,0.0,0.0,233.8,103.0,39.75,221.6,131.0,18.84,146.9,106.0,6.61,12.8,3.0,3.46,0.0,No
32.0,94.0,415.0,0.0,0.0,0.0,108.0,79.0,18.36,241.9,152.0,20.56,252.1,92.0,11.34,10.4,3.0,2.81,3.0,No
38.0,112.0,510.0,0.0,0.0,0.0,217.1,76.0,36.91,205.2,100.0,17.44,185.7,91.0,8.36,9.4,3.0,2.54,2.0,No
41.0,52.0,408.0,0.0,0.0,0.0,165.8,94.0,28.19,192.8,135.0,16.39,247.8,64.0,11.15,12.4,7.0,3.35,3.0,No
41.0,67.0,415.0,0.0,0.0,0.0,284.5,104.0,48.37,88.6,71.0,7.53,171.4,93.0,7.71,12.5,4.0,3.38,1.0,No
24.0,80.0,408.0,1.0,1.0,15.0,159.3,110.0,27.08,170.6,120.0,14.5,141.2,82.0,6.35,11.9,5.0,3.21,1.0,No
20.0,111.0,510.0,0.0,0.0,0.0,123.1,88.0,20.93,213.9,84.0,18.18,184.9,88.0,8.32,12.0,2.0,3.24,5.0,Yes
25.0,120.0,415.0,0.0,0.0,0.0,112.6,80.0,19.14,124.4,86.0,10.57,234.9,88.0,10.57,8.1,3.0,2.19,6.0,Yes
35.0,82.0,415.0,0.0,0.0,0.0,207.2,114.0,35.22,163.7,97.0,13.91,192.8,79.0,8.68,9.3,4.0,2.51,7.0,No
49.0,36.0,510.0,0.0,0.0,0.0,175.7,69.0,29.87,154.8,98.0,13.16,208.2,68.0,9.37,9.5,2.0,2.57,0.0,No
19.0,71.0,510.0,0.0,0.0,0.0,290.4,108.0,49.37,253.9,92.0,21.58,263.3,126.0,11.85,10.1,5.0,2.73,3.0,Yes
7.0,41.0,510.0,0.0,0.0,0.0,208.0,83.0,35.36,199.4,110.0,16.95,173.5,91.0,7.81,14.9,3.0,4.02,1.0,No
44.0,101.0,415.0,0.0,0.0,0.0,332.1,91.0,56.46,151.0,123.0,12.84,277.8,99.0,12.5,11.3,3.0,3.05,1.0,Yes
11.0,49.0,510.0,0.0,0.0,0.0,119.3,117.0,20.28,215.1,109.0,18.28,178.7,90.0,8.04,11.1,1.0,3.0,1.0,No
47.0,40.0,415.0,0.0,1.0,41.0,148.1,74.0,25.18,169.5,88.0,14.41,214.1,102.0,9.63,6.2,5.0,1.67,2.0,No
46.0,107.0,510.0,0.0,1.0,28.0,201.8,79.0,34.31,304.9,128.0,25.92,225.6,133.0,10.15,11.9,8.0,3.21,1.0,No
16.0,104.0,408.0,0.0,0.0,0.0,191.8,105.0,32.61,148.7,96.0,12.64,234.8,123.0,10.57,19.3,4.0,5.21,1.0,No
1.0,56.0,415.0,0.0,0.0,0.0,225.9,52.0,38.4,242.0,69.0,20.57,144.5,68.0,6.5,11.7,3.0,3.16,0.0,No
4.0,67.0,510.0,0.0,0.0,0.0,102.8,93.0,17.48,137.8,91.0,11.71,158.9,110.0,7.15,8.9,5.0,2.4,1.0,No
33.0,148.0,510.0,0.0,0.0,0.0,216.2,95.0,36.75,185.7,105.0,15.78,300.0,143.0,13.5,10.0,5.0,2.7,2.0,No
36.0,15.0,415.0,0.0,0.0,0.0,121.1,130.0,20.59,216.0,86.0,18.36,235.1,33.0,10.58,16.1,5.0,4.35,2.0,No
22.0,98.0,415.0,0.0,1.0,23.0,168.9,98.0,28.71,226.3,117.0,19.24,165.5,96.0,7.45,14.3,3.0,3.86,0.0,No
2.0,41.0,415.0,0.0,0.0,0.0,102.9,114.0,17.49,107.9,119.0,9.17,277.6,99.0,12.49,11.0,4.0,2.97,6.0,Yes
27.0,182.0,415.0,0.0,0.0,0.0,279.5,118.0,47.52,203.2,113.0,17.27,174.2,101.0,7.84,10.7,4.0,2.89,2.0,Yes
49.0,104.0,415.0,0.0,0.0,0.0,225.9,123.0,38.4,162.8,106.0,13.84,272.1,85.0,12.24,10.1,4.0,2.73,1.0,No
30.0,155.0,408.0,0.0,0.0,0.0,216.7,30.0,36.84,144.3,125.0,12.27,135.3,106.0,6.09,10.8,1.0,2.92,2.0,No
1.0,107.0,408.0,0.0,0.0,0.0,86.8,95.0,14.76,108.1,85.0,9.19,204.3,87.0,9.19,13.2,3.0,3.56,1.0,No
16.0,52.0,415.0,0.0,0.0,0.0,165.5,78.0,28.14,205.5,89.0,17.47,213.6,124.0,9.61,12.2,6.0,3.29,0.0,No
3.0,94.0,408.0,0.0,1.0,38.0,170.1,124.0,28.92,193.3,116.0,16.43,105.9,73.0,4.77,12.8,4.0,3.46,1.0,No
30.0,56.0,415.0,0.0,1.0,24.0,121.7,87.0,20.69,184.0,76.0,15.64,266.6,98.0,12.0,12.7,3.0,3.43,1.0,No
12.0,64.0,415.0,0.0,1.0,43.0,118.4,100.0,20.13,144.1,108.0,12.25,158.1,91.0,7.11,8.5,6.0,2.3,1.0,No
28.0,101.0,415.0,0.0,1.0,36.0,123.7,125.0,21.03,172.6,106.0,14.67,280.5,127.0,12.62,8.8,4.0,2.38,1.0,Yes
14.0,233.0,408.0,0.0,0.0,0.0,137.3,94.0,23.34,232.4,87.0,19.75,206.0,105.0,9.27,9.8,4.0,2.65,1.0,No
47.0,65.0,510.0,0.0,0.0,0.0,183.4,63.0,31.18,183.6,80.0,15.61,153.5,83.0,6.91,10.7,4.0,2.89,4.0,Yes
8.0,137.0,415.0,0.0,0.0,0.0,115.5,101.0,19.64,226.2,81.0,19.23,179.1,123.0,8.06,13.6,4.0,3.67,0.0,No
40.0,111.0,415.0,0.0,0.0,0.0,110.4,103.0,18.77,137.3,102.0,11.67,189.6,105.0,8.53,7.7,6.0,2.08,2.0,No
39.0,63.0,415.0,0.0,0.0,0.0,180.5,126.0,30.69,230.0,98.0,19.55,232.5,73.0,10.46,10.6,3.0,2.86,0.0,No
18.0,94.0,408.0,0.0,0.0,0.0,157.5,97.0,26.78,224.5,112.0,19.08,310.8,106.0,13.99,11.1,6.0,3.0,0.0,No
25.0,13.0,415.0,0.0,0.0,0.0,303.2,133.0,51.54,170.5,86.0,14.49,227.6,80.0,10.24,11.5,3.0,3.11,0.0,Yes
7.0,91.0,408.0,0.0,0.0,0.0,167.5,77.0,28.48,175.2,113.0,14.89,233.5,85.0,10.51,16.1,5.0,4.35,2.0,No
36.0,51.0,415.0,0.0,0.0,0.0,86.4,102.0,14.69,202.1,113.0,17.18,113.0,84.0,5.09,11.9,6.0,3.21,2.0,No
29.0,88.0,408.0,0.0,1.0,28.0,190.6,104.0,32.4,237.3,105.0,20.17,211.6,116.0,9.52,9.8,1.0,2.65,2.0,No
43.0,106.0,510.0,0.0,0.0,0.0,210.6,96.0,35.8,249.2,85.0,21.18,191.4,88.0,8.61,12.4,1.0,3.35,2.0,Yes
12.0,126.0,408.0,0.0,1.0,27.0,186.2,78.0,31.65,189.6,83.0,16.12,76.5,139.0,3.44,9.6,3.0,2.59,2.0,No
7.0,74.0,415.0,0.0,0.0,0.0,85.7,83.0,14.57,247.7,67.0,21.05,142.4,85.0,6.41,10.1,5.0,2.73,2.0,No
42.0,140.0,415.0,0.0,0.0,0.0,125.3,84.0,21.3,167.6,121.0,14.25,260.6,94.0,11.73,8.4,4.0,2.27,1.0,No
50.0,124.0,415.0,0.0,0.0,0.0,178.3,102.0,30.31,235.0,120.0,19.98,239.7,119.0,10.79,10.9,1.0,2.94,3.0,No
50.0,129.0,510.0,0.0,0.0,0.0,143.7,114.0,24.43,297.8,98.0,25.31,212.6,86.0,9.57,11.4,8.0,3.08,4.0,No
11.0,3.0,408.0,0.0,0.0,0.0,139.0,99.0,23.63,250.7,108.0,21.31,286.2,87.0,12.88,6.1,3.0,1.65,4.0,No
47.0,184.0,408.0,0.0,0.0,0.0,151.7,93.0,25.79,178.5,77.0,15.17,229.1,111.0,10.31,13.1,8.0,3.54,2.0,No
35.0,69.0,415.0,0.0,0.0,0.0,209.6,94.0,35.63,193.1,106.0,16.41,239.9,90.0,10.8,12.4,4.0,3.35,0.0,No
46.0,60.0,415.0,0.0,0.0,0.0,193.9,118.0,32.96,85.0,110.0,7.23,210.1,134.0,9.45,13.2,8.0,3.56,3.0,No
8.0,121.0,408.0,0.0,0.0,0.0,215.6,74.0,36.65,192.9,98.0,16.4,144.0,103.0,6.48,10.1,4.0,2.73,5.0,No
35.0,69.0,415.0,0.0,0.0,0.0,244.8,76.0,41.62,77.2,100.0,6.56,222.8,102.0,10.03,10.0,3.0,2.7,0.0,No
6.0,74.0,408.0,0.0,0.0,0.0,157.1,95.0,26.71,213.1,36.0,18.11,280.4,77.0,12.62,7.6,3.0,2.05,2.0,No
37.0,101.0,415.0,0.0,0.0,0.0,118.6,89.0,20.16,199.6,97.0,16.97,53.3,61.0,2.4,11.5,5.0,3.11,1.0,No
41.0,95.0,408.0,0.0,1.0,20.0,165.7,78.0,28.17,215.6,94.0,18.33,243.3,91.0,10.95,9.8,6.0,2.65,0.0,No
42.0,33.0,415.0,0.0,1.0,35.0,186.8,124.0,31.76,261.0,69.0,22.19,317.8,103.0,14.3,15.0,5.0,4.05,0.0,No
4.0,79.0,510.0,0.0,0.0,0.0,157.6,85.0,26.79,194.1,92.0,16.5,231.5,86.0,10.42,9.4,10.0,2.54,5.0,Yes
45.0,102.0,510.0,0.0,0.0,0.0,62.5,68.0,10.63,222.2,114.0,18.89,142.4,96.0,6.41,12.5,5.0,3.38,1.0,No
45.0,94.0,415.0,0.0,0.0,0.0,208.1,72.0,35.38,188.0,79.0,15.98,162.0,96.0,7.29,4.6,5.0,1.24,2.0,No
46.0,106.0,510.0,1.0,0.0,0.0,196.7,100.0,33.44,210.2,109.0,17.87,173.8,83.0,7.82,7.8,1.0,2.11,4.0,Yes
3.0,86.0,415.0,0.0,1.0,32.0,70.9,163.0,12.05,166.7,121.0,14.17,244.9,105.0,11.02,11.1,5.0,3.0,3.0,No
45.0,139.0,510.0,0.0,1.0,23.0,157.6,129.0,26.79,247.0,96.0,21.0,259.2,112.0,11.66,13.7,2.0,3.7,0.0,No
10.0,76.0,408.0,0.0,0.0,0.0,203.6,61.0,34.61,161.7,127.0,13.74,175.9,97.0,7.92,8.4,3.0,2.27,0.0,No
1.0,144.0,415.0,0.0,0.0,0.0,177.5,93.0,30.18,287.4,75.0,24.43,180.5,118.0,8.12,11.9,3.0,3.21,2.0,No
4.0,126.0,415.0,0.0,0.0,0.0,97.0,96.0,16.49,213.1,79.0,18.11,322.2,79.0,14.5,10.8,3.0,2.92,5.0,Yes
11.0,24.0,415.0,0.0,0.0,0.0,156.2,104.0,26.55,90.0,101.0,7.65,205.1,116.0,9.23,7.3,5.0,1.97,1.0,No
29.0,115.0,415.0,0.0,0.0,0.0,135.4,104.0,23.02,138.8,91.0,11.8,208.5,92.0,9.38,5.4,3.0,1.46,1.0,No
34.0,32.0,415.0,0.0,0.0,0.0,164.8,98.0,28.02,229.9,96.0,19.54,167.3,108.0,7.53,14.8,2.0,4.0,2.0,No
20.0,70.0,408.0,0.0,0.0,0.0,170.2,98.0,28.93,155.2,102.0,13.19,228.6,76.0,10.29,15.0,2.0,4.05,1.0,No
5.0,86.0,415.0,0.0,0.0,0.0,217.8,93.0,37.03,214.7,95.0,18.25,228.7,70.0,10.29,11.3,7.0,3.05,0.0,No
25.0,17.0,408.0,0.0,1.0,35.0,198.5,123.0,33.75,270.6,74.0,23.0,209.9,130.0,9.45,8.1,10.0,2.19,1.0,No
35.0,52.0,408.0,0.0,1.0,31.0,142.1,77.0,24.16,193.0,97.0,16.41,253.4,88.0,11.4,11.0,4.0,2.97,1.0,No
2.0,115.0,415.0,0.0,1.0,37.0,184.1,67.0,31.3,159.4,104.0,13.55,193.3,121.0,8.7,13.3,3.0,3.59,0.0,No
33.0,71.0,415.0,1.0,0.0,0.0,178.2,113.0,30.29,167.8,94.0,14.26,182.1,111.0,8.19,13.6,3.0,3.67,3.0,Yes
3.0,94.0,408.0,0.0,0.0,0.0,181.8,85.0,30.91,202.4,98.0,17.2,245.9,97.0,11.07,9.2,2.0,2.48,4.0,No
49.0,77.0,510.0,0.0,0.0,0.0,67.7,68.0,11.51,195.7,86.0,16.63,236.5,137.0,10.64,12.0,2.0,3.24,1.0,No
50.0,71.0,415.0,0.0,0.0,0.0,243.7,124.0,41.43,60.0,90.0,5.1,189.0,129.0,8.5,11.3,2.0,3.05,0.0,No
0.0,146.0,510.0,1.0,0.0,0.0,163.5,85.0,27.8,224.8,149.0,19.11,253.1,116.0,11.39,9.8,4.0,2.65,1.0,No
43.0,28.0,415.0,0.0,0.0,0.0,159.7,79.0,27.15,216.7,131.0,18.42,206.7,116.0,9.3,9.3,3.0,2.51,2.0,No
24.0,86.0,415.0,0.0,0.0,0.0,125.5,139.0,21.34,269.8,93.0,22.93,235.8,110.0,10.61,8.9,8.0,2.4,1.0,No
1.0,131.0,510.0,0.0,0.0,0.0,153.4,86.0,26.08,198.5,81.0,16.87,164.4,83.0,7.4,10.4,3.0,2.81,0.0,No
5.0,65.0,408.0,0.0,0.0,0.0,131.5,119.0,22.36,222.3,119.0,18.9,155.3,83.0,6.99,11.1,7.0,3.0,1.0,No
9.0,116.0,415.0,0.0,1.0,17.0,193.4,112.0,32.88,240.6,131.0,20.45,248.1,98.0,11.16,11.4,3.0,3.08,5.0,No
9.0,31.0,510.0,0.0,0.0,0.0,165.4,84.0,28.12,203.7,107.0,17.31,201.7,65.0,9.08,8.2,1.0,2.21,1.0,No
47.0,166.0,510.0,0.0,0.0,0.0,156.8,100.0,26.66,171.5,93.0,14.58,149.1,97.0,6.71,11.2,10.0,3.02,1.0,Yes
35.0,125.0,408.0,0.0,0.0,0.0,106.1,95.0,18.04,157.6,113.0,13.4,192.5,69.0,8.66,8.1,3.0,2.19,1.0,No
33.0,141.0,415.0,0.0,0.0,0.0,192.4,111.0,32.71,156.9,87.0,13.34,175.8,82.0,7.91,11.0,6.0,2.97,0.0,No
31.0,138.0,510.0,0.0,0.0,0.0,220.2,89.0,37.43,88.3,125.0,7.51,195.3,79.0,8.79,12.9,5.0,3.48,0.0,No
43.0,152.0,415.0,0.0,0.0,0.0,141.5,102.0,24.06,263.0,94.0,22.36,207.1,113.0,9.32,3.4,4.0,0.92,2.0,No
38.0,96.0,510.0,0.0,0.0,0.0,179.5,125.0,30.52,162.3,139.0,13.8,264.5,133.0,11.9,6.6,2.0,1.78,1.0,No
49.0,86.0,415.0,0.0,1.0,38.0,123.0,158.0,20.91,133.9,119.0,11.38,138.2,103.0,6.22,13.3,4.0,3.59,1.0,No
10.0,18.0,415.0,0.0,0.0,0.0,156.0,88.0,26.52,213.8,127.0,18.17,244.9,113.0,11.02,11.4,9.0,3.08,1.0,No
7.0,63.0,408.0,0.0,0.0,0.0,83.0,64.0,14.11,177.0,106.0,15.05,245.7,89.0,11.06,13.0,3.0,3.51,0.0,No
25.0,38.0,415.0,0.0,1.0,25.0,142.4,106.0,24.21,313.7,109.0,26.66,126.6,117.0,5.7,13.4,6.0,3.62,2.0,No
29.0,124.0,415.0,0.0,0.0,0.0,182.7,98.0,31.06,197.2,93.0,16.76,220.6,105.0,9.93,8.1,4.0,2.19,1.0,No
8.0,87.0,415.0,0.0,0.0,0.0,177.2,72.0,30.12,248.9,105.0,21.16,200.8,87.0,9.04,8.6,7.0,2.32,3.0,No
