sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,target
1,30,0,2,0,0,0,0,0.0,0.0,8,0,1,0,1,1,1071,-1
0,31,0,2,0,0,0,9,-1.0,1.0,3,6,2,0,4,2,85,0
1,22,2,0,0,1,1,3,-1.0,1.0,7,9,0,0,6,2,1176,0
1,22,2,0,0,0,0,1,-1.0,1.0,1,6,2,0,8,0,967,-1
1,56,1,0,0,0,0,0,-1.0,1.0,3,1,1,0,0,1,1101,-1
1,35,0,0,0,0,0,13,-1.0,1.0,3,7,0,0,6,2,935,0
0,34,0,0,0,0,0,5,-1.0,1.0,1,2,1,0,2,1,1080,0
0,47,1,2,0,0,0,2,-1.0,1.0,2,4,2,0,0,1,688,-1
0,22,2,2,0,0,0,2,-31.0,31.0,3,5,2,0,6,2,80,0
1,28,0,0,0,0,0,2,-1.0,1.0,3,4,2,0,6,2,1138,-1
1,47,1,2,0,0,0,3,-1.0,1.0,3,1,1,0,0,1,224,-1
1,29,0,0,0,0,0,1,0.0,0.0,7,1,1,0,1,1,22,0
1,39,0,2,0,0,0,1,-3.0,4.0,3,2,1,0,3,1,781,-1
1,57,1,2,0,0,0,1,-26.0,26.0,2,0,1,0,0,1,1024,-1
1,23,2,0,0,0,0,2,-1.0,1.0,2,8,0,0,6,2,500,0
0,27,0,0,0,0,0,2,-14.0,14.0,7,3,1,0,2,1,147,0
1,22,2,5,0,0,1,2,-51.0,51.0,3,1,1,0,3,1,101,-1
0,54,1,2,0,0,0,1,-4.0,4.0,7,1,1,0,0,1,1065,-1
1,24,2,2,0,0,0,3,-1.0,1.0,3,7,0,0,5,2,487,0
0,31,0,2,0,0,0,3,468.0,146.0,3,6,2,0,3,1,739,0
0,38,0,0,0,0,0,1,-1.0,1.0,2,0,1,0,0,1,1081,-1
1,61,1,3,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1181,-1
1,41,0,5,0,0,0,31,0.0,1.0,3,8,0,0,4,2,382,0
0,25,0,0,0,0,0,3,-23.0,23.0,7,9,0,0,7,0,795,-1
1,60,1,3,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,786,-1
1,36,0,0,0,0,0,9,-1.0,1.0,3,6,2,0,6,2,1046,0
1,24,2,0,0,1,0,4,-27.0,27.0,3,7,0,0,4,2,43,0
1,32,0,0,0,0,0,7,0.0,0.0,3,8,0,0,8,0,154,0
1,47,1,4,4,0,0,22,0.0,0.0,3,9,0,0,4,2,691,0
0,34,0,2,0,0,0,1,-1.0,1.0,3,5,2,0,1,1,1149,0
1,27,0,0,0,0,0,5,20.0,78.0,3,9,0,0,9,0,976,-1
1,59,1,2,0,0,0,0,-1.0,2.0,8,1,1,0,1,1,658,0
1,29,0,0,0,0,0,1,-1.0,1.0,8,3,1,0,2,1,1047,-1
1,24,2,0,0,0,1,7,-97.0,97.0,8,7,0,0,8,0,151,0
0,30,0,0,0,0,0,3,-1.0,1.0,3,1,1,0,1,1,810,-1
0,24,2,0,0,0,0,2,0.0,0.0,8,5,2,0,4,2,404,-1
1,27,0,0,0,0,0,1,-1.0,1.0,3,2,1,0,2,1,1113,0
0,26,0,2,0,0,0,2,0.0,1.0,3,2,1,0,2,1,639,-1
0,34,0,2,0,0,1,0,-2.0,3.0,3,1,1,0,0,1,159,0
1,22,2,0,0,0,0,1,-1.0,1.0,2,5,2,0,5,2,533,0
1,33,0,0,2,0,0,9,-1.0,1.0,8,8,0,0,8,0,481,0
0,28,0,2,0,0,0,0,-1.0,1.0,7,1,1,0,1,1,558,-1
0,39,0,2,0,0,0,1,-1.0,1.0,3,3,1,0,2,1,1131,-1
1,50,1,2,0,0,0,2,-32.0,32.0,3,0,1,0,0,1,830,-1
1,23,2,2,0,0,2,1,-20.0,20.0,3,4,2,0,5,2,272,0
1,56,1,0,0,0,0,31,-22.0,23.0,3,5,2,0,6,2,853,0
1,24,2,0,0,0,0,2,-1.0,4.0,7,8,0,0,8,0,238,0
1,49,1,2,0,0,0,0,-1.0,1.0,3,4,2,0,1,1,1142,-1
1,69,1,5,0,0,0,1,-2.0,2.0,3,0,1,0,0,1,557,-1
1,24,2,0,0,0,0,1,-1.0,1.0,3,2,1,0,4,2,567,0
1,25,0,0,0,0,0,7,258.0,134.0,3,9,0,0,9,0,1116,0
1,39,0,2,0,0,0,2,-2.0,3.0,3,0,1,0,0,1,1143,0
1,37,0,2,0,0,0,4,0.0,0.0,7,3,1,0,2,1,212,0
1,60,1,0,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,831,-1
0,33,0,0,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,743,-1
0,29,0,3,0,0,0,0,-3.0,3.0,8,2,1,0,1,1,1033,-1
1,40,0,3,0,0,0,0,0.0,1.0,2,0,1,0,0,1,886,-1
1,47,1,3,0,0,0,3,-1.0,1.0,8,5,2,0,0,1,1148,0
1,30,0,2,0,0,0,1,-1.0,1.0,2,3,1,0,2,1,602,-1
1,29,0,0,0,0,0,6,108.0,1.0,3,5,2,0,2,1,690,0
1,32,0,2,0,0,0,0,0.0,0.0,3,0,1,0,0,1,1127,-1
1,29,0,0,0,0,0,8,-1.0,65.0,8,8,0,0,3,1,748,-1
1,44,0,2,0,0,0,5,-1.0,1.0,3,1,1,0,0,1,690,-1
1,46,1,2,0,0,0,5,-93.0,93.0,8,0,1,0,0,1,104,-1
1,26,0,0,0,0,0,1,-1.0,1.0,3,3,1,0,2,1,902,-1
1,23,2,2,0,0,0,0,0.0,0.0,3,8,0,0,8,0,1090,-1
1,47,1,5,0,0,0,0,-1.0,1.0,8,5,2,0,3,1,710,-1
1,29,0,0,0,0,0,6,-1.0,1.0,3,7,0,0,3,1,371,0
1,27,0,0,0,0,0,2,-1.0,1.0,3,8,0,0,7,0,853,0
1,30,0,0,0,0,0,1,-305.0,305.0,3,6,2,0,3,1,767,-1
1,30,0,2,0,0,0,3,-1.0,1.0,3,6,2,0,2,1,583,-1
1,22,2,2,0,0,0,1,-36.0,36.0,3,1,1,0,4,2,630,-1
1,38,0,3,0,0,0,4,-1.0,0.0,3,5,2,0,3,1,1085,-1
0,36,0,0,0,0,0,2,-2.0,2.0,7,4,2,0,2,1,896,-1
1,26,0,0,0,0,0,6,0.0,0.0,8,9,0,0,3,1,989,0
0,36,0,2,0,0,0,3,-2.0,2.0,3,0,1,0,0,1,352,0
1,57,1,5,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,889,0
1,29,0,2,0,0,0,8,149.0,146.0,8,8,0,0,6,2,288,0
1,44,0,2,3,0,0,16,-1.0,1.0,7,6,2,0,2,1,1161,-1
1,26,0,0,0,0,0,5,-1.0,1.0,7,6,2,0,5,2,1129,-1
1,31,0,3,0,0,0,0,0.0,0.0,3,9,0,0,8,0,48,0
0,49,1,2,0,0,0,2,0.0,0.0,7,0,1,0,0,1,138,0
0,23,2,0,0,0,0,0,-1.0,1.0,3,4,2,0,4,2,1176,0
1,34,0,0,0,0,0,0,0.0,0.0,3,3,1,0,3,1,1179,-1
1,45,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1038,-1
1,51,1,0,1,0,0,19,-1.0,1.0,3,7,0,0,2,1,146,0
1,43,0,2,0,0,0,4,-55.0,55.0,8,1,1,0,0,1,988,-1
0,54,1,3,0,0,0,0,0.0,0.0,7,0,1,0,0,1,1047,-1
1,35,0,5,0,0,0,1,-25.0,25.0,3,2,1,0,0,1,590,-1
1,46,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,747,-1
1,22,2,0,0,0,0,1,0.0,1.0,3,8,0,0,6,2,657,0
1,25,0,0,0,0,1,4,-1.0,1.0,2,8,0,0,7,0,358,0
0,25,0,0,0,0,0,5,-1.0,2.0,7,6,2,0,6,2,86,0
1,37,0,3,0,0,0,9,-1.0,1.0,2,4,2,0,2,1,1149,-1
1,23,2,0,0,0,0,6,-1.0,1.0,3,8,0,0,7,0,393,0
1,34,0,0,2,1,3,21,0.0,0.0,2,8,0,0,5,2,1176,0
0,25,0,0,0,0,0,1,-10.0,10.0,3,3,1,0,3,1,688,-1
1,25,0,0,0,0,1,7,507.0,47.0,3,7,0,0,8,0,736,-1
1,29,0,2,0,0,0,6,-1.0,1.0,3,3,1,0,1,1,489,0
1,66,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,956,-1
