lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,target
7649.0,236.0,199.0,179.0,179.0,99.0,146.0214,176.3434,86.0349,72.8097,73.2462,99.0,99.0,0.0,0.0,0.2616,0.2326,0.0099,1,3,1
1030.0,31.0,119.0,219.0,219.0,80.0,66.191,142.6482,75.6042,19.5256,17.7553,219.0,219.0,0.0,259.0,0.1254,0.1189,0.0188,3,2,0
7644.0,236.0,139.0,199.0,199.0,179.0,404.6891,407.2079,411.1119,31.753,24.6221,199.0,199.0,0.0,0.0,0.1871,0.2616,0.0199,1,2,1
6386.0,189.0,0.0,99.0,278.0,159.0,0.0,207.0151,0.0,74.5268,57.2473,278.0,139.0,0.0,0.0,0.004,0.1335,0.0503,1,1,1
9542.0,294.0,99.0,159.0,159.0,80.0,315.3811,58.0775,159.0503,157.9723,146.219,159.0,159.0,0.0,0.0,0.2306,0.6081,0.0267,6,4,1
2957.0,90.0,279.0,239.0,239.0,180.0,92.4392,590.0686,45.1774,56.4469,45.0694,239.0,239.0,698.0,0.0,1.4802,1.4802,0.0496,4,7,0
1807.0,57.0,119.0,80.0,80.0,80.0,246.1229,134.708,221.1447,28.1114,23.4361,80.0,80.0,0.0,99.0,0.1663,0.1739,0.0089,7,5,0
8764.0,277.0,258.0,199.0,199.0,139.0,651.6504,205.7942,754.1631,110.0727,111.0405,139.0,139.0,0.0,199.0,0.1963,0.1658,0.0147,10,1,1
8345.0,261.0,219.0,338.0,338.0,219.0,45.1774,86.4653,68.4105,37.2156,51.2372,338.0,338.0,697.0,0.0,0.1824,0.3884,0.0552,7,1,0
2727.0,83.0,379.0,239.0,239.0,379.0,57.1686,147.8792,96.5194,70.0286,113.1205,239.0,239.0,0.0,0.0,0.194,0.19,0.0239,4,1,0
5729.0,169.0,139.0,99.0,258.0,119.0,499.5928,36.3456,545.7921,53.1907,61.8809,258.0,129.0,0.0,0.0,0.08,0.3345,0.0324,7,1,1
9322.0,289.0,139.0,99.0,99.0,99.0,191.1675,190.9097,144.8862,50.3314,69.464,199.0,199.0,6363.0,4116.0,0.1172,0.1167,0.0096,4,3,0
6399.0,189.0,119.0,99.0,99.0,80.0,140.1856,122.1024,182.5705,62.0725,51.2957,99.0,99.0,0.0,0.0,-0.034,0.0355,0.0179,5,2,0
5158.0,156.0,139.0,199.0,199.0,179.0,107.2287,210.5053,83.3607,32.0156,59.8206,199.0,199.0,0.0,0.0,0.1563,0.1563,0.0412,1,4,1
8383.0,263.0,119.0,119.0,536.0,179.0,259.3318,112.54,384.4268,143.3911,187.6499,477.0,159.0,0.0,0.0,0.2802,0.2802,0.1067,1,1,0
6428.0,190.0,179.0,80.0,199.0,99.0,147.589,171.2921,184.6781,25.1048,23.0217,199.0,99.5,0.0,0.0,-0.0001,0.3249,0.0405,5,1,1
2639.0,79.0,20.0,199.0,199.0,319.0,67.5074,556.234,47.0106,80.5761,70.6576,199.0,199.0,1016.0,239.0,0.156,-0.5825,0.0211,4,5,0
10402.0,317.0,258.0,119.0,119.0,219.0,227.83,1542.1765,194.7434,42.9331,47.4157,119.0,119.0,1571.0,0.0,0.1417,0.6747,0.0196,10,8,0
6270.0,184.0,159.0,159.0,159.0,99.0,33.6341,0.0,113.2784,96.6398,88.806,99.0,99.0,0.0,159.0,0.3695,0.3695,0.0306,1,2,1
6126.0,180.0,219.0,139.0,318.0,80.0,138.5938,490.2808,41.6173,113.2795,29.6522,318.0,159.0,0.0,0.0,0.3156,0.3156,0.0308,10,6,1
6716.0,200.0,119.0,119.0,119.0,80.0,181.3974,60.92,90.0056,96.4689,116.4302,119.0,119.0,0.0,0.0,0.1006,0.1795,0.0264,10,2,0
6491.0,192.0,159.0,119.0,119.0,119.0,333.1625,223.5805,381.0118,41.1461,39.8152,119.0,119.0,0.0,119.0,0.0404,0.0859,0.0315,9,1,0
9803.0,302.0,159.0,219.0,219.0,100.0,260.4309,234.8154,259.4937,11.6726,21.0297,219.0,219.0,0.0,0.0,0.1085,0.1915,0.0443,3,3,1
936.0,28.0,219.0,239.0,239.0,199.0,261.1226,116.3497,258.544,4.0,9.3408,239.0,239.0,477.0,239.0,0.0814,0.0359,0.0256,3,2,0
8984.0,283.0,219.0,179.0,179.0,159.0,200.1599,385.643,128.4134,81.9085,84.5488,179.0,179.0,0.0,0.0,0.0597,0.1052,0.0252,1,3,1
8314.0,259.0,139.0,99.0,218.0,199.0,458.6189,93.8736,506.7642,43.9005,42.2966,218.0,109.0,0.0,0.0,0.1039,0.2004,0.0408,7,1,1
5804.0,172.0,0.0,139.0,298.0,258.0,0.0,156.0072,0.0,69.0,76.9025,298.0,149.0,0.0,0.0,0.086,0.199,0.0655,1,1,0
5193.0,157.0,119.0,238.0,238.0,159.0,506.9795,184.6734,585.0214,76.4853,77.3692,338.0,338.0,0.0,576.0,0.0233,0.1008,0.0348,4,1,1
8774.0,278.0,179.0,80.0,80.0,159.0,201.6792,212.9413,170.8362,40.9176,31.3847,179.0,179.0,457.0,438.0,0.1473,0.1733,0.0239,1,3,1
2329.0,74.0,199.0,239.0,239.0,219.0,58.1485,77.4758,45.8803,60.6898,71.8001,239.0,239.0,0.0,0.0,0.3987,0.5577,0.0203,2,3,1
6424.0,190.0,258.0,80.0,80.0,80.0,325.8105,449.2029,412.4961,86.5794,72.892,80.0,80.0,0.0,0.0,0.2374,0.1989,0.0163,2,1,0
3512.0,108.0,139.0,99.0,358.0,179.0,193.9001,101.6673,266.2574,58.5769,100.0012,358.0,119.3333,0.0,0.0,0.0383,0.3008,0.0688,8,1,0
797.0,24.0,239.0,179.0,179.0,179.0,122.2007,111.8403,148.0135,22.9456,24.2539,179.0,179.0,596.0,179.0,0.0386,0.1211,0.0198,3,3,0
8517.0,269.0,199.0,139.0,239.0,239.0,103.3017,84.5,141.3259,64.7012,80.3523,239.0,119.5,0.0,0.0,0.1622,0.0052,0.0534,3,1,1
7978.0,248.0,99.0,179.0,179.0,80.0,116.0399,61.8971,225.3375,104.4521,109.276,179.0,179.0,0.0,0.0,0.2298,0.3283,0.0245,7,1,0
1296.0,41.0,99.0,159.0,159.0,239.0,137.5736,584.7959,17.8045,116.4302,105.2295,159.0,159.0,0.0,0.0,0.3152,0.3222,0.0169,9,5,0
