V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,target
0.099838,0.291667,0.41875,0.7427,0.658381,0.279959,0.363059,0.0315905,0.182563,132.31,122.886,120.309,35.8781,34.5878,34.2869,-0.0537454,0.306072,0.519924,74.5222,1.88847,1.65208,9.02407,1.14419,2.40346,-0.735972,-0.447346,-0.632755,63.2227,0.40625,8.44279,13.7057,0.139579,14.2825,0.17389,-3.85996,0.725072,181.849,0.422917,182.906,44.2534,0.532716,32.575,13.2825,137.707,46.2641,0.0822201,0.367333,0.022281,122.504,-0.276476,43.5559,2.50501,0.275977,0.578664,1
0.0243345,0.735417,0.125,0.446281,0.0659301,0.642822,0.103693,0.166944,0.735285,228.335,244.216,247.809,24.7554,23.3986,24.1468,-3.77905,-4.89307,-5.19896,97.6856,-2.12773,-1.59365,4.51018,1.56454,1.49276,-5.00591,-1.43808,-0.0991016,55.3873,1.0,1.59571,63.9436,0.214532,15.1586,0.0532428,9.57494,0.325348,46.7601,0.220833,120.199,64.1569,3.34415,25.6401,16.0726,186.206,44.9552,0.344387,0.358229,0.107972,64.6507,1.49587,28.7382,3.37289,0.109485,0.721516,0
0.562118,1.0,0.597917,0.500273,0.309246,0.971402,0.575095,0.0123129,0.0598722,135.963,160.328,193.058,49.1649,56.3329,63.8242,-0.807028,-1.3513,-1.94888,80.3834,-1.03551,-10.0247,16.3633,2.25597,6.6612,-1.97765,2.4001,1.23646,82.8648,1.0,15.0341,43.6042,0.320333,2.54594,0.242846,0.637685,0.0262816,161.955,0.105556,102.109,35.3705,-0.248041,21.4758,11.212,163.212,15.7089,0.748929,0.0217419,0.0175371,105.998,-0.957792,55.9054,12.9479,0.465463,0.112234,0
0.0381944,0.175,0.322917,0.586844,0.364409,0.159375,0.265978,0.0539394,0.324117,215.742,204.606,190.7,41.1455,47.6142,54.3252,-1.28287,-1.04069,-0.876071,91.2347,0.833378,4.86651,9.56137,2.05654,5.80302,-1.99889,5.80175,2.48434,79.844,0.370833,1.52511,55.3531,0.647877,7.38369,0.213157,0.331511,1.19167,154.373,0.116667,108.37,21.1251,0.815187,25.8512,18.0463,112.235,16.9423,0.921592,0.233245,0.0306286,169.901,0.0869482,21.9377,3.02321,0.102471,1.00225,1
0.379711,1.0,0.48125,0.532038,0.228599,1.05089,0.441007,0.0200415,0.210991,55.1434,64.5498,40.6143,35.2567,37.5595,30.8499,0.724762,0.541201,1.32476,52.4989,-9.28205,14.4496,16.0199,5.14496,9.9444,-0.44601,-0.883521,1.30207,92.0514,0.154167,1.99472,21.5388,0.181537,10.4004,0.427562,6.01405,-9.75939,65.2523,0.10625,58.5492,22.9339,-0.930912,16.4845,11.9374,30.1248,22.6843,0.486022,0.363441,0.0613191,94.453,-12.137,69.1316,16.4006,0.577211,0.48274,0
0.174977,0.814583,0.372222,0.674234,0.874707,0.71246,0.285001,0.0373065,0.422911,120.131,129.125,127.191,47.7223,48.5589,45.7998,-0.394859,-0.42447,-0.371318,73.9654,-2.37964,-0.461688,14.0376,1.7013,3.25592,-1.26787,-0.446732,-0.676789,59.6608,0.352083,4.15453,9.26247,0.0885932,9.27757,0.0664854,4.36869,-0.417363,40.0038,0.402778,29.0961,23.197,0.464803,20.7914,12.7333,162.432,64.0662,0.692536,0.392597,0.155772,126.97,0.609621,25.172,8.67834,0.162888,0.848979,0
0.199271,1.0,0.338889,0.493815,0.388823,1.01617,0.23644,0.0365917,0.411988,115.552,120.968,131.73,22.5725,20.671,19.966,2.29166,2.69427,2.35325,74.1252,0.0821406,-4.13788,4.68556,1.21754,4.17106,1.79991,-0.218757,-0.320731,71.6126,1.0,-1.54571,10.0795,0.0839623,2.44161,0.409182,5.37525,0.0506745,136.013,0.902778,251.128,43.1057,-0.305551,60.823,8.07289,136.988,47.8111,0.542187,0.349272,0.0317909,150.076,-3.38727,20.7585,9.18979,0.248252,1.02722,0
0.0138542,0.197917,0.116667,0.530696,0.370136,0.163672,0.10689,0.0898078,0.4,160.089,198.937,182.708,14.5821,14.7346,18.7535,-0.0542998,-0.579535,-0.465662,88.9991,-8.56753,1.81984,2.76424,1.48567,2.30296,-0.83574,0.826617,1.54106,70.8532,1.0,-6.13447,40.1439,0.565946,10.2727,0.419259,8.86742,1.79073,109.21,0.2125,252.476,12.7028,0.678967,24.675,16.4656,121.111,22.8836,0.503667,0.303637,0.074255,74.0717,-0.661448,16.1744,10.2695,0.114126,0.863705,1
0.0760359,0.28125,0.366667,0.110615,0.17754,0.231599,0.34444,0.0379785,0.262682,74.3206,130.714,189.911,11.5758,13.2261,13.5499,0.11822,-0.0620749,-0.257572,74.8624,-5.94399,-21.7619,3.15318,0.774955,2.1222,-0.174991,-0.0849567,0.928701,99.4777,0.594444,-4.18885,39.7729,0.475932,6.24846,0.253765,4.35562,-0.134547,81.1339,0.341667,109.901,31.2984,0.245474,60.7504,11.408,164.381,40.8916,0.63504,0.596708,0.0795802,109.633,0.758605,63.3224,14.9791,0.217793,0.0681937,1
0.0105208,0.0875,0.16875,0.714665,0.711226,0.0735437,0.141892,0.0810644,0.287478,41.2432,28.0396,22.0724,40.5649,36.9049,29.8915,2.7119,3.02132,3.44566,35.8817,8.49828,8.57769,16.03,5.15752,7.14198,1.59581,0.720738,0.756283,68.7601,0.164583,-0.854733,72.8361,0.106169,9.95578,0.129677,2.89517,0.929777,252.887,0.572222,102.91,37.1874,0.00142602,49.2467,3.02923,87.3685,52.4477,0.562494,0.127946,0.0864358,110.658,1.64894,18.3912,25.9211,0.24653,0.386854,0
