f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,target
100,93,77,71,94,12,50,0,0,0,31,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N
74,77,76,71,94,0,0,44,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
79,77,76,71,94,0,44,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
92,84,76,71,94,0,0,28,18,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
47,88,76,71,94,0,0,0,3,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
73,84,84,77,94,25,37,0,0,0,1,2,0,1,7,0,0,0,1,7,0,0,0,0,0,0,P
74,84,78,71,94,0,0,0,9,56,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,P
40,97,81,77,94,1,2,0,0,0,9,37,0,0,0,0,0,0,0,8,0,0,0,0,0,0,P
47,102,76,74,94,1,8,0,0,0,3,49,0,0,0,0,0,0,0,0,0,2,0,0,0,0,N
73,78,79,72,94,31,31,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,P
15,77,79,93,135,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,12,0,N
99,92,76,71,94,0,0,18,28,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
77,77,76,71,94,2,2,2,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
65,77,76,71,94,37,9,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
56,119,90,71,94,0,1,2,0,0,17,62,0,0,0,15,4,0,0,0,0,0,0,0,0,0,N
133,93,76,73,95,1,2,63,16,1,57,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,N
124,100,76,71,94,47,33,1,0,0,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
78,109,90,71,94,0,4,2,0,63,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,P
108,86,76,71,94,1,2,0,62,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
30,167,76,71,94,0,0,1,2,0,0,3,55,49,0,0,0,0,0,0,0,0,0,0,0,0,N
74,77,76,71,94,0,0,0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
65,77,76,71,94,5,42,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
71,79,79,71,94,0,0,31,31,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,P
16,129,81,71,94,0,0,0,0,0,0,3,6,37,14,0,0,0,0,0,0,0,0,0,0,0,N
68,87,76,71,94,0,1,1,2,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
13,77,92,120,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0,0,N
70,79,76,71,94,0,32,22,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
91,95,76,71,94,1,2,0,32,14,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
67,82,76,75,96,1,0,0,0,40,22,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,P
65,86,76,71,94,1,2,0,0,31,27,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,P
74,77,76,77,94,37,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,P
22,111,81,77,94,0,0,0,0,0,0,0,39,6,0,0,0,0,0,7,1,0,0,0,0,0,N
89,128,79,71,94,37,9,0,0,2,43,0,0,35,9,0,0,0,0,0,0,0,0,0,0,0,N
63,77,76,71,94,0,2,13,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
71,79,77,76,94,0,0,31,31,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,P
76,77,79,72,94,4,1,56,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,P
76,79,76,71,94,0,5,0,0,62,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,P
107,102,76,71,94,0,0,3,0,23,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
86,85,76,71,94,31,31,0,0,0,18,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,P
76,77,76,71,94,62,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
67,89,76,71,94,0,2,7,0,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
68,77,76,71,94,34,21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
100,107,76,71,94,0,0,50,12,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
40,138,76,71,94,0,0,2,0,0,5,40,11,33,0,0,0,0,0,0,0,0,0,0,0,0,N
89,119,96,71,94,3,0,0,47,31,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0,N
79,97,76,71,94,0,0,0,0,30,39,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
80,77,76,71,94,4,5,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
74,77,76,71,94,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
56,105,113,71,94,0,42,5,0,0,0,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,N
75,106,76,71,94,0,0,1,5,0,61,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
54,88,76,71,94,0,0,2,6,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
15,85,138,73,104,0,0,0,0,0,2,1,0,0,0,0,30,27,0,0,0,0,0,0,6,1,N
66,77,76,71,94,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
110,96,79,71,94,0,0,0,19,43,44,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,N
75,77,76,78,99,0,0,2,8,56,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,P
99,93,76,71,94,0,0,1,31,31,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
117,77,76,71,94,56,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
59,77,76,71,94,0,32,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
18,99,102,71,94,0,0,0,0,4,0,0,0,0,5,38,0,0,0,0,0,0,0,0,0,0,N
75,79,76,71,94,17,4,0,2,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
51,82,76,73,96,0,0,0,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,P
20,77,128,71,94,3,0,1,1,2,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,N
96,82,76,71,94,0,37,9,1,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
