nohup: ignoring input

✅ Config validation passed: /workspaces/Aria/config/master_orchestrator.yaml
[master] Starting daemon mode...
[master] Check interval: 60 seconds
[master] Health check at 2026-03-29 07:26:52
[master] Health check at 2026-03-29 07:27:55
[master] Health check at 2026-03-29 07:29:00
[master] Health check at 2026-03-29 07:30:06
[master] Health check at 2026-03-29 07:31:11
[master] Health check at 2026-03-29 07:32:17
[master] Health check at 2026-03-29 07:33:22
[master] Health check at 2026-03-29 07:34:27
[master] Health check at 2026-03-29 07:35:30
[master] Health check at 2026-03-29 07:36:34
[master] Health check at 2026-03-29 07:37:39
[master] Health check at 2026-03-29 07:38:45
[master] Health check at 2026-03-29 07:39:50
[master] Health check at 2026-03-29 07:40:55
[master] Health check at 2026-03-29 07:42:00
[master] Health check at 2026-03-29 07:43:05
[master] Health check at 2026-03-29 07:44:10
[master] Health check at 2026-03-29 07:45:16
[master] Health check at 2026-03-29 07:46:22
[master] Health check at 2026-03-29 07:47:24
[master] Health check at 2026-03-29 07:48:30
[master] Health check at 2026-03-29 07:49:36
[master] Health check at 2026-03-29 07:50:42
[master] Health check at 2026-03-29 07:51:47
[master] Health check at 2026-03-29 07:52:53
[master] Health check at 2026-03-29 07:53:59
[master] Health check at 2026-03-29 07:55:01
[master] Health check at 2026-03-29 07:56:07
[master] Health check at 2026-03-29 07:57:13
[master] Health check at 2026-03-29 07:58:19
[master] Health check at 2026-03-29 07:59:24
[master] Health check at 2026-03-29 08:00:30
[master] Health check at 2026-03-29 08:01:36
[master] Health check at 2026-03-29 08:02:38
[master] Health check at 2026-03-29 08:03:44
[master] Health check at 2026-03-29 08:04:50
[master] Health check at 2026-03-29 08:05:53
[master] Health check at 2026-03-29 08:06:56
[master] Health check at 2026-03-29 08:08:00
[master] Health check at 2026-03-29 08:09:03
[master] Health check at 2026-03-29 08:10:08
[master] Health check at 2026-03-29 08:11:13
[master] Health check at 2026-03-29 08:12:19
[master] Health check at 2026-03-29 08:13:25
[master] Health check at 2026-03-29 08:14:30
[master] Health check at 2026-03-29 08:15:36
[master] Health check at 2026-03-29 08:16:39
[master] Health check at 2026-03-29 08:17:46
[master] Health check at 2026-03-29 08:18:52
[master] Health check at 2026-03-29 08:19:57
[master] Health check at 2026-03-29 08:21:00
[master] Health check at 2026-03-29 08:22:06
[master] Health check at 2026-03-29 08:23:12
[master] Health check at 2026-03-29 08:24:17
[master] Health check at 2026-03-29 08:25:23
[master] Health check at 2026-03-29 08:26:28
[master] Health check at 2026-03-29 08:27:33
[master] Health check at 2026-03-29 08:28:36
[master] Health check at 2026-03-29 08:29:42
[master] Health check at 2026-03-29 08:30:47
[master] Health check at 2026-03-29 08:31:52
[master] Health check at 2026-03-29 08:32:57
[master] Health check at 2026-03-29 08:34:02
[master] Health check at 2026-03-29 08:35:07
[master] Health check at 2026-03-29 08:36:10
[master] Health check at 2026-03-29 08:37:15
[master] Health check at 2026-03-29 08:38:21
[master] Health check at 2026-03-29 08:39:26
[master] Health check at 2026-03-29 08:40:32
[master] Health check at 2026-03-29 08:41:38
[master] Health check at 2026-03-29 08:42:44
[master] Health check at 2026-03-29 08:43:50
[master] Health check at 2026-03-29 08:44:54
[master] Health check at 2026-03-29 08:46:01
[master] Health check at 2026-03-29 08:47:07
[master] Health check at 2026-03-29 08:48:14
[master] Health check at 2026-03-29 08:49:21
[master] Health check at 2026-03-29 08:50:28
[master] Health check at 2026-03-29 08:51:35
[master] Health check at 2026-03-29 08:52:38
[master] Health check at 2026-03-29 08:53:44
[master] Health check at 2026-03-29 08:54:50
[master] Health check at 2026-03-29 08:55:56
[master] Health check at 2026-03-29 08:57:03
[master] Health check at 2026-03-29 08:58:09
[master] Health check at 2026-03-29 08:59:16
[master] Health check at 2026-03-29 09:00:19
[master] Health check at 2026-03-29 09:01:25
[master] Health check at 2026-03-29 09:02:31
[master] Health check at 2026-03-29 09:03:36
[master] Health check at 2026-03-29 09:04:43
[master] Health check at 2026-03-29 09:05:50
[master] Health check at 2026-03-29 09:06:56
[master] Health check at 2026-03-29 09:08:00
[master] Health check at 2026-03-29 09:09:06
[master] Health check at 2026-03-29 09:10:13
[master] Health check at 2026-03-29 09:11:20
[master] Health check at 2026-03-29 09:12:27
[master] Health check at 2026-03-29 09:13:34
[master] Health check at 2026-03-29 09:14:41
[master] Health check at 2026-03-29 09:15:45
[master] Health check at 2026-03-29 09:16:52
[master] Health check at 2026-03-29 09:17:59
[master] Health check at 2026-03-29 09:19:06
[master] Health check at 2026-03-29 09:20:13
[master] Health check at 2026-03-29 09:21:20
[master] Health check at 2026-03-29 09:22:26
[master] Health check at 2026-03-29 09:23:30
[master] Health check at 2026-03-29 09:24:37
[master] Health check at 2026-03-29 09:25:43
[master] Health check at 2026-03-29 09:26:49
[master] Health check at 2026-03-29 09:27:54
[master] Health check at 2026-03-29 09:29:00
[master] Health check at 2026-03-29 09:30:07
[master] Health check at 2026-03-29 09:31:10
[master] Health check at 2026-03-29 09:32:17
[master] Health check at 2026-03-29 09:33:24
[master] Health check at 2026-03-29 09:34:31
[master] Health check at 2026-03-29 09:35:38
[master] Health check at 2026-03-29 09:36:45
[master] Health check at 2026-03-29 09:37:52
[master] Health check at 2026-03-29 09:38:59
[master] Health check at 2026-03-29 09:40:03
[master] Health check at 2026-03-29 09:41:10
[master] Health check at 2026-03-29 09:42:17
[master] Health check at 2026-03-29 09:43:24
[master] Health check at 2026-03-29 09:44:32
[master] Health check at 2026-03-29 09:45:39
[master] Health check at 2026-03-29 09:46:46
[master] Health check at 2026-03-29 09:47:49
[master] Health check at 2026-03-29 09:48:52
[master] Health check at 2026-03-29 09:49:54
[master] Health check at 2026-03-29 09:50:57
[master] Health check at 2026-03-29 09:52:01
[master] Health check at 2026-03-29 09:53:07
[master] Health check at 2026-03-29 09:54:13
[master] Health check at 2026-03-29 09:55:18
[master] Health check at 2026-03-29 09:56:24
[master] Health check at 2026-03-29 09:57:30
[master] Health check at 2026-03-29 09:58:35
[master] Health check at 2026-03-29 09:59:38
[master] Health check at 2026-03-29 10:00:43
[master] Health check at 2026-03-29 10:01:49
[master] Health check at 2026-03-29 10:02:54
[master] Health check at 2026-03-29 10:03:59
[master] Health check at 2026-03-29 10:05:04
[master] Health check at 2026-03-29 10:06:09
[master] Health check at 2026-03-29 10:07:11
[master] Health check at 2026-03-29 10:08:16
[master] Health check at 2026-03-29 10:09:21
[master] Health check at 2026-03-29 10:10:25
[master] Health check at 2026-03-29 10:11:30
[master] Health check at 2026-03-29 10:12:35
[master] Health check at 2026-03-29 10:13:40
[master] Health check at 2026-03-29 10:14:43
[master] Health check at 2026-03-29 10:15:49
[master] Health check at 2026-03-29 10:16:55
[master] Health check at 2026-03-29 10:18:02
[master] Health check at 2026-03-29 10:19:09
[master] Health check at 2026-03-29 10:20:16
[master] Health check at 2026-03-29 10:21:22
[master] Health check at 2026-03-29 10:22:26
[master] Health check at 2026-03-29 10:23:32
[master] Health check at 2026-03-29 10:24:38
[master] Health check at 2026-03-29 10:25:44
[master] Health check at 2026-03-29 10:26:50
[master] Health check at 2026-03-29 10:27:56
[master] Health check at 2026-03-29 10:29:03
[master] Health check at 2026-03-29 10:30:06
[master] Health check at 2026-03-29 10:31:13
[master] Health check at 2026-03-29 10:32:19
[master] Health check at 2026-03-29 10:33:25
[master] Health check at 2026-03-29 10:34:32
[master] Health check at 2026-03-29 10:35:38
[master] Health check at 2026-03-29 10:36:45
[master] Health check at 2026-03-29 10:37:48
[master] Health check at 2026-03-29 10:38:54
[master] Health check at 2026-03-29 10:40:01
[master] Health check at 2026-03-29 10:41:08
[master] Health check at 2026-03-29 10:42:15
[master] Health check at 2026-03-29 10:43:22
[master] Health check at 2026-03-29 10:44:29
[master] Health check at 2026-03-29 10:45:37
[master] Health check at 2026-03-29 10:46:40
[master] Health check at 2026-03-29 10:47:47
[master] Health check at 2026-03-29 10:48:54
[master] Health check at 2026-03-29 10:50:01
[master] Health check at 2026-03-29 10:51:08
