X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,target
-0.00777158,-0.00570102,0.00267163,0.00145838,-0.00020021,0.00017371,-0.00665664,-0.00350332,0.00226839,0.00176838,0.00030739,0.000146,-0.00164195,-3.652e-05,0.00026428,-0.00051248,-0.00017687,9.677e-05,-0.00140918,9.376e-05,0.00023522,-0.00046695,3.673e-05,7.744e-05,0.01000183,0.00148227,0.00785682,0.00180082,0.00166348,0.00055072,0.00143175,0.00047475,H
-0.00056127,-0.00076652,-4.069e-05,-0.00384602,-0.00106133,0.00085888,-0.00054725,-0.00081494,-4.033e-05,-0.00299959,-0.00068846,0.00057078,1.527e-05,-7.91e-06,-4.37e-06,-9.072e-05,6.397e-05,-3.637e-05,1.539e-05,-8.33e-06,-4.37e-06,-6.989e-05,8.916e-05,-4.104e-05,0.00095091,0.00408117,0.00098246,0.00313007,1.774e-05,0.00011681,1.804e-05,0.00012049,D
0.00025659,0.00113952,0.00018837,-0.00857935,0.00483832,-0.00073062,3.293e-05,0.00155435,0.00049442,-0.00905541,0.00814947,-0.00138137,2.58e-05,2.102e-05,2.04e-06,-0.00266293,0.00164545,-0.000339,-3.555e-05,4.788e-05,1.451e-05,-0.00320727,0.00224575,-0.00054846,0.00118314,0.00987666,0.00163143,0.0122606,3.334e-05,0.0031486,6.137e-05,0.00395358,P
0.00084077,-0.00056806,8.05e-05,0.00065229,0.00048492,0.00020073,1.17e-06,-0.00035381,-2.097e-05,0.00099248,0.00076943,0.00013777,9.423e-05,-1.99e-05,1.101e-05,0.00021838,0.00022725,0.0001402,-6.6e-07,1.25e-06,2.45e-06,0.00014253,0.00016218,8.857e-05,0.00101788,0.00083721,0.00035444,0.00126333,9.694e-05,0.00034495,2.83e-06,0.00023337,D
0.00119177,0.00011247,-0.00015659,0.00042902,-0.00038822,0.00013203,0.00118855,0.00012371,-0.00015666,0.00045098,-0.00025522,0.00013298,0.00041522,3.837e-05,-6.164e-05,0.00011552,-9.228e-05,0.00015207,0.00041476,4e-05,-6.165e-05,0.00014211,-0.00015238,0.00014629,0.00120726,0.00059347,0.00120519,0.00053498,0.00042152,0.00021209,0.00042122,0.00025458,D
0.00012999,0.00011879,-4.22e-05,4.687e-05,-0.00168449,-3.003e-05,8.681e-05,0.00016942,-3.87e-05,0.00023424,-0.00092463,7.145e-05,-2.58e-06,0.0,1.27e-06,-6.788e-05,-2.6e-05,-1.948e-05,-8.61e-06,3.95e-06,6e-07,-4.003e-05,5.05e-06,-1.208e-05,0.00018108,0.00168541,0.00019426,0.00095651,2.88e-06,7.526e-05,9.49e-06,4.211e-05,D
-0.00079801,0.00040475,1.008e-05,0.00038617,0.00015479,6.181e-05,0.00102695,-0.00038366,2.424e-05,0.00062439,0.00028542,5.891e-05,3.397e-05,-0.00010843,-2.78e-06,-8.436e-05,-5.46e-06,1.38e-06,0.00044794,-0.00012372,-1.314e-05,-7.567e-05,-2.7e-07,1.28e-06,0.00089484,0.0004206,0.00109655,0.00068906,0.00011367,8.454e-05,0.0004649,7.568e-05,D
0.00013077,0.00142296,-8.649e-05,-0.00034522,0.00016263,-6.385e-05,-3.611e-05,0.00047745,7.04e-06,-0.00022395,0.00014805,-6.061e-05,-9.75e-06,0.00021347,-1.454e-05,-0.00085208,-2.149e-05,-5.183e-05,-3.067e-05,0.0001275,-5.72e-06,-0.00054929,-4.65e-05,-3.786e-05,0.00143157,0.00038691,0.00047887,0.00027522,0.00021419,0.00085393,0.00013126,0.00055255,D
-0.01836821,-0.00508775,-1.5e-06,0.01477515,6.519e-05,0.0002527,-0.0138489,-0.00293538,0.00036995,0.0133647,-0.00274417,0.00034502,-0.00084041,0.00065615,-2.98e-06,0.00126724,0.00026569,-5.723e-05,-0.00076248,0.00076121,-2.12e-05,0.00079223,0.00073703,-2.565e-05,0.01905981,0.01477745,0.0141614,0.01364788,0.00106623,0.00129605,0.00107762,0.00108236,R
0.00018719,-0.0033229,0.00064094,-0.00077124,-0.0010774,0.00025993,0.00277151,0.00154426,0.0004124,-0.00485015,-0.00332221,0.00051266,0.00026643,8.616e-05,0.00019922,-0.00109378,0.00404749,0.00047173,-0.00010646,0.00037147,-7.082e-05,-0.000417,-0.00010721,1.298e-05,0.00338932,0.00135025,0.00319939,0.00590118,0.00034365,0.00421914,0.00039286,0.00043076,H
0.00033489,-4.371e-05,5.03e-06,-0.00226507,-0.0023365,-0.00017923,0.00022097,-0.00016847,-2.769e-05,-0.00251106,-0.00019667,-0.00016378,0.00090976,0.00070352,-0.0002355,-0.00093776,0.0001855,-0.0001096,0.00131189,0.00132227,-0.00035959,-0.00087312,0.00010523,-0.00010349,0.00033777,0.00325913,0.00027924,0.00252407,0.00117391,0.00096219,0.00189704,0.0008855,D
0.00027144,1.51e-05,-4.631e-05,0.00220109,0.00080018,0.00098772,0.00016935,5.332e-05,-6.809e-05,0.00095186,-0.00064051,0.00032666,-6.9e-06,-9.2e-07,-1.2e-07,8.85e-05,-0.00018028,2.001e-05,-4.41e-06,1.01e-06,-7.2e-07,2.53e-05,-1.443e-05,2.43e-06,0.00027577,0.00254179,0.00019015,0.0011929,6.97e-06,0.00020183,4.58e-06,2.922e-05,D
-7.952e-05,-0.00082584,9.042e-05,0.00023898,-0.00071082,-0.00017696,-1.68e-05,-0.00061138,0.00010263,-4.63e-06,-0.00037121,-9.794e-05,-9.2e-06,-3.24e-06,5.15e-06,-8.993e-05,0.00018017,3.817e-05,-7.22e-06,-7.36e-06,4.86e-06,-4.678e-05,0.00013005,2.607e-05,0.00083457,0.00077051,0.00062016,0.00038394,1.103e-05,0.00020495,1.14e-05,0.00014064,D
-0.00075321,-0.00157301,-0.00024944,-3.69e-05,-0.0002464,0.00011684,-0.00051395,-0.00108719,-0.00020365,0.00102703,-0.00031977,4.05e-05,-0.0001012,-0.00015347,-1.186e-05,-0.00014115,-7.483e-05,1.403e-05,-7.17e-05,-9.706e-05,-7.74e-06,9.17e-06,-6.155e-05,3.3e-06,0.00176179,0.00027519,0.00121967,0.00107642,0.00018422,0.00016038,0.00012092,6.232e-05,D
0.00402159,0.000562,-0.00046075,0.0003031,-0.00023238,8.614e-05,0.00248399,-0.00136637,-0.00010057,0.00052666,-0.00020581,1.442e-05,0.00048035,5.882e-05,-3.805e-05,0.00021892,-2.207e-05,4.198e-05,0.00028409,-0.00023841,1.096e-05,0.00022333,-8.829e-05,3.485e-05,0.00408672,0.00039152,0.00283677,0.00056563,0.00048544,0.00022399,0.00037103,0.00024266,D
-0.0084224,-0.00128492,0.0128181,0.00255793,-0.00113114,-0.00957554,-0.00448629,-0.00168359,0.00830803,0.002104,-0.00088312,-0.011706,0.0023369,0.00020521,-0.00552088,-0.00108554,1.753e-05,0.00384439,0.00256518,0.00026424,-0.00599347,-0.00058075,-2.936e-05,0.00148381,0.01539128,0.00997564,0.00959086,0.01192632,0.00599861,0.00399475,0.0065247,0.00159368,D
0.00200858,-0.00107753,-0.00624053,-0.00212184,0.00203387,0.00874114,0.00175393,-0.00080897,-0.00283643,-0.00090315,0.00160631,0.00800587,0.00026253,-0.00018695,-0.00049955,-0.0001694,-0.00044131,0.00046926,0.00055625,-0.00012384,-0.00017336,-0.00020993,-0.00042207,0.00053273,0.00664377,0.00922206,0.00343163,0.00821522,0.0005945,0.00066608,0.00059566,0.00071134,D
0.0020375,-0.00021292,4.997e-05,0.00021997,9.524e-05,8.373e-05,0.00010808,6.203e-05,3.967e-05,0.00022483,9.625e-05,7.138e-05,-4.98e-05,-4.938e-05,-1.114e-05,-4.293e-05,-2.18e-06,-6.5e-06,-6.11e-06,-5.6e-06,-2.36e-06,-4.664e-05,1.84e-06,-5.59e-06,0.0020492,0.0002539,0.00013077,0.00025477,7.101e-05,4.347e-05,8.62e-06,4.701e-05,D
0.01324618,0.00894677,0.0053759,-0.00098307,-0.0073144,0.00157844,0.00363459,0.00673272,-0.00850555,-0.00201955,-0.00851857,0.01117124,0.00065917,-0.00046648,0.00129141,0.00010027,-0.00060558,0.00037013,-0.00057712,-0.00035436,-0.00052318,-0.00024889,-0.00076339,0.00087803,0.01686435,0.00754708,0.01144046,0.014193,0.00152311,0.00071678,0.00085578,0.00118981,S
0.00166409,-0.0182209,0.0018244,0.00355221,0.0007024,-0.0024944,-0.00066793,-0.001139,0.00234615,0.00508872,-0.00121813,-0.00078077,0.00042569,-0.00998742,0.00031725,0.00094492,0.00283535,0.0003706,-1.944e-05,-0.00886972,0.0005566,0.00400523,0.002233,0.00138599,0.01838746,0.004397,0.00269219,0.00529041,0.01000152,0.00301154,0.00888719,0.00479052,S
