Var6,Var13,Var21,Var22,Var24,Var25,Var28,Var35,Var38,Var57,Var65,Var73,Var74,Var76,Var78,Var81,Var83,Var85,Var109,Var112,Var113,Var119,Var123,Var125,Var126,Var132,Var133,Var134,Var140,Var144,Var149,Var153,Var160,Var163,Var194,Var196,Var201,Var203,Var205,Var207,Var208,Var210,Var211,Var218,Var221,Var223,Var225,Var227,Var229,target
896.0,120.0,212.0,265.0,6,192.0,0.0,0,203226.0,1.709677,9,62,0.0,78536.0,9,8605.051,10.0,28.0,72.0,16.0,15262.56,775.0,42.0,100017.0,-30.0,32,52910.0,179512.0,1785.0,18,104237.0,835156.0,8.0,346968.0,3,0,2,2,1,10,1,5,0,1,4,0,0,2,1,1
1169.0,0.0,292.0,365.0,14,216.0,233.44,0,0.0,1.977782,9,56,0.0,958048.0,0,14313.87,5.0,26.0,128.0,136.0,160413.2,790.0,0.0,387.0,-30.0,0,406890.0,409724.0,0.0,0,285285.0,1955944.0,30.0,481998.0,1,0,1,0,0,9,0,5,0,0,6,0,1,1,1,1
672.0,0.0,140.0,175.0,0,16.0,220.08,0,11064480.0,6.202094,9,30,0.0,0.0,0,145642.5,45.0,0.0,32.0,0.0,80104.8,1350.0,132.0,864.0,-28.0,0,118370.0,16564.0,90.0,0,0.0,10513760.0,4.0,0.0,3,0,2,0,2,10,0,5,0,1,4,0,3,2,4,-1
1190.0,0.0,40.0,50.0,2,24.0,220.08,0,2035188.0,3.424055,9,42,0.0,689136.0,0,171307.2,5.0,2.0,16.0,8.0,4137440.0,245.0,6.0,648.0,18.0,0,3699120.0,2577600.0,65.0,18,625142.0,10174080.0,6.0,535836.0,3,0,2,0,0,10,0,5,0,0,4,0,3,2,4,-1
637.0,0.0,132.0,165.0,2,8.0,304.56,0,177738.0,4.451827,9,28,0.0,6216736.0,0,205356.6,5.0,0.0,32.0,72.0,132600.4,555.0,6.0,0.0,-24.0,0,8911050.0,14418.0,0.0,18,604800.0,10427960.0,42.0,0.0,3,0,2,0,1,10,0,5,1,1,4,0,3,2,4,-1
903.0,260.0,200.0,250.0,4,96.0,166.56,0,1045122.0,5.101687,9,188,0.0,1168280.0,0,19649.37,25.0,10.0,24.0,40.0,-961896.0,415.0,24.0,22968.0,38.0,0,751725.0,189274.0,255.0,18,967281.0,2844536.0,38.0,352188.0,2,0,1,0,1,4,0,5,0,0,4,0,2,3,4,1
742.0,440.0,204.0,255.0,6,104.0,166.56,0,7356.0,3.164708,27,148,35.0,459440.0,0,17335.74,0.0,16.0,32.0,64.0,58018.8,720.0,18.0,22113.0,-30.0,0,347445.0,196712.0,1845.0,9,338632.0,947860.0,38.0,62784.0,3,0,2,0,0,5,0,5,0,1,0,0,0,4,0,1
889.0,264.0,144.0,180.0,0,16.0,193.36,0,6025380.0,5.874599,9,112,42.0,2075656.0,0,213959.1,25.0,2.0,32.0,40.0,125816.8,600.0,72.0,198.0,34.0,0,3985630.0,345600.0,355.0,27,0.0,10760480.0,22.0,221340.0,3,0,2,0,1,10,0,5,0,1,4,0,0,2,1,-1
245.0,148.0,276.0,345.0,4,40.0,223.44,0,5110890.0,6.970092,27,98,1533.0,1673960.0,0,35985.6,10.0,16.0,80.0,152.0,-111248.4,530.0,72.0,80046.0,4.0,8,2614480.0,118640.0,1005.0,27,288351.0,7187160.0,46.0,154260.0,3,0,2,0,0,4,0,5,0,0,6,0,0,3,4,-1
2912.0,292.0,600.0,750.0,32,304.0,133.12,0,0.0,5.988678,36,104,0.0,734624.0,0,7156.32,0.0,40.0,280.0,376.0,55581.6,2055.0,0.0,46251.0,-30.0,0,273610.0,154370.0,1170.0,18,375151.0,1119808.0,90.0,337302.0,3,0,2,0,1,4,0,5,0,1,6,0,0,3,1,1
623.0,24.0,40.0,50.0,0,8.0,186.64,0,8942160.0,3.775475,27,102,0.0,0.0,0,236258.7,0.0,4.0,16.0,0.0,714864.0,335.0,18.0,76428.0,-24.0,0,888395.0,828596.0,125.0,18,0.0,13167720.0,8.0,7257600.0,1,0,1,0,1,10,0,5,1,0,4,0,1,2,1,-1
700.0,1240.0,112.0,140.0,4,96.0,233.44,0,900.0,2.586413,9,86,210.0,171800.0,0,56787.6,0.0,12.0,24.0,16.0,384961.2,335.0,6.0,6489.0,62.0,0,1067090.0,462064.0,365.0,9,260526.0,2269700.0,14.0,608100.0,1,0,1,0,1,10,0,5,0,0,4,0,1,2,0,-1
896.0,164.0,156.0,195.0,4,88.0,166.56,0,47910.0,5.445845,27,32,21.0,723784.0,3,13257.66,0.0,4.0,32.0,56.0,-326698.4,455.0,6.0,58608.0,-30.0,8,729080.0,94076.0,770.0,0,256928.0,1234364.0,36.0,103674.0,3,0,2,1,1,10,0,5,0,1,4,0,3,2,4,1
868.0,8.0,328.0,410.0,2,64.0,220.08,0,4944984.0,4.55565,9,160,0.0,199104.0,0,48401.7,25.0,4.0,40.0,24.0,870336.0,1665.0,270.0,216.0,-30.0,0,3291750.0,588528.0,85.0,45,178045.0,8900200.0,38.0,154416.0,3,0,2,0,0,4,0,5,0,1,2,0,0,3,0,1
504.0,0.0,276.0,345.0,8,128.0,220.08,0,69342.0,3.149541,9,24,0.0,1527192.0,0,34436.1,0.0,18.0,80.0,112.0,-66738.0,870.0,24.0,0.0,4.0,0,1584150.0,718624.0,0.0,18,801339.0,4183920.0,52.0,1004298.0,3,0,2,0,1,10,0,5,0,1,4,0,3,2,4,1
4186.0,2540.0,740.0,925.0,10,392.0,288.32,0,123552.0,3.414441,9,134,28.0,2574352.0,0,36590.1,0.0,24.0,104.0,160.0,29787.0,2300.0,66.0,29988.0,-26.0,0,4137540.0,475790.0,9770.0,27,305095.0,6163640.0,186.0,798714.0,3,0,2,0,1,10,0,5,0,1,4,0,0,2,0,-1
1204.0,0.0,180.0,225.0,4,112.0,233.44,0,594894.0,1.563555,9,82,0.0,2929912.0,0,55892.7,0.0,4.0,40.0,56.0,-7574.92,830.0,78.0,9.0,58.0,0,1537590.0,394058.0,0.0,9,293069.0,3940108.0,18.0,90552.0,1,0,1,0,0,10,0,5,0,0,4,0,1,2,1,1
1281.0,436.0,120.0,150.0,2,0.0,220.08,0,3804162.0,3.660115,27,76,77.0,4147200.0,0,118835.7,10.0,0.0,32.0,48.0,64304.4,515.0,48.0,4104.0,26.0,0,6048000.0,0.0,430.0,9,604800.0,10139320.0,28.0,0.0,1,0,1,0,1,10,0,5,0,1,4,0,2,2,1,-1
2317.0,96.0,248.0,310.0,8,64.0,166.56,0,33138.0,6.119419,9,108,14.0,33944.0,0,1445.385,10.0,14.0,80.0,72.0,-12577.0,970.0,72.0,252.0,6.0,0,71715.0,4242.0,1410.0,18,17038.0,117752.0,48.0,15024.0,1,0,1,0,1,10,0,5,0,0,4,0,1,2,4,1
651.0,8.0,140.0,175.0,2,56.0,166.56,0,5575134.0,2.579577,9,112,7.0,2096624.0,0,156882.9,10.0,4.0,48.0,40.0,-343657.6,460.0,72.0,54.0,-18.0,0,1514020.0,557192.0,525.0,9,40607.0,7793440.0,14.0,65772.0,1,0,1,2,0,10,1,5,1,0,4,0,1,2,0,-1
644.0,2252.0,468.0,585.0,0,208.0,233.44,5,5919120.0,5.769066,9,86,0.0,55768.0,0,105267.3,40.0,6.0,80.0,40.0,-154150.8,615.0,114.0,972657.0,-30.0,8,783150.0,1122188.0,2940.0,27,0.0,10410160.0,112.0,1276080.0,3,0,2,0,1,10,0,5,0,0,4,0,3,2,1,1
2261.0,984.0,200.0,250.0,0,80.0,322.64,0,2277090.0,4.837428,9,44,7.0,4813656.0,0,69313.5,10.0,2.0,32.0,56.0,217590.0,1640.0,60.0,2120562.0,18.0,0,7465800.0,64924.0,1575.0,9,0.0,10661000.0,40.0,34236.0,3,0,2,0,1,10,0,1,0,1,4,0,3,2,4,-1
1316.0,12.0,136.0,170.0,0,16.0,253.52,0,9143220.0,5.717368,18,32,7.0,119672.0,0,128889.6,40.0,0.0,24.0,8.0,19068.16,570.0,114.0,486.0,-22.0,0,647165.0,211650.0,10.0,9,0.0,9861160.0,8.0,0.0,3,0,2,0,1,10,0,5,1,0,4,0,3,2,4,-1
1064.0,5728.0,132.0,165.0,6,120.0,220.08,0,188526.0,4.802179,36,130,112.0,1860320.0,0,133110.6,5.0,8.0,32.0,24.0,371667.2,520.0,18.0,27990.0,24.0,0,2856730.0,2578300.0,3640.0,18,1814400.0,10041760.0,14.0,2073600.0,3,0,2,0,1,10,0,5,0,1,4,0,0,2,1,1
952.0,1396.0,232.0,290.0,2,48.0,220.08,0,8653920.0,5.741722,18,76,35.0,1437528.0,0,63646.2,40.0,0.0,32.0,72.0,130946.0,900.0,120.0,9423.0,-30.0,0,1966090.0,206542.0,85.0,0,604800.0,10737360.0,30.0,0.0,1,0,1,0,0,10,0,5,0,0,4,0,1,2,4,1
168.0,60.0,104.0,130.0,0,40.0,80.24,0,17328.0,2.647511,9,196,14.0,63176.0,0,3604.74,0.0,0.0,16.0,24.0,-1576144.0,285.0,60.0,163170.0,4.0,0,23955.0,7010.0,470.0,9,0.0,76324.0,16.0,0.0,3,0,2,0,0,4,0,5,0,1,6,3,0,3,0,1
126.0,644.0,44.0,55.0,0,0.0,240.56,0,3628584.0,0.102329,9,80,21.0,0.0,0,77419.8,5.0,2.0,0.0,0.0,261777.6,200.0,42.0,4527.0,-10.0,0,14445.0,0.0,60.0,18,0.0,3121772.0,4.0,518370.0,3,0,2,0,0,10,0,3,0,1,4,0,3,2,0,-1
861.0,2512.0,148.0,185.0,0,120.0,286.96,5,186702.0,1.061953,27,82,847.0,693600.0,0,214709.4,5.0,14.0,56.0,24.0,159836.8,510.0,12.0,59130.0,34.0,8,3056860.0,2592000.0,27555.0,0,0.0,10641760.0,18.0,3628800.0,3,0,2,0,1,4,0,5,0,1,4,1,0,3,0,-1
231.0,512.0,28.0,35.0,0,24.0,21.04,0,0.0,1.306772,9,108,0.0,33232.0,0,4505.28,0.0,4.0,24.0,16.0,-1798800.0,75.0,0.0,30294.0,-18.0,0,0.0,19136.0,10.0,0,0.0,63120.0,0.0,12348.0,1,0,1,0,1,10,0,5,1,0,4,0,1,2,2,-1
1232.0,220.0,84.0,105.0,4,24.0,166.56,0,0.0,1.360179,9,140,0.0,77952.0,0,6727.11,0.0,4.0,48.0,64.0,-61463.6,420.0,0.0,4680.0,-30.0,0,98525.0,3372.0,10.0,9,22022.0,127164.0,16.0,3936.0,3,0,2,0,1,10,0,5,0,1,4,0,0,2,1,1
2548.0,72.0,340.0,425.0,6,280.0,133.12,0,0.0,0.84576,9,78,98.0,977400.0,0,10841.97,0.0,14.0,72.0,152.0,244966.0,1105.0,0.0,63.0,-30.0,0,1582675.0,238922.0,10.0,27,134694.0,2409216.0,48.0,264798.0,1,0,1,0,1,10,0,5,0,0,4,3,1,2,1,1
280.0,0.0,156.0,195.0,0,16.0,200.0,0,2612580.0,4.917539,9,18,0.0,4377264.0,0,131956.2,15.0,4.0,40.0,64.0,287869.2,700.0,36.0,0.0,-30.0,0,7059200.0,26250.0,0.0,0,0.0,10454840.0,36.0,149322.0,3,0,2,0,1,10,0,5,0,0,4,0,3,2,4,1
532.0,0.0,128.0,160.0,0,0.0,186.64,0,11286840.0,2.813288,9,28,0.0,0.0,0,232423.8,45.0,0.0,32.0,0.0,176054.4,500.0,132.0,0.0,-30.0,0,103795.0,0.0,0.0,9,0.0,10718000.0,2.0,0.0,3,0,2,1,2,10,0,5,0,1,4,4,3,2,4,1
1841.0,2692.0,604.0,755.0,10,448.0,166.56,0,22368.0,1.707968,18,60,231.0,399904.0,0,4496.88,10.0,14.0,120.0,192.0,-197811.2,2130.0,18.0,23715.0,4.0,24,629815.0,189264.0,6015.0,18,120162.0,1119156.0,118.0,25146.0,3,0,2,2,1,7,1,5,0,1,0,0,0,0,0,1
2457.0,0.0,64.0,80.0,0,32.0,186.64,0,3806442.0,6.683187,9,56,0.0,0.0,0,11249.88,5.0,0.0,0.0,0.0,4793.84,1100.0,12.0,126.0,30.0,0,1760680.0,1243346.0,195.0,9,0.0,7479800.0,18.0,0.0,3,0,2,0,1,10,0,5,0,1,4,0,0,2,1,1
546.0,0.0,36.0,45.0,8,8.0,133.12,0,0.0,4.772271,9,62,0.0,65368.0,0,2698.785,0.0,0.0,56.0,64.0,-8736.0,235.0,0.0,630.0,-30.0,0,0.0,1566.0,180.0,0,33187.0,35816.0,0.0,0.0,1,0,1,0,0,5,0,5,0,0,3,0,1,4,0,1
1372.0,8500.0,128.0,160.0,8,16.0,200.0,0,144096.0,6.027558,18,128,679.0,5529288.0,0,133281.9,0.0,0.0,32.0,64.0,169246.4,645.0,12.0,57969.0,-30.0,0,8639200.0,297506.0,5335.0,27,2419109.0,10367080.0,40.0,0.0,1,0,1,2,1,10,1,5,0,0,4,0,1,2,0,1
84.0,0.0,168.0,210.0,0,0.0,470.88,0,5938836.0,5.323435,9,12,0.0,1009168.0,6,131787.0,30.0,4.0,24.0,32.0,97254.0,210.0,72.0,0.0,4.0,32,1162450.0,0.0,0.0,0,0.0,7380080.0,36.0,2508.0,3,0,2,0,0,4,0,5,0,1,4,0,3,3,4,-1
756.0,216.0,128.0,160.0,0,0.0,166.56,0,11404860.0,0.207648,9,64,42.0,2968.0,0,243348.9,40.0,0.0,40.0,8.0,241986.4,450.0,132.0,12402.0,40.0,0,37515.0,0.0,775.0,9,0.0,10399560.0,2.0,0.0,1,0,1,0,2,8,0,5,0,0,6,1,2,1,0,-1
1099.0,200.0,120.0,150.0,2,8.0,277.44,0,6739200.0,1.369579,18,126,21.0,2073600.0,0,176667.9,25.0,2.0,32.0,24.0,254934.4,475.0,78.0,199224.0,-26.0,0,2912065.0,58788.0,2650.0,36,604800.0,9965200.0,14.0,390546.0,3,0,2,0,1,10,0,5,0,1,4,3,0,2,1,-1
1995.0,2956.0,292.0,365.0,2,112.0,186.64,0,4455276.0,0.627216,18,60,133.0,1384040.0,0,78076.5,20.0,6.0,56.0,88.0,-38259.44,945.0,114.0,1323.0,36.0,0,4220700.0,811602.0,890.0,18,108577.0,10077320.0,44.0,836754.0,3,0,2,0,1,10,0,5,0,1,4,0,0,2,1,-1
84.0,0.0,20.0,25.0,0,0.0,232.32,5,0.0,2.366375,9,18,0.0,14515200.0,0,414183.0,5.0,0.0,24.0,24.0,-52344.4,190.0,0.0,0.0,4.0,8,506280.0,0.0,0.0,0,0.0,8991360.0,2.0,0.0,3,0,2,0,2,10,0,5,0,0,4,0,3,2,4,1
