fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,target
72.5875,17.0188,2.5857,0.4927,0.2451,26.8902,65.9551,-12.4688,87.3017,203.6814,h
19.0658,9.7981,2.3424,0.6273,0.3614,-21.8739,-12.057,4.9351,86.4462,103.65,h
26.9438,16.6654,2.5192,0.348,0.18,38.4102,-7.1735,-11.7199,1.1222,234.542,g
39.4997,18.6159,2.4104,0.4626,0.2978,23.7402,24.6677,-0.573,74.765,224.0906,h
87.3122,31.0349,3.672,0.1986,0.1063,-41.5705,47.773,-13.7868,1.902,358.097,g
101.009,26.6843,3.3079,0.2175,0.1125,6.7121,57.664,-8.3432,2.6208,336.483,g
55.059,18.0137,3.068,0.2762,0.1458,50.0483,33.3449,-8.1996,1.502,186.519,g
15.8344,11.8559,2.3075,0.6256,0.3276,-1.4905,4.782,-4.4923,46.6386,226.351,g
47.2509,12.6244,2.7316,0.4045,0.2421,34.7172,35.5274,9.7299,4.787,155.237,g
20.4949,8.4959,2.4116,0.6744,0.4516,20.0534,15.4163,-2.4494,51.998,114.486,h
110.0,28.8437,3.2674,0.2431,0.151,-79.1003,36.8558,-18.6221,7.3746,322.915,h
90.9796,56.2669,3.0556,0.2904,0.1509,0.3255,-101.706,11.6523,2.076,386.316,h
34.6136,17.6494,2.6749,0.2748,0.1427,48.0518,-18.2315,11.4362,12.037,100.664,g
212.5581,32.364,2.864,0.3028,0.1419,-186.206,103.2997,15.6846,29.5269,216.3836,h
18.1853,12.8991,2.4836,0.5616,0.2906,-2.9115,11.1418,7.4341,54.9825,168.84,g
39.5291,14.6054,2.5465,0.3239,0.1889,-0.3041,-25.9866,-10.9995,48.5058,224.416,g
63.3502,19.559,3.0374,0.2404,0.1317,0.2617,53.4626,18.7123,50.283,281.477,h
19.1293,9.7873,2.5052,0.5095,0.4111,14.103,16.4198,-6.3058,22.7049,182.0043,h
26.0598,13.9969,2.6786,0.3633,0.1829,12.1035,11.5439,-16.9919,40.5527,244.1277,h
173.137,45.998,3.2298,0.2851,0.177,-136.859,24.3254,14.8392,48.6757,299.59,h
44.6697,21.2443,2.7581,0.2937,0.15,-1.8161,-12.6348,9.1412,69.4152,190.9107,h
89.4255,24.5279,2.7154,0.4404,0.2439,-116.6711,-27.0365,19.7928,5.2541,9.1574,h
20.9866,6.7827,2.1021,0.7589,0.4545,-20.6867,-14.96,6.0845,31.425,70.2992,h
107.2769,56.6684,3.8065,0.1173,0.082,-202.0827,90.6892,25.8516,48.5291,308.2689,h
48.3731,10.2014,2.8202,0.3495,0.1974,53.9471,34.6585,6.031,70.7993,236.524,h
57.7769,12.0054,2.9149,0.2725,0.1502,15.2766,29.8793,5.5892,67.687,146.751,h
256.245,149.152,3.4173,0.2234,0.1234,-167.797,-280.656,-110.456,43.921,264.772,h
52.7704,22.7587,3.301,0.221,0.1213,-10.0616,-38.666,-11.5354,0.249,246.166,g
64.9935,16.6946,3.0631,0.2525,0.1405,38.8398,56.6156,5.5956,25.5893,253.878,h
29.6374,16.1694,2.596,0.5475,0.3181,-1.1845,25.7663,-17.118,64.4501,264.133,g
17.4153,15.1394,2.4764,0.5442,0.3222,8.7944,-16.0646,9.0156,8.0924,98.6312,g
117.5035,25.3739,3.4283,0.2108,0.1092,-130.5414,30.0582,-17.8634,23.6392,298.9475,h
18.4901,14.4091,2.5017,0.5795,0.3543,17.8822,18.6212,2.3384,5.515,184.565,g
27.0156,7.4843,2.2945,0.6091,0.3832,12.3822,6.0053,3.7229,89.3958,185.013,h
47.4331,12.0319,2.2577,0.6077,0.3122,52.698,15.1033,-3.5878,18.4433,155.723,g
24.4878,0.0,2.2683,0.7601,0.4879,22.5608,19.2194,0.0,12.595,238.295,g
13.1297,10.4188,2.437,0.7861,0.4954,13.0041,5.8187,-10.2744,17.901,195.466,h
28.5109,18.9033,2.7181,0.3005,0.1541,-8.6799,-18.7412,9.2831,9.4671,201.21,g
13.0265,11.1821,2.1717,0.7542,0.3872,-14.9601,3.7922,11.7894,14.6389,153.748,g
20.5862,7.154,2.0917,0.7368,0.3765,-23.2456,-11.4081,5.8065,5.13,186.44,g
94.0524,61.8803,3.3024,0.101,0.0671,-41.6608,-28.3465,4.6336,59.2203,130.1835,h
31.6903,12.4005,2.595,0.5196,0.2716,16.7129,11.6783,-4.8698,80.1735,201.3235,h
149.861,64.3038,3.835,0.1026,0.0574,79.6463,154.96,37.6293,62.744,75.9893,h
32.6847,12.0625,2.3574,0.4726,0.2744,42.8111,22.8851,-10.054,51.177,114.0565,h
140.1735,17.9349,2.9503,0.3898,0.2133,102.4029,108.1108,-17.2382,50.6208,127.1683,h
31.0848,11.3446,2.5029,0.6444,0.4752,27.0131,29.7864,-6.1599,45.0838,159.1431,h
106.95,91.6046,3.6199,0.1982,0.1136,-181.141,87.7473,-73.5722,75.599,428.409,h
47.7155,27.6498,2.6439,0.2672,0.13,-27.0897,-30.3886,16.5982,18.3787,173.3645,h
42.6463,15.7421,2.7612,0.2548,0.1291,-48.4286,22.9909,11.2601,5.392,167.227,g
155.683,86.7432,3.7086,0.1152,0.0613,97.9178,-147.471,57.2936,89.0275,331.552,h
64.9861,21.2241,3.2083,0.2526,0.1297,23.4481,69.5608,-15.6523,3.404,231.728,g
21.0283,3.2145,2.3988,0.7551,0.4142,20.1762,23.5583,-3.0622,65.069,262.1984,h
184.7689,63.0994,3.436,0.1205,0.0681,-229.4263,-98.635,53.8718,68.6399,258.5003,h
56.3485,12.9871,3.017,0.2942,0.1486,-61.6252,48.572,-6.1161,20.6182,307.487,h
20.3846,11.4401,2.4065,0.6392,0.4569,12.5566,20.6341,-9.7762,32.858,242.619,h
49.6784,5.1439,2.9357,0.4163,0.2329,33.3423,36.6091,-0.9971,7.25,157.3256,h
47.6497,18.9747,2.6812,0.3958,0.2531,-72.3016,38.602,7.817,21.192,274.053,h
22.3382,11.8207,2.3512,0.5212,0.3274,26.1748,12.4227,-10.4829,79.532,236.446,h
15.1951,12.0624,2.4594,0.6563,0.3767,-1.3331,1.2266,-6.8433,63.395,117.992,g
27.0941,19.6335,2.9332,0.393,0.2385,-8.1922,-14.6973,-10.997,22.48,51.0527,g
18.621,10.2621,2.2529,0.5754,0.3101,-0.4827,5.3309,-5.7644,26.1461,173.48,g
18.368,16.0234,2.4495,0.5471,0.2789,9.2991,18.6589,10.7589,13.9435,199.54,h
125.282,86.8506,3.3412,0.2169,0.1233,-49.4005,-147.0698,58.8933,88.4434,248.9318,h
21.4311,6.9151,2.5105,0.8056,0.6065,10.0764,21.934,8.6743,38.947,172.058,h
52.385,39.3619,3.0348,0.1716,0.0835,-14.1773,-52.7253,-26.9833,72.0321,171.9525,h
32.6702,20.3345,2.5982,0.338,0.1803,23.7348,23.3888,14.5898,38.082,176.077,g
113.787,71.0243,3.0334,0.2731,0.1912,-171.697,84.214,45.6365,11.977,167.623,h
114.5368,89.9911,4.2954,0.1221,0.0487,-136.3077,-44.7882,-63.781,74.7184,338.6713,h
57.4837,41.9194,3.0278,0.4152,0.2321,-39.8719,-33.8586,33.4722,81.6526,182.1387,h
62.6862,23.7632,3.2362,0.2409,0.1303,-50.357,49.3294,-13.6863,1.4357,277.996,g
32.3497,11.2028,2.3097,0.5337,0.2971,22.5098,20.433,-8.9038,81.2924,122.9305,h
20.3898,9.174,2.4298,0.6245,0.3587,-23.5685,-11.168,-2.6202,7.6029,238.21,g
76.1336,23.7964,3.3493,0.2228,0.1125,31.722,57.4564,14.0854,0.5748,265.939,g
34.6872,15.5802,2.5484,0.396,0.2249,1.2197,23.2029,-8.6914,4.286,209.891,g
13.1689,10.9001,2.1658,0.7713,0.4061,14.7516,-2.8969,-11.8002,11.1276,123.58,h
129.588,17.3475,2.8963,0.367,0.2356,-55.0224,-126.579,-4.9852,12.489,52.9832,h
19.6285,10.546,2.3345,0.6343,0.3403,8.7448,-17.4441,-10.7656,14.4,203.949,g
20.973,9.2866,2.281,0.6283,0.3796,4.2855,-15.3278,-10.5249,6.917,243.768,g
21.3719,12.7783,2.4273,0.4561,0.2299,29.3936,-5.7645,8.0277,10.636,138.613,g
24.3752,10.4927,2.3757,0.5137,0.3053,4.0677,20.0027,-8.0053,38.542,125.95,g
19.0289,12.6648,2.5571,0.4466,0.2394,13.2334,7.6753,13.8629,67.536,159.869,h
19.8126,12.1361,2.6799,0.6813,0.4127,18.9183,18.0124,-9.4902,20.69,227.721,h
190.003,57.3551,3.5334,0.1107,0.0572,-173.461,-93.0602,-54.503,75.7876,243.901,h
88.9928,37.5409,3.8119,0.1587,0.0816,51.2458,62.8112,-17.7679,3.963,354.993,g
36.5188,19.7845,2.4571,0.377,0.1937,-45.5581,-15.5398,-14.7077,17.6334,212.519,g
83.4228,24.5423,2.894,0.2936,0.164,-64.223,-66.2854,17.4604,71.024,237.565,h
36.5911,22.5984,2.5838,0.399,0.2282,-55.1437,30.195,-10.4971,9.497,125.626,g
84.6767,27.4389,3.4433,0.1586,0.0823,-14.7479,45.2713,18.5434,6.325,285.149,g
29.5008,22.3311,2.5309,0.3622,0.2153,-15.1784,15.9975,5.0788,7.7203,235.5696,h
22.1532,20.2976,2.7955,0.4259,0.2554,-7.754,11.6411,-7.7737,7.5449,177.935,g
24.4525,14.862,2.6069,0.3659,0.1916,4.3642,14.5893,-3.0224,43.6236,50.8796,g
25.1333,9.7512,2.2776,0.5066,0.3034,-12.9737,14.1166,3.4455,52.0161,203.107,g
201.09,82.5347,3.9952,0.0987,0.0531,-224.515,-188.032,-59.7038,73.6304,340.516,h
27.435,17.3805,2.639,0.3559,0.217,-23.49,-18.7215,-8.0961,21.0606,63.1648,g
26.9212,23.6803,2.846,0.2865,0.1504,36.2038,20.6749,10.8888,26.9893,144.937,g
24.7242,7.6865,2.3424,0.7091,0.4295,-14.0032,-19.4521,7.5515,24.6644,93.3278,g
19.2408,9.313,2.2672,0.6486,0.4622,3.1977,-13.5375,9.3671,11.0601,182.291,g
81.9305,37.9403,2.8351,0.2734,0.1499,-104.51,-14.604,-26.1356,1.671,271.775,h
50.2174,24.4917,2.8017,0.2968,0.1492,44.6144,35.4407,22.3504,21.809,101.7,h
238.1686,84.5643,3.6106,0.124,0.0859,-175.5476,-93.5337,-82.8953,59.5554,175.1797,h
31.1721,16.9447,2.8089,0.2981,0.1561,33.1836,9.5701,-6.909,46.111,59.6816,g
67.6685,19.254,3.0214,0.2875,0.1556,-105.945,59.3824,9.5786,2.3677,234.18,g
