Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
WN,343.0,LAX,ELP,7,615.0,110.0,1
9E,3669.0,SGF,MEM,4,390.0,71.0,0
OO,6416.0,SFO,ABQ,6,914.0,136.0,0
UA,184.0,SFO,PHL,6,551.0,334.0,0
CO,1123.0,BOS,EWR,2,515.0,80.0,1
OH,6341.0,DTW,ATW,1,545.0,99.0,0
DL,1731.0,PDX,SLC,6,795.0,103.0,0
F9,609.0,IND,DEN,6,1195.0,165.0,0
FL,96.0,RDU,ATL,1,375.0,85.0,0
FL,707.0,ATL,DAY,3,1335.0,95.0,0
UA,269.0,RIC,ORD,5,1002.0,133.0,0
WN,270.0,BDL,LAS,2,805.0,365.0,1
CO,1780.0,SEA,EWR,4,675.0,312.0,1
US,2122.0,LGA,BOS,2,600.0,71.0,0
WN,720.0,LAS,MDW,2,450.0,210.0,1
XE,2887.0,EWR,BWI,2,470.0,76.0,0
FL,30.0,ATL,MDW,5,525.0,112.0,0
DL,2060.0,MIA,ATL,4,964.0,121.0,0
WN,1717.0,OAK,AUS,1,600.0,205.0,1
AA,335.0,LGA,ORD,6,900.0,170.0,0
AS,583.0,SNA,PDX,2,885.0,148.0,1
9E,4210.0,MEM,STL,3,1180.0,75.0,0
B6,597.0,HPN,MCO,4,1180.0,165.0,1
WN,1533.0,ABQ,ELP,1,1085.0,55.0,1
CO,1703.0,LAX,EWR,1,515.0,318.0,1
FL,1051.0,MCO,ABE,1,945.0,143.0,0
OH,6556.0,MSY,CVG,2,1010.0,124.0,0
OO,7046.0,DEN,TUL,2,612.0,90.0,0
CO,1535.0,EWR,PHX,5,405.0,340.0,0
MQ,4650.0,LGA,ATL,1,360.0,150.0,0
CO,89.0,IAH,EWR,4,360.0,200.0,0
US,1715.0,DCA,FLL,3,885.0,154.0,0
F9,796.0,PDX,DEN,7,904.0,143.0,1
WN,941.0,ISP,BWI,3,745.0,75.0,1
WN,1529.0,SNA,SMF,6,1025.0,85.0,0
WN,3333.0,PHX,TUL,1,970.0,135.0,1
OH,6349.0,DTW,LIT,1,932.0,147.0,0
AA,1991.0,DCA,DFW,6,710.0,210.0,0
XE,2212.0,IAH,BTR,4,1055.0,61.0,0
B6,746.0,SJU,MCO,7,980.0,187.0,1
DL,1213.0,ROC,ATL,5,940.0,144.0,1
CO,1663.0,RSW,IAH,3,1100.0,162.0,0
F9,358.0,DEN,TPA,5,700.0,204.0,1
UA,626.0,ORD,PHL,6,1096.0,129.0,0
US,834.0,CLT,PVD,4,1189.0,111.0,0
UA,931.0,SFO,LAX,3,1129.0,92.0,1
OH,6550.0,DCA,JFK,4,545.0,81.0,1
CO,328.0,EWR,CLT,3,1065.0,128.0,0
HA,146.0,HNL,OGG,5,520.0,37.0,0
DL,2583.0,ATL,SLC,7,500.0,265.0,0
AA,371.0,LGA,ORD,2,1235.0,150.0,1
DL,1691.0,ATL,TPA,3,1370.0,86.0,1
WN,1026.0,PVD,MCO,1,465.0,190.0,0
OO,6291.0,LAX,ELP,7,760.0,111.0,0
9E,4109.0,PVD,DTW,2,983.0,136.0,0
XE,2856.0,BRO,IAH,4,450.0,84.0,0
AA,593.0,STL,ORD,3,840.0,75.0,0
9E,3718.0,ERI,DTW,4,350.0,65.0,0
OH,6341.0,DTW,ATW,6,545.0,99.0,0
FL,131.0,ATL,TPA,7,1345.0,82.0,0
DL,1192.0,SLC,DCA,5,620.0,240.0,0
EV,5216.0,STL,DCA,5,1195.0,122.0,1
US,1928.0,PHL,PVD,3,1230.0,64.0,0
YV,2944.0,AUS,CLT,1,425.0,157.0,0
AA,684.0,AUS,JFK,3,600.0,215.0,1
WN,1559.0,PHX,SFO,6,1155.0,130.0,0
DL,1138.0,STL,ATL,4,1135.0,99.0,1
XE,2530.0,GSO,EWR,1,884.0,105.0,0
WN,199.0,PHX,SMF,1,1190.0,125.0,0
XE,2941.0,DFW,IAH,5,670.0,64.0,0
EV,7123.0,ORD,CMH,4,676.0,71.0,0
OO,6887.0,DEN,ATW,1,657.0,140.0,1
OO,6911.0,ORD,MKE,7,560.0,42.0,0
EV,4965.0,ATL,SDF,1,725.0,80.0,0
YV,7288.0,ORD,ORF,6,855.0,119.0,1
OO,6920.0,ASE,DEN,2,620.0,55.0,0
WN,841.0,TUL,STL,6,900.0,70.0,1
UA,820.0,SFO,SEA,2,765.0,131.0,1
DL,1820.0,LAX,MEM,2,100.0,215.0,1
AA,1826.0,PSP,DFW,3,885.0,170.0,0
CO,1097.0,IAH,LAS,2,445.0,207.0,1
MQ,4041.0,BMI,ORD,2,995.0,55.0,0
UA,7.0,JFK,SFO,1,490.0,404.0,1
HA,18.0,HNL,LAS,7,925.0,345.0,0
DL,67.0,ATL,TPA,1,990.0,88.0,1
WN,1245.0,SJC,LAS,3,1305.0,75.0,1
UA,418.0,SAN,DEN,3,432.0,147.0,1
FL,477.0,BWI,ATL,2,768.0,125.0,0
DL,1679.0,CVG,SFO,5,560.0,317.0,1
DL,1262.0,MCO,BDL,6,675.0,154.0,1
MQ,4087.0,ABE,ORD,7,1145.0,150.0,0
OH,6389.0,MCI,CVG,4,915.0,107.0,0
WN,3232.0,JAX,FLL,4,450.0,70.0,0
AS,67.0,JNU,ANC,3,1210.0,108.0,0
B6,81.0,JFK,FLL,3,899.0,192.0,1
XE,2766.0,LFT,IAH,2,964.0,64.0,0
WN,1600.0,BWI,BHM,2,1220.0,130.0,1
EV,5242.0,XNA,MEM,2,700.0,66.0,1
OH,6265.0,DTW,ROC,3,825.0,81.0,0
WN,1854.0,DTW,MDW,1,640.0,75.0,0
OO,6894.0,PHX,LAX,5,1194.0,81.0,0
MQ,4488.0,CRW,LGA,2,400.0,99.0,0
WN,1610.0,MSY,MCO,5,455.0,100.0,0
DL,2649.0,EWR,MSP,3,1095.0,197.0,0
UA,627.0,DCA,ORD,6,1070.0,134.0,1
AA,201.0,JFK,LAX,5,390.0,385.0,0
WN,1566.0,PDX,SMF,1,1055.0,85.0,1
OO,6537.0,ORD,MKG,3,1075.0,51.0,0
CO,686.0,IAH,MCO,4,630.0,130.0,1
DL,1415.0,SAT,DTW,6,420.0,176.0,1
OO,4493.0,SLC,BZN,1,675.0,90.0,0
B6,118.0,MSY,JFK,2,610.0,164.0,0
UA,367.0,IAH,DEN,1,687.0,156.0,0
AS,661.0,DFW,SEA,5,830.0,265.0,1
FL,1454.0,HPN,PBI,4,793.0,174.0,1
OO,6982.0,DEN,TUL,7,812.0,96.0,0
OO,4490.0,SLC,PSC,6,1210.0,105.0,1
US,1920.0,JAX,CLT,6,550.0,86.0,0
WN,1056.0,LAS,RDU,3,575.0,265.0,1
FL,804.0,BOS,BWI,2,1150.0,90.0,1
WN,2986.0,LAS,SMF,2,460.0,90.0,0
AA,823.0,ICT,DFW,3,885.0,80.0,0
XE,2400.0,ORD,EWR,4,721.0,129.0,1
DL,2814.0,SEA,MSP,5,50.0,189.0,0
YV,2888.0,PHX,AUS,3,790.0,133.0,0
YV,1036.0,HNL,ITO,2,680.0,49.0,0
AA,528.0,LAX,MIA,7,360.0,280.0,0
WN,2992.0,STL,BNA,4,845.0,60.0,0
B6,463.0,BOS,RSW,3,990.0,216.0,1
MQ,3216.0,HOU,DFW,5,730.0,70.0,1
US,1774.0,MIA,CLT,5,1155.0,124.0,0
AA,2404.0,LAX,DFW,4,655.0,185.0,0
WN,2720.0,ABQ,DAL,2,360.0,95.0,1
UA,927.0,STL,SFO,3,1163.0,264.0,0
EV,5530.0,ATL,GTR,5,620.0,80.0,1
WN,3245.0,SJC,SEA,6,910.0,130.0,1
XE,5912.0,ORD,IND,7,580.0,54.0,1
US,92.0,PHX,PDX,4,1075.0,165.0,0
YV,2873.0,TUS,PHX,1,1230.0,49.0,0
WN,2001.0,LAX,DEN,6,1095.0,135.0,1
AA,1005.0,FLL,ORD,4,1230.0,190.0,0
WN,1217.0,LAX,HOU,3,555.0,185.0,1
CO,784.0,EWR,PDX,4,1020.0,376.0,1
YV,2630.0,CLT,IAD,1,970.0,83.0,0
XE,5950.0,ORD,FSD,4,655.0,96.0,0
OO,4757.0,SLC,OMA,3,585.0,135.0,0
AS,485.0,SAN,SEA,5,1150.0,170.0,0
WN,162.0,LAS,OAK,1,520.0,90.0,1
XE,3069.0,HRL,IAH,5,665.0,70.0,1
US,1904.0,CLT,PIT,5,480.0,85.0,1
AS,642.0,SEA,PHX,3,1210.0,164.0,0
AS,115.0,SEA,ANC,6,1110.0,223.0,0
XE,2293.0,IAH,CRP,1,1380.0,54.0,0
FL,1464.0,MCO,MDW,6,524.0,165.0,0
AA,885.0,AUS,DFW,2,1110.0,70.0,0
MQ,3804.0,PHL,ORD,3,940.0,145.0,0
9E,3868.0,ALB,DTW,5,765.0,119.0,1
DL,1046.0,SLC,ATL,4,735.0,214.0,0
US,1733.0,DCA,CLT,6,825.0,86.0,1
9E,3691.0,MEM,ATL,6,1110.0,85.0,1
OO,6735.0,DEN,MSO,3,629.0,133.0,0
DL,1738.0,ATL,DCA,3,1100.0,103.0,1
FL,791.0,ATL,STL,3,915.0,93.0,1
EV,5318.0,JAN,DCA,7,405.0,138.0,0
EV,5436.0,MLU,MEM,3,1022.0,68.0,0
MQ,4014.0,ORD,IND,5,610.0,60.0,0
EV,5480.0,ATL,LYH,4,1237.0,84.0,0
OO,6241.0,SFO,BUR,3,562.0,69.0,0
MQ,4305.0,ORD,IND,1,1170.0,60.0,1
MQ,2797.0,DFW,FSM,2,515.0,60.0,0
B6,155.0,JFK,MCO,6,360.0,168.0,0
XE,2433.0,IAH,LBB,6,683.0,86.0,0
