V1,V6,V10,V12,V13,V14,V15,target
55,2152.0,19,922.0,2,-1.0,0,2
59,679.0,30,761.0,4,-1.0,0,2
54,1693.0,30,1277.0,1,87.0,2,2
30,140.0,15,760.0,1,-1.0,0,2
51,0.0,8,124.0,2,-1.0,0,2
30,-208.0,13,108.0,1,-1.0,0,1
45,6993.0,20,283.0,1,-1.0,0,2
32,506.0,5,63.0,2,-1.0,0,2
37,2987.0,13,216.0,1,87.0,10,2
39,1048.0,21,405.0,1,-1.0,0,1
26,689.0,25,678.0,2,-1.0,0,2
30,1785.0,17,235.0,1,-1.0,0,2
58,1669.0,13,109.0,2,-1.0,0,1
37,0.0,18,850.0,2,-1.0,0,1
57,1166.0,9,106.0,1,-1.0,0,1
43,56.0,15,259.0,1,-1.0,0,1
39,426.0,18,1029.0,1,-1.0,0,2
47,1715.0,22,211.0,8,-1.0,0,1
33,136.0,18,30.0,2,336.0,13,1
53,0.0,22,77.0,9,-1.0,0,1
19,103.0,10,104.0,2,-1.0,0,2
32,354.0,4,239.0,1,196.0,8,1
40,1117.0,13,280.0,1,-1.0,0,1
47,4420.0,20,454.0,1,-1.0,0,2
35,0.0,21,199.0,3,-1.0,0,1
60,851.0,18,112.0,2,-1.0,0,1
44,280.0,5,193.0,2,-1.0,0,1
32,1279.0,3,1173.0,3,-1.0,0,2
65,3195.0,2,904.0,1,-1.0,0,2
32,2089.0,14,132.0,1,-1.0,0,2
36,4708.0,15,104.0,1,-1.0,0,1
40,2129.0,30,452.0,1,-1.0,0,2
32,35.0,17,324.0,3,126.0,3,2
47,831.0,5,316.0,3,-1.0,0,1
36,539.0,27,398.0,2,477.0,1,2
35,113.0,17,923.0,2,-1.0,0,2
27,-442.0,30,85.0,7,-1.0,0,1
44,982.0,20,650.0,3,-1.0,0,2
52,0.0,2,541.0,3,-1.0,0,2
51,1679.0,12,417.0,1,365.0,9,2
43,1854.0,30,323.0,1,-1.0,0,2
40,224.0,17,875.0,2,-1.0,0,2
52,1227.0,22,1123.0,4,-1.0,0,2
30,695.0,13,478.0,2,-1.0,0,1
62,557.0,14,185.0,1,-1.0,0,2
25,2399.0,3,193.0,2,-1.0,0,1
60,0.0,25,641.0,4,-1.0,0,2
32,3136.0,19,820.0,1,-1.0,0,2
29,238.0,25,344.0,2,88.0,1,2
36,871.0,12,396.0,3,-1.0,0,2
49,935.0,1,150.0,1,-1.0,0,1
57,2416.0,11,74.0,2,-1.0,0,1
32,0.0,19,303.0,3,-1.0,0,1
26,1327.0,30,171.0,4,-1.0,0,1
42,994.0,12,227.0,3,93.0,6,2
45,185.0,29,249.0,3,-1.0,0,1
52,955.0,17,301.0,2,134.0,4,2
42,636.0,20,91.0,2,-1.0,0,1
45,524.0,23,808.0,1,-1.0,0,2
29,0.0,28,296.0,1,-1.0,0,1
73,1609.0,14,169.0,2,-1.0,0,2
51,507.0,8,85.0,2,-1.0,0,1
37,33.0,6,326.0,1,-1.0,0,1
33,329.0,9,44.0,1,-1.0,0,1
60,11262.0,26,323.0,1,-1.0,0,2
32,46.0,14,485.0,2,-1.0,0,2
36,1392.0,15,205.0,2,-1.0,0,1
36,4596.0,8,234.0,2,175.0,2,2
31,416.0,11,33.0,2,-1.0,0,1
25,469.0,21,273.0,1,86.0,1,2
32,-428.0,13,518.0,1,-1.0,0,1
74,1765.0,11,290.0,2,-1.0,0,2
30,7529.0,19,328.0,1,-1.0,0,2
38,3278.0,19,645.0,14,-1.0,0,2
33,131.0,12,209.0,3,427.0,2,2
73,7111.0,12,146.0,1,-1.0,0,2
45,655.0,20,693.0,3,-1.0,0,2
52,36.0,11,930.0,1,-1.0,0,2
42,3082.0,11,285.0,1,-1.0,0,2
27,118.0,31,160.0,3,98.0,1,2
35,1201.0,18,537.0,1,-1.0,0,2
45,1214.0,28,118.0,2,-1.0,0,1
31,479.0,29,72.0,12,-1.0,0,1
35,141.0,20,728.0,1,-1.0,0,2
44,961.0,20,314.0,2,-1.0,0,1
26,2803.0,3,11.0,7,-1.0,0,1
37,141.0,6,848.0,1,364.0,3,2
44,399.0,16,148.0,9,-1.0,0,1
39,11887.0,18,1181.0,2,-1.0,0,2
35,207.0,26,312.0,1,-1.0,0,1
46,336.0,14,260.0,3,457.0,1,2
57,0.0,12,120.0,3,-1.0,0,1
34,0.0,14,1020.0,1,-1.0,0,2
53,395.0,29,136.0,1,148.0,1,2
22,185.0,8,153.0,1,-1.0,0,2
45,446.0,6,304.0,3,-1.0,0,2
46,273.0,10,583.0,6,53.0,6,2
35,0.0,9,17.0,1,-1.0,0,1
31,2667.0,2,73.0,2,-1.0,0,1
34,1085.0,11,101.0,7,-1.0,0,2
36,351.0,30,78.0,1,84.0,1,1
39,155.0,20,20.0,6,153.0,26,1
48,926.0,12,504.0,2,178.0,10,2
27,710.0,6,653.0,1,334.0,2,2
37,3665.0,12,664.0,3,-1.0,0,2
41,598.0,12,69.0,3,364.0,11,1
30,1772.0,13,158.0,4,-1.0,0,1
30,673.0,20,610.0,2,-1.0,0,1
28,7.0,25,50.0,3,-1.0,0,1
48,0.0,11,430.0,3,-1.0,0,1
59,434.0,12,63.0,3,-1.0,0,1
31,720.0,9,94.0,3,-1.0,0,1
39,3655.0,20,422.0,1,-1.0,0,1
40,2562.0,15,487.0,4,-1.0,0,1
33,1211.0,7,456.0,1,-1.0,0,2
56,445.0,7,59.0,2,-1.0,0,1
35,344.0,27,519.0,16,-1.0,0,2
58,2297.0,13,96.0,2,-1.0,0,1
30,274.0,11,97.0,2,-1.0,0,1
56,52.0,20,191.0,3,-1.0,0,1
52,1319.0,30,37.0,2,-1.0,0,1
59,4497.0,4,213.0,1,251.0,1,1
24,66.0,26,109.0,2,-1.0,0,1
39,1654.0,21,151.0,1,-1.0,0,1
37,197.0,16,251.0,3,-1.0,0,1
39,2454.0,4,716.0,3,263.0,2,2
30,617.0,27,192.0,2,-1.0,0,2
53,6.0,27,233.0,2,-1.0,0,1
44,2734.0,12,897.0,4,-1.0,0,2
33,22.0,5,71.0,1,-1.0,0,1
52,583.0,17,209.0,1,91.0,2,2
29,874.0,16,152.0,1,103.0,1,2
58,496.0,22,132.0,1,-1.0,0,2
56,1989.0,3,336.0,2,281.0,2,2
50,569.0,18,452.0,4,-1.0,0,1
33,1117.0,2,417.0,1,-1.0,0,2
26,512.0,30,206.0,5,239.0,3,1
31,685.0,15,552.0,1,329.0,3,2
54,300.0,20,562.0,2,-1.0,0,2
52,195.0,18,220.0,1,63.0,5,2
33,7621.0,21,68.0,1,-1.0,0,1
47,3663.0,30,364.0,3,-1.0,0,2
44,126.0,13,92.0,1,-1.0,0,1
34,69.0,25,296.0,1,205.0,2,2
40,0.0,15,435.0,1,-1.0,0,1
54,88.0,13,190.0,1,-1.0,0,1
54,191.0,17,44.0,1,-1.0,0,1
52,167.0,16,163.0,1,-1.0,0,1
53,0.0,31,36.0,4,-1.0,0,1
38,427.0,18,253.0,1,182.0,1,1
52,2104.0,3,210.0,2,-1.0,0,2
26,74.0,16,419.0,2,-1.0,0,1
40,275.0,13,409.0,4,-1.0,0,1
63,48.0,9,251.0,1,-1.0,0,2
39,3165.0,15,56.0,1,368.0,2,1
58,670.0,12,1272.0,1,-1.0,0,2
37,1590.0,9,121.0,5,315.0,3,1
49,377.0,22,158.0,1,59.0,2,1
23,1234.0,16,250.0,1,-1.0,0,2
24,556.0,8,278.0,1,94.0,4,2
52,148.0,13,83.0,1,-1.0,0,1
35,2427.0,12,175.0,3,31.0,10,2
54,8295.0,5,207.0,1,-1.0,0,2
52,-779.0,17,709.0,1,-1.0,0,2
33,7.0,18,55.0,1,-1.0,0,1
32,1815.0,10,235.0,1,102.0,2,2
60,404.0,5,308.0,2,196.0,2,2
45,-73.0,18,125.0,2,-1.0,0,1
42,994.0,11,149.0,1,78.0,5,2
39,0.0,20,286.0,4,-1.0,0,1
34,-315.0,8,56.0,2,-1.0,0,1
39,2630.0,12,651.0,5,-1.0,0,2
42,-465.0,23,102.0,1,-1.0,0,1
32,202.0,4,429.0,1,201.0,1,1
