MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
2.8981,26,3.0994318181818183,1.0,1638.0,2.3267045454545454,37.31,-121.93,True
3.8281,3,7.980769230769231,1.3942307692307692,272.0,2.6153846153846154,33.52,-116.8,False
5.1952,19,6.471810089020772,1.1869436201780414,1272.0,3.7744807121661723,33.92,-117.92,True
3.676,12,4.790322580645161,0.9863523573200993,2129.0,2.641439205955335,38.28,-122.04,False
2.7,14,4.097744360902255,1.0576441102756893,870.0,2.180451127819549,36.31,-119.34,False
2.1875,34,4.453947368421052,1.069078947368421,922.0,3.0328947368421053,35.35,-119.01,False
2.125,45,6.213235294117647,1.1397058823529411,343.0,2.5220588235294117,39.14,-121.91,False
3.5735,16,5.080419580419581,1.0454545454545454,904.0,3.160839160839161,39.79,-121.97,False
4.8088,32,5.285546415981199,1.0129259694477086,1818.0,2.136310223266745,37.9,-122.05,True
2.9016,25,5.339080459770115,1.1513409961685823,1247.0,2.388888888888889,38.65,-121.27,False
5.1641,33,6.191869918699187,1.0130081300813008,1784.0,2.9008130081300814,34.18,-118.64,True
3.375,46,5.24223602484472,0.9130434782608695,423.0,2.627329192546584,32.66,-117.09,False
5.0969,4,5.729942693409742,1.1540114613180517,3596.0,2.5759312320916905,38.06,-122.32,False
3.5812,12,4.4271457085828345,1.1307385229540918,2176.0,2.1716566866267466,33.78,-118.15,True
2.6962,36,4.096997690531178,1.1039260969976905,1648.0,1.9030023094688222,32.74,-117.25,True
10.2811,34,8.127371273712738,0.989159891598916,927.0,2.5121951219512195,37.45,-122.25,True
15.0001,52,8.461538461538462,1.2307692307692308,55.0,2.1153846153846154,37.19,-121.59,False
4.005,7,4.966767371601208,1.0211480362537764,1143.0,3.4531722054380665,36.84,-121.44,True
3.35,18,5.7106382978723405,1.0184397163120567,1731.0,2.4553191489361703,40.49,-122.31,False
4.8523,36,5.941666666666666,0.9791666666666666,698.0,2.908333333333333,33.96,-118.12,True
4.5746,13,5.500819672131148,1.0295081967213116,3683.0,3.0188524590163937,32.97,-117.04,False
3.6897,25,4.1437125748503,0.874251497005988,504.0,3.0179640718562872,38.57,-121.32,False
2.7969,38,4.626707132018209,1.078907435508346,2167.0,3.2883156297420335,37.79,-122.22,False
3.0187,16,5.7967914438502675,1.1871657754010696,782.0,2.090909090909091,35.41,-120.87,True
3.5192,9,4.863716814159292,0.9221238938053097,1663.0,2.943362831858407,38.57,-121.31,False
5.3344,12,7.594235033259423,1.2172949002217295,1357.0,3.008869179600887,38.58,-121.0,True
4.5606,31,4.437598736176935,1.052132701421801,1316.0,2.0789889415481833,33.71,-118.29,True
1.4552,52,1.9020866773675762,1.059390048154093,1007.0,1.6163723916532906,37.79,-122.4,True
4.1514,10,5.4706439393939394,1.053030303030303,2917.0,2.762310606060606,34.32,-118.46,True
1.0217,33,3.609375,1.078125,598.0,3.1145833333333335,37.64,-121.01,False
2.5179,45,4.938837920489297,1.033639143730887,823.0,2.5168195718654434,38.24,-122.63,False
4.4094,39,5.127345844504021,1.227882037533512,1378.0,1.8471849865951742,34.11,-118.27,True
4.1151,22,5.297491039426523,1.1505376344086022,1342.0,2.4050179211469533,33.77,-117.83,True
2.6397,29,4.469026548672566,1.0,411.0,3.6371681415929205,33.91,-118.1,False
3.5,43,4.5078740157480315,0.905511811023622,586.0,2.3070866141732282,37.53,-122.27,True
