sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,target
1,23,2,2,0,0,1,7,-1.0,1.0,3,7,0,0,4,2,737,-1
1,26,0,0,0,0,0,7,-1.0,1.0,3,9,0,0,7,0,1133,0
0,22,2,0,0,0,5,0,-1.0,1.0,7,4,2,0,4,2,603,0
1,21,2,3,0,0,0,1,-155.0,155.0,7,9,0,0,7,0,644,-1
1,30,0,0,0,0,0,2,-188.0,1.0,7,5,2,0,3,1,723,-1
0,23,2,5,0,0,0,0,-1.0,1.0,7,3,1,0,4,2,769,-1
1,31,0,0,0,0,0,1,0.0,0.0,3,2,1,0,1,1,518,-1
1,35,0,0,0,0,1,12,0.0,1.0,7,5,2,0,2,1,9,0
1,49,1,2,0,0,0,3,-1.0,1.0,3,7,0,0,0,1,696,0
1,32,0,0,2,0,2,11,0.0,0.0,3,9,0,0,6,2,50,-1
1,34,0,5,0,0,0,3,-1.0,1.0,7,1,1,0,1,1,774,-1
1,53,1,2,0,0,0,0,0.0,1.0,3,0,1,0,0,1,506,-1
1,22,2,0,0,0,0,0,-1.0,1.0,2,3,1,0,4,2,435,0
0,29,0,2,0,0,0,7,-1.0,1.0,3,5,2,0,2,1,500,0
1,24,2,3,0,0,0,0,-1.0,1.0,3,5,2,0,5,2,561,-1
0,58,1,2,0,0,0,0,0.0,1.0,7,0,1,0,0,1,621,-1
0,28,0,0,0,0,0,1,-43.0,43.0,3,4,2,0,4,2,195,-1
1,31,0,2,0,0,0,0,-1.0,1.0,2,7,0,0,4,2,457,0
0,24,2,0,0,0,0,1,-1.0,1.0,3,3,1,0,2,1,485,-1
0,50,1,0,0,0,0,2,-32.0,32.0,3,1,1,0,0,1,1123,-1
1,22,2,2,0,0,0,0,-1.0,1.0,8,2,1,0,4,2,894,0
1,58,1,3,0,0,0,1,-44.0,44.0,3,1,1,0,0,1,569,-1
