RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,target
0.988023952,38,1,0.729276896,2267.0,4,2,1,2,0,1
0.575158355,52,0,0.270810746,8300.0,4,0,1,0,0,1
0.020396861,37,0,0.311746368,17000.0,14,0,1,0,2,0
1.066021266,39,3,0.414672509,8900.0,10,0,2,2,3,1
0.17764445,58,0,0.217472816,8000.0,8,0,2,0,0,0
0.9999999,66,0,0.0,4097.0,0,0,0,0,0,0
0.60412637,22,0,0.163047225,2900.0,4,0,0,0,3,1
0.877499867,62,0,0.554985139,3700.0,7,0,1,0,1,1
1.036422067,34,1,0.598782873,4600.0,6,3,1,2,0,1
0.640058527,39,0,0.055984556,9841.0,9,0,0,0,2,1
0.701513853,56,1,0.430411007,5668.0,7,0,2,1,0,1
0.333989604,64,0,0.416111541,6454.0,9,0,1,0,0,0
0.960026649,26,2,0.201765775,3850.0,5,0,0,0,0,1
0.72828491,41,0,0.931149361,1800.0,8,0,0,0,2,1
0.007698637,55,0,0.226749812,9300.0,10,0,2,0,4,0
0.092476381,32,0,0.280494456,5500.0,8,0,1,0,0,0
0.0,63,0,0.0,10500.0,6,0,0,0,0,0
0.984942948,48,0,0.407869482,2083.0,4,1,0,0,3,1
0.302921378,70,5,0.730074979,3600.0,13,0,2,1,0,1
0.395038626,66,5,0.619793402,3000.0,8,0,1,2,4,1
0.402410463,53,2,0.362909273,4000.0,15,0,2,1,0,1
0.689748997,38,2,0.650817884,4584.0,13,1,2,0,0,1
0.999926265,39,0,0.131402698,10600.0,4,1,0,0,2,1
0.041191762,31,0,0.261369315,2000.0,3,0,0,0,0,1
0.9999999,64,0,0.0,15650.0,1,0,0,0,1,0
0.735627921,41,1,1.008330556,3000.0,4,0,2,0,0,1
0.9999999,68,0,0.129622937,8300.0,3,0,1,1,0,0
0.394904204,32,0,4.884368308,1400.0,8,0,3,0,1,0
0.06912495,45,0,0.092568784,11666.0,11,0,1,0,1,0
0.9999999,33,0,0.174510621,2400.0,2,0,0,0,2,1
0.607758101,40,2,0.250833187,5700.0,6,0,0,0,2,1
0.196665775,36,0,0.081955843,8650.0,5,0,0,0,1,0
0.0,22,0,0.0,75.0,1,0,0,0,0,0
0.036269005,68,0,0.153303219,7083.0,11,0,1,0,1,0
0.025491163,41,0,0.16765286,1520.0,7,0,0,0,0,1
2.197674419,39,1,0.866832526,7636.0,14,0,2,0,3,0
0.149807009,48,0,0.459012791,22750.0,17,0,4,0,2,0
0.707533235,56,0,0.280726606,12000.0,6,0,1,0,3,1
0.088014031,67,0,0.382123575,5000.0,9,0,1,0,0,1
0.97921867,39,0,1.154153811,8750.0,12,0,4,0,0,0
0.153692615,45,0,0.87187642,2200.0,7,1,1,1,1,1
0.9999999,23,0,0.0,1760.0,0,1,0,0,0,1
0.9999999,29,0,0.156614462,3000.0,2,0,1,0,1,0
0.0,81,0,3.994011976,500.0,6,0,1,0,0,0
0.0,43,0,0.421478926,6666.0,6,0,2,0,2,0
0.032171235,36,0,395.0,1.0,9,0,0,0,2,0
0.193513326,54,0,0.436581063,5100.0,6,0,1,0,2,0
0.963398376,43,2,0.128436839,5200.0,6,1,0,1,2,1
0.015346231,65,0,0.006079027,3618.0,12,0,0,0,0,0
0.984979005,56,0,0.311471646,13066.0,9,0,2,0,1,0
0.858205486,45,0,0.024877832,2250.0,6,0,0,1,1,1
0.01292102,75,0,0.174975004,7000.0,10,0,1,0,1,0
0.924179179,45,0,0.557725355,6400.0,14,0,2,0,4,0
1.115463635,31,1,0.854715095,3000.0,6,1,1,2,0,1
0.014549131,76,0,0.011522712,10500.0,11,0,1,0,0,0
0.277165305,56,1,0.381073088,4733.0,10,0,1,0,0,1
0.062767958,54,0,0.177861832,23000.0,12,0,2,0,2,0
0.028219436,69,0,0.024263432,1730.0,5,0,0,0,0,0
0.984185453,40,3,0.696919578,4836.0,22,0,1,0,1,1
0.681221252,52,0,0.069529652,4400.0,1,0,0,0,1,0
0.93235432,36,1,0.416373953,3700.0,4,0,0,1,3,0
0.92823081,57,0,0.719571231,5783.0,15,0,2,0,1,1
0.226177382,48,0,0.364377795,3800.0,3,0,1,0,0,0
0.997827032,32,0,0.318729785,3400.0,6,1,1,0,0,1
0.989357036,48,0,0.526689244,6200.0,15,0,2,0,2,1
0.110011595,59,0,0.040071636,13400.0,10,0,0,0,1,0
0.400469032,54,1,0.443867865,7900.0,20,0,1,0,3,0
0.568882,43,1,0.187384045,2155.0,3,1,0,1,0,1
0.269850967,64,5,0.598208707,4800.0,17,1,1,0,0,1
0.51590416,73,0,0.888808403,2760.0,10,0,2,1,0,1
0.015864553,60,0,0.08347913,4000.0,5,0,0,0,0,0
0.909599254,40,1,0.089616175,5835.0,5,0,0,1,4,1
0.190183371,59,0,0.051549828,9000.0,6,0,0,0,0,0
1.064701125,37,2,0.311034218,2600.0,5,0,0,4,0,1
0.425072804,35,1,2461.0,0.0,8,0,1,0,3,0
0.024988512,53,0,0.302809194,2740.0,8,0,1,0,0,0
0.123622157,52,0,0.242864054,6200.0,4,0,1,0,1,1
0.038022104,74,0,0.139440065,3678.0,16,0,1,0,0,0
0.0,45,0,0.189354276,4583.0,6,0,1,0,0,0
0.037233656,52,3,0.539812218,8200.0,9,0,3,0,2,0
0.94507086,45,1,0.552198688,9300.0,9,0,2,0,0,1
0.422420977,54,0,0.230077519,3224.0,5,0,0,0,3,0
0.0,60,0,0.38207724,8000.0,8,0,1,0,0,1
0.644946889,62,1,0.524380864,6500.0,8,0,1,1,0,1
0.081433134,60,0,0.279243465,8300.0,13,0,2,0,1,0
0.9999999,53,0,0.0,2900.0,2,1,0,0,0,1
0.829351536,41,3,0.279297023,13200.0,7,0,1,0,0,1
0.034334193,50,0,0.257105568,6895.0,9,0,1,0,1,0
0.957135123,69,0,0.416630576,6926.0,15,0,1,1,0,1
0.686493217,46,0,0.632982225,6075.0,9,0,2,0,1,0
1.014330945,51,2,0.377355803,21064.0,9,1,4,0,1,1
0.446267499,61,0,0.03583169,9125.0,3,0,0,0,0,1
0.724784402,42,1,1.016280217,4053.0,10,0,1,0,3,0
0.96100325,49,2,0.773226042,4100.0,9,0,2,0,3,1
