CountryID,Gender,ageRDATE,p2sumstake,p2sumbet,p2sumday,p2intvday,p2bpd,p2net,Zp2bpd1m,Zp2stakeSD1m,Zp2totalactivedays1m,Zp2stakeslope1m,target
620,1,21,6202.57,347,68,308,5.102941176,57.95,0.367245324,0.410294399,3.456178239,0.155682957,1
40,1,19,665.8765,57,26,540,2.192307692,116.0765,-0.239091972,-0.06947528,1.344292586,0.273148218,0
616,1,20,843.221,306,105,679,2.914285714,-27.4005,0.00760946,-0.23189846,0.288349759,-0.048841587,0
616,1,38,355.1172,31,20,458,1.55,76.5577,-0.430970863,-0.061990478,0.640330701,0.040428191,0
724,1,26,13622.0703,613,76,733,8.065789474,1860.0303,0.5444135,0.04268775,1.168302115,-0.090772564,0
276,1,24,6322.35,172,21,285,8.19047619,383.46,1.449442271,0.659081349,-0.063631183,-0.524302583,0
724,1,53,6746.67,741,29,64,25.55172414,103.93,4.448235228,0.622075716,0.288349759,-0.275753347,0
792,1,39,1198.2252,867,53,629,16.35849057,384.5283,4.749759199,-0.024200834,0.816321172,-0.029431542,1
756,1,32,710.8569,21,16,255,1.3125,-9.3301,-0.558890124,0.620077469,0.640330701,-0.26105117,0
276,1,27,8645.84,329,67,571,4.910447761,305.5,0.336544702,-0.020884429,0.46434023,0.108584634,0
792,1,22,225.6902,79,32,257,2.46875,21.3687,-0.143152526,-0.066934438,-0.239621654,-0.036214221,0
276,1,62,87013.23,7454,422,600,17.66350711,6030.7,1.077594213,0.081975893,4.160140124,0.139831363,0
792,0,23,1195.5915,101,56,617,1.803571429,57.9936,-0.430970863,-0.182523737,-0.591602597,4.895046124,1
300,1,33,187.0,13,6,37,2.166666667,187.0,-0.430970863,-0.149526524,-0.239621654,0.923964141,1
276,1,39,14539.1803,1537,142,652,10.82394366,1683.4403,0.988932932,-0.16091157,0.816321172,0.304015693,1
792,1,29,34.7289,9,6,99,1.5,18.3641,-0.622849754,-0.266386812,-0.415612125,-0.443269122,0
208,1,30,387.4219,123,23,233,5.347826087,13.7955,0.631742996,-0.114874206,1.344292586,0.057926317,0
276,1,52,13644.83,866,219,438,3.9543379,1004.29,-0.143152526,-0.080140279,2.224244941,0.017823338,0
792,1,24,517.767,32,16,263,2.0,99.0168,-0.403559593,-0.104670463,1.520283057,0.09173979,0
300,1,25,67712.71,1187,156,392,7.608974359,-3558.29,0.14466581,1.664057789,2.04825447,0.342643457,0
276,1,27,240.9886,66,37,520,1.783783784,7.0486,-0.430970863,-0.203495769,-0.591602597,-4.586665877,0
276,1,53,93.34,53,22,419,2.409090909,14.99,-0.622849754,-0.243763805,-0.239621654,-0.218470117,1
40,1,36,1700.41,212,30,345,7.066666667,283.17,0.172077081,-0.005116389,0.288349759,-0.221002451,1
276,1,38,70.0,9,4,37,2.25,70.0,-0.367011233,-0.200198376,-0.415612125,-0.05320371,0
208,1,22,99.0253,16,9,338,1.777777778,-93.7396,-0.526910309,-0.227206161,-0.239621654,0.480326535,1
616,1,31,1815.5042,536,79,656,6.784810127,421.9129,1.040100636,-0.134107367,0.640330701,0.650571525,0
276,1,26,70.9613,64,12,678,5.333333333,-27.5787,1.391878603,-0.244735999,-0.591602597,-0.419589845,0
276,1,32,1694.53,274,71,537,3.85915493,56.95,-0.082100152,-0.254177359,0.992311644,-0.081300254,0
616,0,26,6820.8527,1231,286,704,4.304195804,-174.2196,0.236433976,-0.233679518,3.104197297,0.209885122,0
300,1,29,793.1,37,22,530,1.681818182,25.09,-0.175132342,-0.132749515,-0.415612125,-0.05320371,1
792,1,32,790.4401,379,70,206,5.414285714,102.4881,0.010350587,-0.223544669,0.816321172,0.083930071,1
276,1,42,12634.91,353,51,293,6.921568627,45.1,1.211992143,2.801611998,1.872263999,0.388963684,1
276,0,52,16275.09,553,71,714,7.788732394,306.92,0.14466581,0.734497965,0.112359288,0.613139315,0
792,1,20,81.0796,88,22,422,4.0,12.9205,0.379184455,-0.228149477,0.640330701,0.401736266,0
276,1,18,9.5,7,4,267,1.75,5.97,-0.526910309,-0.265356114,-0.591602597,-0.8630236,0
276,1,31,5643.229,54,10,575,5.4,32.619,0.14466581,0.588763565,-0.239621654,0.099581449,0
276,1,18,107.88,107,25,279,4.28,7.58,-0.430970863,-0.240602916,-0.239621654,0.359179204,1
724,1,32,411.05,140,52,573,2.692307692,49.96,-0.121012654,-0.212129212,1.344292586,0.247632996,1
276,1,18,26.72,44,19,188,2.315789474,7.44,-0.143152526,-0.256271299,0.46434023,-0.159961818,1
724,1,24,2717.81,247,27,492,9.148148148,375.8,1.219187601,0.022446033,0.816321172,-0.361249113,0
276,1,17,134.75,21,6,313,3.5,86.99,0.096696088,-0.228451494,-0.239621654,0.123946603,1
442,1,26,30.5,30,5,263,6.0,25.4,1.487818049,-0.176002282,-0.591602597,3.441126195,0
276,1,33,111.0,16,7,142,2.285714286,-11.31,-0.478940586,-0.216186126,-0.239621654,-0.767183956,0
276,1,24,59.14,62,22,435,2.818181818,14.31,0.14466581,-0.231956655,-0.415612125,-0.098137331,0
616,0,30,789.4754,122,37,107,3.297297297,167.7293,0.134005872,-0.135069187,2.224244941,0.26746918,1
792,1,27,627.093,36,11,267,3.272727273,-78.5064,-0.143152526,-0.071422258,0.816321172,0.212028197,0
276,1,42,61740.59,2198,178,363,12.34831461,4786.2,3.107275891,4.880265016,3.456178239,0.191787886,1
276,1,45,271.32,142,48,419,2.958333333,34.3,-0.478940586,-0.234399232,0.46434023,-0.167766415,0
250,0,31,5275.53,105,20,388,5.25,684.92,0.464463962,1.149269837,0.640330701,0.240395725,0
792,1,19,25.4707,16,8,455,2.0,13.9672,-0.335031418,-0.264943712,-0.591602597,-0.462477455,0
792,0,27,242.226,189,43,337,4.395348837,-32.0682,0.616983081,-0.222491942,1.344292586,0.104201366,0
40,1,31,20921.2582,797,173,669,4.606936416,4820.4882,0.394108369,0.087386005,2.576225884,0.042379474,0
276,1,19,91.83,27,10,430,2.7,72.92,-0.111172711,-0.238131289,0.112359288,-0.022135729,1
250,1,27,12580.1764,615,51,367,12.05882353,837.6664,1.634548966,2.809859347,2.04825447,0.235431795,0
276,1,35,14234.77,6912,200,711,34.56,1495.1,2.123416876,-0.119761173,1.872263999,-0.074183471,1
276,1,27,103.7,95,46,369,2.065217391,14.52,-0.38833111,-0.257491381,0.640330701,-0.026192337,1
792,1,21,77301.7961,3634,219,270,16.59360731,633.9437,1.589400991,1.060919981,2.04825447,0.45088213,0
724,1,23,54041.44,2938,202,660,14.54455446,5242.04,-0.348737053,-0.213972446,0.288349759,-0.082683214,1
276,1,41,44095.45,22053,673,750,32.76820208,8374.64,-0.223741661,-0.2427677,3.456178239,0.03838016,0
792,1,26,46.0018,47,23,371,2.043478261,14.8013,-0.494930494,-0.262742014,1.168302115,0.150671772,1
276,1,28,22618.9556,845,63,309,13.41269841,261.7456,1.391878603,2.028471316,-0.591602597,3.536337055,0
276,0,37,1151.03,289,49,673,5.897959184,105.57,-0.411782974,-0.218237044,0.816321172,0.199805245,0
276,1,22,1396.58,128,50,675,2.56,88.1,-0.16931783,-0.131652264,0.992311644,-0.134721988,0
276,1,24,45654.3684,1676,258,681,6.496124031,829.8784,-0.268611801,-0.164849915,1.344292586,0.33716664,1
276,1,24,17394.64,1622,174,697,9.32183908,792.6,0.195833515,2.488012655,1.696273528,0.581022937,1
276,1,35,73021.7,1638,151,479,10.84768212,3452.77,2.111424445,0.362513495,3.280187768,0.051459885,0
276,1,27,96.5,25,10,365,2.5,31.17,-0.239091972,-0.214340641,-0.239621654,-0.241801438,0
276,1,22,5644.17,617,53,366,11.64150943,299.4,0.624363038,-0.188196567,0.46434023,-0.407947935,0
724,1,40,1310.28,51,20,275,2.55,77.49,-0.143152526,-0.142282766,-0.239621654,0.763618762,0
792,1,20,1144.8657,72,26,461,2.769230769,102.0214,-0.335031418,0.094035196,0.112359288,0.450458288,0
276,1,25,44.82,14,6,165,2.333333333,6.22,-0.239091972,-0.239963482,-0.415612125,-1.910206632,0
40,1,36,635.88,163,40,525,4.075,31.85,-0.239091972,-0.255655911,0.46434023,-0.318025811,0
792,1,26,41700.1995,2114,86,623,24.58139535,-289.2602,3.518536314,2.170975781,1.168302115,0.121130099,0
300,1,33,7138.67,555,63,378,8.80952381,2028.02,0.67515451,0.130329683,2.04825447,0.208747981,0
380,1,33,132.0,13,4,132,3.25,9.0,-0.175132342,-0.163962806,-0.415612125,0.457807272,1
