date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0.456086,0.510638,0.033055,0.54463,0.002268,0.505438,0.440789,DOWN
0.911376,0.702128,0.048607,0.515918,0.003197,0.532626,0.537281,DOWN
0.00938,0.978723,0.041732,0.555936,0.003467,0.422915,0.414912,DOWN
0.438166,0.148936,0.057614,0.158286,0.003467,0.422915,0.414912,DOWN
0.44706,0.638298,0.043653,0.540315,0.003031,0.573537,0.401754,DOWN
0.464448,0.148936,0.02678,0.127492,0.001797,0.234076,0.575439,DOWN
0.906907,0.276596,0.024859,0.126748,0.001629,0.066028,0.694737,DOWN
0.868103,0.702128,0.030863,0.567242,0.002029,0.585966,0.490789,DOWN
0.872262,0.489362,0.033055,0.421303,0.002048,0.339461,0.840351,UP
0.45206,0.787234,0.057914,0.767926,0.003928,0.669601,0.304825,UP
0.89912,0.404255,0.09169,0.628831,0.006182,0.634386,0.458333,UP
0.022123,0.553191,0.073586,0.280571,0.003467,0.422915,0.414912,UP
0.880581,0.787234,0.080731,0.548944,0.00555,0.55826,0.244737,UP
0.460997,0.085106,0.032755,0.344838,0.002212,0.340497,0.576754,DOWN
0.867749,0.808511,0.02588,0.460875,0.001647,0.345417,0.864474,DOWN
0.890138,0.276596,0.061337,0.606516,0.004146,0.561885,0.47193,DOWN
0.880757,0.765957,0.035127,0.434841,0.002216,0.384775,0.814912,UP
0.91142,0.659574,0.045605,0.479173,0.003051,0.554117,0.405263,DOWN
0.491261,0.297872,0.030443,0.384856,0.002106,0.396427,0.311404,DOWN
0.88943,0.106383,0.028612,0.243529,0.001778,0.367685,0.616667,DOWN
0.43852,0.12766,0.053951,0.172121,0.003467,0.422915,0.414912,DOWN
0.991018,0.361702,0.06521,0.651443,0.00446,0.581823,0.408772,DOWN
0.894518,0.978723,0.068872,0.619458,0.004576,0.576903,0.524561,DOWN
0.456661,0.617021,0.030353,0.477536,0.002071,0.541688,0.507456,DOWN
0.991018,0.617021,0.027291,0.471883,0.001865,0.512947,0.533772,DOWN
0.877129,0.425532,0.050048,0.616483,0.003486,0.524599,0.232456,UP
0.013716,0.808511,0.045034,0.52886,0.003467,0.422915,0.414912,DOWN
0.889607,0.12766,0.034856,0.241595,0.00227,0.344899,0.675439,DOWN
0.903234,0.340426,0.07836,0.504314,0.005287,0.539358,0.401754,UP
0.903323,0.829787,0.03945,0.48557,0.002709,0.534438,0.264474,DOWN
0.907703,0.680851,0.042722,0.459536,0.002914,0.516831,0.351316,DOWN
0.468829,0.361702,0.053681,0.527819,0.003583,0.34464,0.491667,UP
0.907615,0.191489,0.028672,0.171675,0.001874,0.257121,0.654825,DOWN
0.000575,0.340426,0.119731,0.5241,0.003467,0.422915,0.414912,UP
0.464493,0.170213,0.020265,0.065605,0.001354,0.161056,0.663158,DOWN
0.867838,0.510638,0.030233,0.589705,0.001963,0.647851,0.496053,UP
0.027432,0.574468,0.080131,0.550878,0.003467,0.422915,0.414912,UP
0.425468,0.255319,0.087697,0.364624,0.003467,0.422915,0.414912,DOWN
0.460289,0.021277,0.039,0.473073,0.002636,0.394614,0.495175,DOWN
0.912216,0.680851,0.085205,0.506397,0.005835,0.585189,0.295614,UP
0.433742,0.914894,0.041191,0.377566,0.003467,0.422915,0.414912,DOWN
