lineNo,assgNo,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,target
1715.0,53.0,1,0,139.0,159.0,159.0,139.0,57.5196,158.1779,124.3101,75.5414,48.8697,159.0,159.0,0.0,1,159.0,0.1829,0.1829,0.0708,6,1,1
8128.0,254.0,1,0,139.0,179.0,179.0,179.0,141.508,316.0775,65.2763,76.1052,93.0215,179.0,179.0,0.0,0,0.0,0.0874,0.2284,0.0353,2,2,1
9532.0,294.0,1,0,199.0,99.0,99.0,119.0,258.031,295.8382,205.0098,53.528,49.1172,99.0,99.0,0.0,0,0.0,0.1761,0.2606,0.0166,2,3,1
8139.0,254.0,1,0,80.0,159.0,159.0,159.0,516.7555,85.5132,560.2758,43.3503,45.2769,159.0,159.0,0.0,0,0.0,0.1764,0.2469,0.0314,5,1,1
5025.0,153.0,0,1,99.0,119.0,119.0,119.0,142.4254,152.4549,84.1487,56.7208,63.8318,119.0,119.0,0.0,0,0.0,0.3651,0.3131,0.0099,6,7,1
14.0,1.0,1,0,179.0,318.0,318.0,219.0,196.3288,102.5695,181.0442,37.8054,13.5,318.0,318.0,2246.0,0,0.0,0.34,0.34,0.0416,3,3,1
3339.0,102.0,1,0,0.0,99.0,99.0,99.0,0.0,780.2854,0.0,18.7216,21.7083,99.0,99.0,0.0,0,0.0,0.1125,0.3265,0.0177,4,7,0
191.0,5.0,0,0,99.0,298.0,298.0,219.0,235.6061,161.6168,182.6609,68.3411,61.4593,298.0,298.0,219.0,0,298.0,0.149,0.225,0.0266,1,2,1
10440.0,319.0,1,0,99.0,179.0,179.0,139.0,89.9347,201.575,168.6713,73.9797,59.785,179.0,179.0,0.0,1,417.0,-0.1038,0.2427,0.0318,1,1,0
3360.0,102.0,1,0,318.0,80.0,179.0,99.0,49.1757,134.0121,84.8764,110.4095,110.5045,179.0,89.5,0.0,0,0.0,-0.079,0.237,0.032,9,1,0
8491.0,268.0,1,0,179.0,258.0,258.0,179.0,131.5038,115.5011,83.8153,57.9159,72.092,258.0,258.0,0.0,0,0.0,0.0772,0.0927,0.0598,1,2,1
7768.0,239.0,0,1,99.0,99.0,99.0,119.0,106.0189,244.9908,57.1402,47.0425,64.7341,99.0,99.0,0.0,0,99.0,0.0721,0.3861,0.0141,5,2,1
4920.0,150.0,0,0,100.0,338.0,338.0,219.0,68.469,218.8293,128.7245,84.257,83.7929,338.0,338.0,0.0,0,0.0,0.2116,0.2116,0.0304,1,3,1
10511.0,321.0,1,1,99.0,199.0,199.0,139.0,1115.7699,369.6789,155.7081,1224.2128,131.0343,199.0,199.0,7035.0,0,337.0,0.3742,0.2622,0.0198,10,3,1
8877.0,280.0,1,0,99.0,100.0,100.0,119.0,162.2999,1385.84,226.241,65.0942,1071.5302,100.0,100.0,0.0,0,0.0,0.1852,0.2297,0.0127,7,1,1
3330.0,101.0,1,0,99.0,99.0,99.0,219.0,240.4189,135.2562,68.1175,190.7525,166.6591,99.0,99.0,0.0,0,0.0,0.2805,0.085,0.0255,5,4,0
6272.0,185.0,1,0,0.0,139.0,139.0,139.0,0.0,296.551,0.0,61.3514,81.3465,139.0,139.0,0.0,0,0.0,0.1365,0.258,0.0206,3,3,0
2974.0,91.0,1,0,20.0,299.0,299.0,179.0,163.233,71.6415,149.7531,27.8298,34.3984,299.0,299.0,0.0,1,299.0,0.7661,-0.3694,0.0267,3,2,1
2310.0,73.0,1,0,20.0,199.0,199.0,259.0,1442.3623,72.7633,330.0,1212.7087,80.6381,219.0,219.0,0.0,1,819.0,1.8132,1.4717,0.0135,10,3,0
7813.0,240.0,1,1,139.0,80.0,80.0,99.0,99.5301,470.802,38.2753,90.8639,79.577,179.0,179.0,3658.0,1,179.0,-0.0834,0.1181,0.0171,5,6,0
1719.0,54.0,1,0,179.0,99.0,99.0,80.0,130.173,359.0198,177.6288,52.1967,64.6239,99.0,99.0,0.0,1,99.0,0.1618,0.1653,0.0163,6,1,1
1257.0,40.0,1,1,119.0,80.0,80.0,219.0,154.2806,103.3852,175.8664,47.5946,33.7231,80.0,80.0,2105.0,0,0.0,0.2087,0.2087,0.023,5,1,1
3827.0,122.0,1,1,219.0,99.0,218.0,80.0,166.527,398.0314,258.4879,106.5188,107.4349,139.0,139.0,299.0,0,0.0,0.2428,0.2428,0.0247,1,1,1
570.0,18.0,1,1,139.0,139.0,139.0,119.0,129.3223,161.6447,221.4159,99.4309,108.7589,139.0,139.0,0.0,0,0.0,0.1138,0.1538,0.0229,8,1,0
5927.0,176.0,1,0,219.0,259.0,259.0,179.0,166.0188,178.1579,152.3975,17.3277,37.6431,259.0,259.0,0.0,0,0.0,0.0751,0.0526,0.0337,5,3,0
2617.0,78.0,1,0,379.0,279.0,279.0,339.0,190.983,177.799,147.299,87.6427,68.0165,399.0,399.0,0.0,0,399.0,1.2395,2.0375,0.0101,8,4,1
9092.0,286.0,1,0,139.0,119.0,119.0,119.0,322.9478,185.4036,224.8044,104.8725,94.9868,119.0,119.0,298.0,1,179.0,0.1552,0.3162,0.0132,1,4,1
10248.0,312.0,1,1,0.0,219.0,219.0,119.0,0.0,50.3289,0.0,34.442,23.9008,219.0,219.0,0.0,0,0.0,0.1313,0.2333,0.0317,2,2,0
7856.0,242.0,1,0,99.0,139.0,139.0,99.0,58.5085,103.5809,99.5038,45.722,47.5631,139.0,139.0,0.0,1,139.0,0.1123,0.1013,0.0317,2,2,0
1055.0,31.0,0,1,219.0,80.0,80.0,159.0,170.6605,79.5016,83.5225,96.5635,86.552,159.0,159.0,1372.0,1,159.0,0.1934,0.4949,0.0136,3,3,0
