P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,target
1026.0,0.466862,0.236842,0.24269,0.146252,0.785575,0.0,0.599138,0.00431,0.06681,0.491785,0.221983,0.978448,0.290252,0.080645,0.541667,P
603.0,0.467662,0.0,0.232173,0.146417,0.832504,0.0,0.642066,0.00369,0.00738,0.08446,0.0,0.98524,0.27027,0.032787,0.333333,N
833.0,0.492197,0.0,0.116447,0.089835,0.920768,0.0,0.807309,0.0,0.026578,0.019544,0.0,0.996678,0.022801,0.0,1.0,P
981.0,0.46789,0.118247,0.09684,0.082376,0.899083,0.0,0.772595,0.005831,0.049563,0.097368,0.110787,0.997085,0.460526,0.122222,0.4,N
7317.0,0.493918,0.009977,0.053711,0.036727,0.952576,0.0,0.891509,0.001715,0.029588,0.012283,0.008576,0.957118,0.031766,0.149701,0.222222,P
3186.0,0.507219,0.003139,0.062147,0.046497,0.919335,0.0,0.814503,0.005059,0.024452,0.094657,0.00253,0.994098,0.237405,0.072398,0.444444,P
8917.0,0.505551,0.010878,0.094875,0.065321,0.817427,0.004486,0.663825,0.007104,0.092356,0.069294,0.008525,0.986928,0.353346,0.046713,0.023256,P
233.0,0.48927,0.0,0.167382,0.084034,0.918455,0.0,0.813954,0.0,0.034884,0.054945,0.0,1.0,0.076923,0.166667,1.0,N
780.0,0.501282,0.0,0.151282,0.115681,0.9,0.0,0.741379,0.0,0.010345,0.013605,0.0,0.996552,0.180272,0.084746,0.0,P
1115.0,0.461883,0.244843,0.194619,0.156667,0.838565,0.0,0.659044,0.002079,0.029106,0.089015,0.239085,0.987526,0.308712,0.093023,0.714286,N
7432.0,0.459365,0.000404,0.224839,0.169736,0.802476,0.031889,0.642789,0.006076,0.027183,0.068236,0.00032,0.996802,0.305125,0.069887,0.658537,N
11451.0,0.480831,0.005414,0.215614,0.117914,0.835386,0.020173,0.705504,0.005569,0.048619,0.064704,0.002784,0.987578,0.308494,0.090054,0.275862,P
699.0,0.453505,0.002861,0.204578,0.183246,0.824034,0.0,0.633333,0.003333,0.026667,0.090909,0.0,0.996667,0.263636,0.038462,1.0,N
2937.0,0.466122,0.036432,0.116445,0.116071,0.842697,0.0,0.641295,0.004375,0.032371,0.0856,0.038495,1.0,0.5392,0.097134,0.583333,N
2490.0,0.472289,0.001205,0.158635,0.148402,0.799197,0.0,0.600189,0.005671,0.05482,0.072743,0.000945,0.996219,0.233129,0.05913,1.0,P
2148.0,0.494413,0.005587,0.190875,0.138122,0.881285,0.0,0.715496,0.001211,0.021792,0.208812,0.004843,0.894673,0.401341,0.123457,0.396825,N
217.0,0.483871,0.511521,0.129032,0.116071,0.880184,0.0,0.670886,0.0,0.0,0.091954,0.506329,1.0,0.448276,0.086957,1.0,N
46.0,0.478261,0.0,0.217391,0.125,0.891304,0.0,0.75,0.0,0.0,0.230769,0.0,1.0,0.346154,0.0,1.0,N
1631.0,0.477008,0.006131,0.122624,0.104338,0.880441,0.0,0.72549,0.004902,0.035948,0.057011,0.001634,0.998366,0.189522,0.147679,0.0,N
38.0,0.5,0.0,0.105263,0.157895,0.947368,0.0,0.857143,0.0,0.0,0.517241,0.0,1.0,0.241379,0.0,1.0,N
4093.0,0.469338,0.001222,0.189103,0.131676,0.827266,0.021744,0.673432,0.00246,0.043665,0.062284,0.000615,0.99016,0.258939,0.053004,0.636364,N
207.0,0.47343,0.0,0.135266,0.137615,0.942029,0.0,0.844156,0.0,0.0,0.134832,0.0,1.0,0.067416,0.133333,1.0,N
3974.0,0.462003,0.004278,0.183946,0.151544,0.77227,0.051334,0.653266,0.01005,0.076005,0.028083,0.002513,0.994975,0.368132,0.034682,0.583333,P
1359.0,0.485651,0.002208,0.192053,0.133047,0.879323,0.0,0.730561,0.0,0.027125,0.046552,0.003617,0.992767,0.206897,0.024096,1.0,N
8880.0,0.47241,0.006081,0.121622,0.097545,0.926126,0.015428,0.807137,0.002406,0.010024,0.121212,0.006816,0.190858,0.442565,0.255255,0.785714,N
10163.0,0.481452,0.036505,0.064843,0.055788,0.775066,0.0,0.594849,0.003136,0.089362,0.056424,0.03673,0.985666,0.286348,0.022478,0.196078,P
11714.0,0.47217,0.12054,0.061721,0.06437,0.713676,0.004951,0.512889,0.001067,0.090133,0.084025,0.107556,0.992356,0.513923,0.015821,0.283333,P
3828.0,0.482236,0.000523,0.090387,0.078708,0.901776,0.0,0.782918,0.007117,0.03274,0.099936,0.0,0.974377,0.37476,0.101617,0.826087,P
1019.0,0.494603,0.0,0.113837,0.08932,0.893032,0.0,0.749367,0.0,0.022785,0.23002,0.0,1.0,0.187135,0.033333,1.0,P
4254.0,0.484015,0.008698,0.099906,0.073804,0.952515,0.010108,0.895626,0.000768,0.013814,0.038376,0.006907,0.982348,0.050923,0.126582,0.705882,P
