V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,target
0.219531,1.0,0.375,0.623856,0.868176,0.948561,0.330195,0.0308159,0.414583,88.8093,71.2784,49.4306,21.9596,19.8097,14.3107,0.127508,0.280962,0.176577,59.925,2.15013,14.0557,7.31409,2.51139,5.7594,-0.983384,-1.07508,1.4205,66.2614,0.745833,-2.69791,13.9402,0.813565,13.5915,1.00003,-4.34751,0.738472,151.47,0.4,108.203,41.5404,-8.05802,53.2807,15.0388,199.157,52.8154,0.617209,0.422635,0.176471,140.051,-0.194835,22.3726,3.07857,0.0577199,0.236643,0
0.00207755,0.0833333,0.0388889,0.434825,0.310415,0.068871,0.031041,0.225627,0.358929,169.827,147.535,139.12,30.6335,36.3232,38.601,-0.439556,-0.395168,-0.330849,80.9176,3.90489,4.59016,7.94777,2.22115,2.88634,-0.556357,0.598057,0.638251,47.8683,0.475,-8.63266,70.8712,0.273768,3.23971,0.824045,-6.6037,1.98124,152.751,0.859375,124.277,17.1998,0.345512,32.9613,7.27542,169.254,53.2027,0.738329,0.449676,0.0184067,73.7712,1.05858,28.5123,17.6862,0.140156,0.288579,1
0.353542,1.0,0.775,0.465975,0.230751,1.16833,0.537777,0.0311006,0.543817,225.799,214.503,218.651,29.9115,38.0799,37.8905,-1.72128,-1.50273,-1.60703,93.5378,2.40433,-0.254122,6.96821,2.3841,1.06118,-2.08001,3.19026,2.99768,89.1212,0.397222,1.80678,20.5386,0.0953458,3.05544,0.543387,-0.591232,3.01357,207.219,0.313889,69.894,39.9451,0.0543803,28.4311,15.4964,99.8048,51.6297,0.190038,0.209417,0.0907473,193.336,-0.207032,3.17357,3.79776,0.44658,0.116102,1
0.544444,1.0,0.658333,0.486417,0.291778,1.06736,0.616396,0.0181654,0.172996,106.985,126.712,168.635,30.8759,27.6379,16.9382,0.259708,0.137236,-0.23118,75.1013,0.709718,-14.9509,6.72957,0.930645,5.40066,-0.0163941,0.972143,0.240762,80.4012,1.0,3.68586,47.9144,0.428372,10.5173,0.139172,-9.23785,0.0869482,104.113,0.175,63.2724,21.0948,-1.2741,8.36464,23.3772,115.939,29.7989,0.86704,0.517315,0.119678,129.287,0.206981,19.4629,16.708,0.00767361,0.194524,0
0.0401273,0.997917,0.0805556,0.375596,0.0290245,0.932416,0.0683389,0.130372,0.500828,112.798,140.798,185.934,17.3364,11.8591,6.6098,1.81275,1.71143,-1.35178,78.4739,-0.896454,-15.0586,2.71922,0.794536,2.99646,1.56132,0.345775,1.50743,74.4383,0.405556,-5.60419,30.745,0.152184,8.25535,0.430778,4.98222,-6.18973,70.9939,0.147222,185.771,19.1682,-0.306081,73.8006,3.58867,73.1437,41.9949,0.939008,0.433454,0.0708434,82.0469,2.89655,20.0195,2.45322,0.115532,0.784606,0
0.447523,1.0,0.710417,0.506745,0.587208,1.03783,0.543898,0.0166555,0.370055,117.837,101.457,94.0812,32.5839,32.1328,30.8258,1.05924,1.59465,1.96395,69.3294,3.37587,4.49704,8.26111,1.14367,1.9266,0.603749,-1.01192,-0.613152,30.6523,0.197222,-2.38772,21.5471,0.177012,12.7634,0.721121,-11.1539,2.62502,68.874,0.494444,125.649,15.9575,-1.39307,26.2478,12.5628,88.383,29.2777,0.509986,0.460732,0.0991029,55.2184,-2.23667,29.517,2.77494,0.00468171,0.821909,0
0.856563,1.0,1.0,0.489629,0.476019,1.06869,1.01906,0.0164849,0.143437,102.602,110.666,86.7473,46.051,48.8134,39.5803,0.609003,0.293383,0.858266,68.8993,-5.04037,8.35713,13.2911,6.62531,7.1321,-0.254782,0.382022,0.659596,66.3853,0.816667,-5.79172,21.4734,0.652477,7.78641,0.368427,1.20323,-0.772378,43.6778,0.0888889,112.496,50.2939,0.946442,32.0564,10.6928,130.841,13.2886,0.609501,0.203213,0.0308192,245.799,2.09743,7.21573,17.1941,0.186823,0.556847,0
0.0133565,0.197917,0.1,0.328359,0.435978,0.18182,0.0846576,0.089688,0.325146,122.89,108.698,72.2548,50.5727,48.8359,43.5981,-0.0376546,0.0996843,0.701668,69.1995,-1.15489,18.5465,14.13,8.63689,9.0927,-0.616292,1.54693,1.08856,79.7794,0.954167,22.4976,32.932,0.223778,4.71929,0.46448,1.57941,-0.410021,138.746,0.961111,159.846,44.1137,1.34519,28.8472,6.27507,76.981,4.59748,0.0944207,0.249065,0.0628728,95.5356,0.590566,25.7361,14.455,0.352164,0.214044,1
0.063287,0.229167,0.588889,0.750827,0.647373,0.124803,0.653789,0.0567849,0.531046,91.1135,77.3574,60.5029,34.9715,34.3374,32.333,1.41655,1.47546,1.54159,61.1148,1.67717,10.6794,10.3161,2.05739,3.1684,0.714204,0.30164,1.30578,76.6542,0.405556,1.37329,14.2963,0.125894,20.1459,0.57269,2.2723,-0.0774137,165.064,0.530556,71.1676,19.3983,11.3022,7.9316,6.4698,188.282,46.3104,0.931105,0.581587,0.0594126,160.888,-0.730668,62.347,10.8783,0.367367,0.989492,0
0.0405498,0.919444,0.0604167,0.461015,0.0241571,0.924167,0.0484974,0.102612,0.270028,154.916,148.115,145.151,39.448,43.1237,40.6493,0.685056,0.649569,0.776804,80.2201,1.37366,1.37048,8.98543,2.96397,3.81269,0.0585939,1.00279,0.290065,71.9916,0.788889,-7.7308,46.1548,0.33885,16.9909,0.145773,2.63114,1.48268,104.354,0.0916667,198.078,17.9639,0.878967,22.3424,12.3376,88.9122,42.0532,0.900519,0.345187,0.00956479,54.0252,0.0629368,52.2405,10.3899,0.0755035,1.15005,1
