value,rent,ftotinc,momloc,famsize,nchild,eldch,yngch,nsibs,age,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,target
18750.0,0.0,10650.0,2,4,0,99,99,1,7,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,286.0,N
999999.0,135.0,8650.0,0,2,0,99,99,0,23,22,18,2550.0,2550.0,0.0,0.0,0.0,0.0,0.0,352.0,P
22500.0,0.0,19850.0,2,4,0,99,99,1,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,N
999999.0,225.0,13150.0,2,4,0,99,99,1,18,24,47,2050.0,2050.0,0.0,0.0,0.0,0.0,0.0,342.0,P
22500.0,0.0,24850.0,0,2,1,45,45,0,71,0,0,1750.0,0.0,0.0,0.0,650.0,0.0,1050.0,501.0,N
18750.0,0.0,10050.0,0,5,3,7,3,0,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,N
999999.0,135.0,8550.0,0,4,2,2,1,0,23,21,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,N
22500.0,0.0,22650.0,0,3,1,6,6,0,46,40,79,18050.0,18050.0,0.0,0.0,0.0,0.0,0.0,501.0,P
42500.0,0.0,48050.0,0,3,1,18,18,0,54,27,19,48050.0,0.0,48050.0,0.0,0.0,0.0,0.0,501.0,P
999999.0,190.0,15350.0,0,4,2,22,20,0,43,31,65,14050.0,14050.0,0.0,0.0,0.0,0.0,0.0,406.0,P
999999.0,145.0,8950.0,2,5,0,99,99,2,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,204.0,N
30000.0,0.0,14050.0,0,5,3,10,5,0,38,35,68,14050.0,13650.0,0.0,0.0,0.0,0.0,350.0,321.0,P
18750.0,0.0,5050.0,0,2,1,7,7,0,27,41,68,5050.0,5050.0,0.0,0.0,0.0,0.0,0.0,200.0,P
50000.0,0.0,10350.0,0,2,0,99,99,0,71,0,0,750.0,0.0,0.0,0.0,0.0,0.0,750.0,467.0,N
18750.0,0.0,12150.0,2,3,0,99,99,0,17,16,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,N
16250.0,0.0,12950.0,2,4,0,99,99,1,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,N
42500.0,0.0,13750.0,0,3,1,18,18,0,44,26,72,-9.0,150.0,-7.0,0.0,0.0,0.0,-3.0,479.0,P
999999.0,200.0,1950.0,0,1,0,99,99,0,91,0,0,1950.0,0.0,0.0,0.0,450.0,0.0,1450.0,111.0,N
42500.0,0.0,6950.0,2,6,0,99,99,3,7,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,142.0,N
999999.0,250.0,23850.0,0,6,4,19,10,0,39,25,44,3050.0,3050.0,0.0,0.0,0.0,0.0,0.0,472.0,N
999999.0,0.0,12950.0,2,3,0,99,99,0,51,24,47,8650.0,8650.0,0.0,0.0,0.0,0.0,0.0,451.0,N
42500.0,0.0,29250.0,0,2,0,99,99,0,70,22,61,950.0,0.0,0.0,0.0,950.0,0.0,0.0,501.0,P
999999.0,0.0,16550.0,0,2,0,99,99,0,54,29,27,9450.0,0.0,7150.0,0.0,0.0,0.0,2250.0,501.0,P
8750.0,0.0,5850.0,0,2,0,99,99,0,53,25,19,2350.0,0.0,2050.0,0.0,0.0,0.0,250.0,238.0,P
999999.0,165.0,18050.0,0,2,0,99,99,0,43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,N
999999.0,110.0,5750.0,2,5,0,99,99,2,5,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,131.0,N
42500.0,0.0,23150.0,0,5,2,8,7,0,33,42,84,18050.0,18050.0,0.0,0.0,0.0,0.0,0.0,501.0,P
30000.0,0.0,27750.0,0,3,0,99,99,1,52,26,72,9250.0,9050.0,0.0,0.0,0.0,0.0,150.0,501.0,P
30000.0,0.0,12050.0,2,4,0,99,99,1,3,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,324.0,N
30000.0,0.0,17250.0,0,5,3,19,16,0,50,17,11,15850.0,8050.0,7550.0,0.0,0.0,0.0,250.0,373.0,P
22500.0,0.0,9150.0,2,5,0,99,99,2,3,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,209.0,N
22500.0,0.0,11650.0,2,5,0,99,99,2,14,3,27,50.0,50.0,0.0,0.0,0.0,0.0,0.0,266.0,P
18750.0,0.0,8250.0,0,10,9,20,4,0,36,0,0,3850.0,0.0,0.0,0.0,0.0,3850.0,0.0,112.0,N
22500.0,0.0,12050.0,0,3,1,12,12,0,54,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,N
999999.0,135.0,13650.0,2,5,1,5,5,1,28,22,18,2050.0,2050.0,0.0,0.0,0.0,0.0,0.0,295.0,P
30000.0,0.0,21150.0,0,6,1,39,39,0,59,22,51,6750.0,6550.0,0.0,0.0,0.0,0.0,150.0,418.0,N
16250.0,0.0,3450.0,0,1,0,99,99,0,67,29,32,3450.0,0.0,0.0,0.0,0.0,0.0,3450.0,196.0,N
18750.0,0.0,3050.0,0,2,0,99,99,0,67,21,9,1650.0,0.0,0.0,0.0,1650.0,0.0,0.0,138.0,N
999999.0,85.0,7050.0,0,1,0,99,99,0,24,41,72,7050.0,7050.0,0.0,0.0,0.0,0.0,0.0,369.0,P
50000.0,0.0,50000.0,2,4,0,99,99,1,7,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,N
22500.0,0.0,9650.0,2,5,0,99,99,2,11,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,220.0,N
999999.0,95.0,10350.0,2,5,0,99,99,2,4,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,236.0,N
999999.0,0.0,6450.0,0,1,0,99,99,0,73,24,47,6450.0,0.0,0.0,0.0,1750.0,0.0,4650.0,367.0,N
30000.0,0.0,1250.0,0,1,0,99,99,0,74,25,44,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,71.0,N
999999.0,0.0,50000.0,2,3,0,99,99,0,25,24,47,8050.0,8050.0,0.0,0.0,0.0,0.0,0.0,501.0,P
13750.0,0.0,9750.0,0,6,3,21,13,0,46,23,18,5550.0,5550.0,0.0,0.0,0.0,0.0,0.0,189.0,P
50000.0,0.0,3950.0,0,5,2,19,17,0,50,29,32,1850.0,0.0,1850.0,0.0,0.0,0.0,0.0,85.0,P
999999.0,150.0,11150.0,0,2,1,37,37,0,63,22,51,7050.0,7050.0,0.0,0.0,0.0,0.0,0.0,454.0,P
999999.0,275.0,9550.0,0,1,0,99,99,0,27,18,31,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,501.0,N
50000.0,0.0,24150.0,2,3,0,99,99,0,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,N
22500.0,0.0,13350.0,0,5,3,10,1,0,28,25,44,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,305.0,N
999999.0,135.0,14150.0,2,6,0,99,99,3,3,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,289.0,N
50000.0,0.0,21550.0,0,7,5,19,5,0,39,0,0,150.0,0.0,0.0,0.0,0.0,0.0,150.0,379.0,N
18750.0,0.0,14750.0,1,8,0,99,99,6,12,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,236.0,N
999999.0,125.0,26650.0,2,5,0,99,99,2,9,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,N
999999.0,75.0,6850.0,0,2,0,99,99,0,29,25,22,1750.0,1750.0,0.0,0.0,0.0,0.0,0.0,279.0,P
999999.0,135.0,17350.0,0,3,2,6,5,0,33,11,16,17350.0,3050.0,0.0,0.0,0.0,0.0,14250.0,501.0,P
42500.0,0.0,21350.0,0,3,1,19,19,0,57,39,68,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,501.0,N
22500.0,0.0,20950.0,0,1,0,99,99,0,72,23,18,20950.0,20950.0,0.0,0.0,0.0,0.0,0.0,501.0,P
18750.0,0.0,5250.0,0,5,3,8,3,0,47,36,49,5250.0,5250.0,0.0,0.0,0.0,0.0,0.0,120.0,N
999999.0,0.0,50000.0,0,3,1,16,16,0,53,22,51,6450.0,6450.0,0.0,0.0,0.0,0.0,0.0,501.0,P
999999.0,175.0,5850.0,0,1,0,99,99,0,26,25,48,10650.0,10550.0,0.0,0.0,0.0,0.0,50.0,501.0,P
42500.0,0.0,24550.0,0,6,4,11,7,0,48,45,82,21550.0,18450.0,0.0,0.0,0.0,0.0,3050.0,501.0,P
30000.0,0.0,14150.0,2,6,0,99,99,3,11,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,289.0,N
30000.0,0.0,14950.0,2,6,0,99,99,3,4,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,305.0,N
8750.0,0.0,6150.0,2,12,0,99,99,9,2,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,87.0,N
18750.0,0.0,35250.0,0,2,0,99,99,0,23,24,47,22150.0,15050.0,0.0,0.0,0.0,0.0,7050.0,501.0,P
999999.0,235.0,5650.0,0,1,0,99,99,0,25,18,31,5650.0,5550.0,0.0,0.0,0.0,50.0,0.0,296.0,P
30000.0,0.0,12850.0,2,5,0,99,99,2,12,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,294.0,N
999999.0,80.0,9950.0,2,4,0,99,99,1,6,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,267.0,N
999999.0,125.0,6550.0,0,2,0,99,99,0,27,41,68,2050.0,0.0,1550.0,0.0,0.0,450.0,0.0,267.0,N
42500.0,0.0,6050.0,0,5,3,15,7,0,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,N
22500.0,0.0,12050.0,0,1,0,99,99,0,72,0,0,12050.0,0.0,0.0,0.0,0.0,0.0,12050.0,501.0,N
999999.0,125.0,11350.0,0,5,3,20,11,0,53,23,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,N
50000.0,0.0,17650.0,7,7,4,14,10,0,42,41,68,15050.0,15050.0,0.0,0.0,0.0,0.0,0.0,310.0,P
42500.0,0.0,14250.0,0,2,0,99,99,0,54,31,67,14250.0,0.0,14050.0,0.0,0.0,0.0,150.0,501.0,P
30000.0,0.0,15150.0,0,6,4,16,9,0,42,11,11,3050.0,3050.0,0.0,0.0,0.0,0.0,0.0,309.0,P
50000.0,0.0,11450.0,2,3,0,99,99,0,18,11,16,1350.0,1350.0,0.0,0.0,0.0,0.0,0.0,399.0,P
22500.0,0.0,10050.0,0,4,2,5,3,0,34,31,65,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,270.0,P
42500.0,0.0,23250.0,2,3,0,99,99,0,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,N
42500.0,0.0,26250.0,0,4,2,5,3,0,34,61,93,26250.0,26050.0,150.0,0.0,0.0,0.0,0.0,501.0,P
999999.0,200.0,12150.0,0,2,0,99,99,0,61,79,92,12150.0,0.0,10050.0,0.0,0.0,0.0,2050.0,495.0,P
18750.0,0.0,11250.0,2,4,0,99,99,1,17,20,8,850.0,850.0,0.0,0.0,0.0,0.0,0.0,302.0,N
