V1,V2,V3,V4,V5,target
-0.435492,-0.528405,1.364409,1.309614,-0.136583,2
-0.168276,-0.09966,1.030024,0.279456,-0.492147,1
0.234841,1.192697,-1.388669,-0.739041,-0.34572,1
-0.223756,2.503279,-1.339101,-0.816039,0.510378,1
-0.295586,-0.107897,0.850746,-1.148859,2.439037,2
0.192351,1.425267,-1.138792,-0.687408,-0.315454,1
0.831745,0.317539,-1.275623,-0.009881,-1.14073,2
-0.564398,1.670221,-1.405362,0.970507,-0.778238,2
0.203222,-0.06737,1.332154,0.463729,0.606334,2
-0.688146,-0.925685,0.953876,0.985371,1.087868,1
2.699199,-1.791232,-0.709932,-0.386324,-0.279651,1
-0.697055,-0.850339,-0.107534,1.191201,-0.136583,2
-0.558367,0.700909,-0.202647,-0.138919,0.104111,1
0.380719,1.480234,-1.290687,-0.727043,0.079998,1
-0.368606,1.579745,0.158932,0.737843,0.814055,2
-0.455681,-0.891768,1.375788,0.419732,0.642962,2
-0.471517,0.9964,0.516501,0.360504,-0.136583,1
-0.261839,-0.824677,1.649498,0.906567,0.830566,2
-0.326434,1.079203,1.497709,-1.25101,-0.677501,1
0.570499,-0.576545,1.097744,1.579987,-0.855962,2
0.343222,1.20554,-1.268547,-0.167209,1.604112,1
-0.774167,-0.72326,0.163015,2.070526,-1.557412,2
-0.511087,0.38314,-0.129982,-0.807483,-0.359062,1
-1.137807,0.114227,1.647099,-1.435279,-0.136583,1
-0.36832,1.671478,-1.490068,-0.849332,-0.4462,1
0.634873,-0.529634,0.638315,-1.142202,-0.79663,2
-0.411935,-0.893117,1.584382,0.678091,0.886073,2
0.08878,-0.822622,0.601359,1.283476,2.497356,2
-0.639784,-0.146554,1.295868,-1.150412,-0.545663,1
-0.299072,-0.941001,0.804702,0.332808,0.943898,2
-0.438024,0.101608,0.983495,0.464968,1.09277,2
-0.836991,-1.171899,-0.477351,1.237878,3.040578,1
1.262031,0.014105,-1.089847,-0.34753,0.034495,1
-0.482463,-0.123783,1.694428,-1.4702,-0.136583,1
-0.689006,-0.228394,1.660639,0.893247,-0.751814,1
-0.788947,-1.073977,-0.437752,0.715785,3.085261,1
0.719207,0.764935,0.883822,0.205913,-0.423742,2
0.570499,-0.57637,1.097582,1.579987,-0.855705,2
-0.256927,0.398932,1.475709,0.388306,-0.579654,2
-1.689673,-2.514591,-1.870246,-1.590399,-0.980192,2
-0.588204,-0.895498,1.109857,0.587108,1.876774,1
-0.473394,1.59891,-0.03729,0.197446,-0.136583,1
-0.52404,0.063819,0.692052,-1.221839,-0.681202,2
-0.479199,1.591343,1.356305,-1.009993,-0.459917,2
0.777432,0.363,0.908492,-0.828739,-0.363845,1
-0.701895,0.405747,1.354046,0.469904,1.106067,1
-0.778757,-0.236983,-0.129084,1.15414,1.873873,2
-0.616891,0.03663,2.17066,-1.485165,-0.722757,1
0.406,1.054739,-1.13836,-0.653154,0.052571,1
-0.807944,-0.811796,0.127978,0.613143,-0.136583,2
-0.26591,-0.034235,0.774803,0.511191,2.517091,2
