f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,target
72,77,76,71,102,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,P
115,77,76,71,94,0,39,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
80,78,77,71,94,0,44,19,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,P
89,77,82,73,94,0,0,47,32,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,P
57,119,76,71,94,0,0,0,0,0,7,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
41,77,76,71,94,2,19,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
99,77,76,71,94,31,50,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
80,80,78,71,94,3,25,39,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,P
77,77,76,71,94,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
56,77,89,92,94,0,23,23,0,0,0,0,0,0,0,0,0,0,0,16,7,1,0,0,0,0,P
99,108,76,74,94,0,0,44,19,0,0,56,5,0,0,0,0,0,0,0,0,2,0,0,0,0,N
52,96,76,72,100,0,0,0,0,0,42,20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,P
94,77,76,72,94,0,17,36,31,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N
78,77,79,71,94,2,0,19,25,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,P
116,121,76,71,94,0,0,25,37,0,6,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
149,87,76,71,94,63,18,0,0,47,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
61,121,77,71,94,0,37,9,0,0,3,0,9,37,1,0,0,0,0,0,0,0,0,0,0,0,N
102,89,76,71,94,0,50,12,0,0,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
74,77,76,72,100,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,P
76,78,77,71,94,0,6,56,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,P
16,102,117,71,94,0,3,0,0,0,0,1,0,0,0,45,13,0,0,0,0,0,0,0,0,0,N
75,77,76,72,94,0,2,21,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P
59,77,78,76,94,0,0,24,25,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,P
71,111,76,71,94,0,0,0,0,5,44,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,N
64,78,85,71,94,11,43,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,P
104,77,76,71,94,0,28,21,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
74,78,85,71,94,0,0,21,44,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,P
94,98,76,71,94,0,25,37,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
92,77,88,115,94,57,26,2,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,N
74,96,77,71,97,56,6,0,0,0,0,0,11,11,1,0,0,0,0,0,0,0,0,0,1,1,P
61,77,76,71,94,0,42,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
20,77,128,82,94,0,0,4,3,0,0,0,0,0,0,0,0,19,29,0,0,0,0,0,0,0,N
72,79,82,71,94,0,0,19,44,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,P
56,81,81,71,94,5,42,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,P
116,77,76,71,94,57,7,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
56,77,79,75,94,0,0,41,5,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,P
66,77,76,71,94,0,0,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
90,102,76,71,94,42,5,0,0,0,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
78,77,76,71,94,0,2,32,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
56,144,95,71,94,0,0,0,0,0,17,62,6,0,28,15,0,0,0,0,0,0,0,0,0,0,N
81,107,76,71,94,28,30,0,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,P
77,78,78,71,94,0,2,2,31,31,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,P
54,77,76,71,94,0,0,14,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
141,100,76,71,94,8,71,0,8,12,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
68,78,76,71,94,0,9,39,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
110,88,76,71,94,0,0,28,18,30,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
18,77,108,134,94,0,0,0,2,3,0,0,0,0,0,0,0,0,0,33,35,0,0,0,0,0,N
68,114,87,71,95,0,0,0,0,49,13,0,0,10,34,0,0,0,0,0,0,0,0,0,0,0,N
99,77,77,71,94,0,0,14,78,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,N
64,132,91,71,94,0,0,48,5,0,0,0,0,47,13,0,3,7,0,0,0,0,0,0,0,0,N
87,104,76,72,97,0,0,0,32,14,12,49,0,0,0,0,0,0,0,0,0,0,0,0,2,0,N
16,110,118,77,97,1,2,0,0,0,0,0,0,0,4,60,3,0,0,0,0,0,4,1,0,0,N
93,104,76,71,94,0,0,0,3,41,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
77,77,76,71,94,0,1,40,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
14,80,91,114,96,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,33,0,0,2,0,0,N
87,87,79,71,94,0,0,17,7,29,36,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,P
59,77,79,71,94,0,0,0,37,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,P
44,96,80,71,94,2,3,1,0,0,20,25,0,0,0,2,3,0,0,0,0,0,0,0,0,0,P
71,77,76,71,94,22,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
77,78,77,71,94,0,0,8,12,46,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,P
13,77,95,119,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,2,0,0,0,0,N
91,85,79,71,94,0,0,13,17,28,33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,P
45,95,76,71,94,0,3,5,0,0,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
76,79,76,71,94,0,1,0,21,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
71,80,76,71,94,0,3,0,0,49,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
65,78,78,71,94,37,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,P
148,77,76,71,94,0,46,35,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
79,77,76,71,94,19,46,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
57,128,106,71,94,0,0,3,0,0,52,9,0,0,23,35,0,0,0,0,0,0,0,0,0,0,N
61,92,76,71,94,0,0,3,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
111,110,76,71,94,0,31,31,0,0,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
60,80,76,93,147,0,1,0,28,18,0,6,1,0,0,0,0,0,0,0,0,0,0,18,25,0,N
74,77,78,73,94,0,0,0,1,63,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,P
77,77,76,72,103,0,8,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,P
15,77,150,73,94,0,0,2,0,0,0,0,0,0,0,0,1,55,2,2,0,0,0,0,0,0,N
91,82,78,71,94,12,15,56,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,N
115,77,76,71,94,12,50,18,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
129,79,76,71,94,0,0,0,55,63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
59,147,79,71,94,2,1,0,0,2,59,0,0,51,8,0,0,0,0,0,0,0,0,0,0,0,N
77,77,76,71,94,0,1,45,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
130,77,76,71,94,0,79,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
76,139,91,71,94,0,23,23,8,12,0,0,0,28,47,0,0,0,0,0,0,0,0,0,0,0,N
57,125,76,71,94,0,0,0,46,0,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,N
59,77,76,71,94,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
91,88,76,71,94,0,0,2,24,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
57,119,76,71,94,0,0,0,0,0,34,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,N
70,80,76,71,94,22,32,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
69,77,76,71,94,3,49,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
62,77,76,71,94,5,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
80,77,76,71,94,50,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
84,95,76,71,94,1,0,7,41,0,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
87,104,76,71,94,0,0,9,37,0,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
18,97,124,71,94,0,0,2,1,2,0,0,0,0,0,24,33,1,0,0,0,0,0,0,0,0,N
84,91,136,72,94,0,0,0,0,31,60,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,N
70,121,78,78,94,0,0,0,0,0,32,74,0,0,0,0,0,0,0,0,4,2,0,0,0,0,N
82,77,76,71,94,0,63,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
24,80,89,115,94,0,5,5,0,0,1,2,0,1,1,0,0,0,0,0,39,1,0,0,0,0,N
26,149,79,72,94,6,4,2,0,0,0,0,6,70,0,0,0,1,2,0,0,0,0,0,0,0,N
93,77,78,71,94,6,17,38,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,N
59,80,76,73,101,0,0,0,32,14,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,P
72,77,76,71,94,0,0,47,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
69,82,76,71,94,0,0,0,0,44,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
84,160,121,77,97,0,0,12,50,0,0,0,52,24,0,30,28,0,0,0,0,0,5,1,0,0,N
78,77,76,71,94,0,3,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
13,99,105,73,94,0,0,0,0,0,0,0,0,0,7,36,0,0,4,1,0,0,0,0,0,0,N
130,94,76,71,94,0,16,63,3,0,51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
109,85,76,71,94,0,11,38,0,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
114,77,76,71,94,0,0,62,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
95,98,76,71,94,1,51,12,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
100,77,76,71,94,0,0,41,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
40,97,76,71,95,0,0,0,4,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P
20,115,82,71,94,0,5,3,0,0,0,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,N
50,88,76,71,94,2,1,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
43,98,77,82,94,0,0,0,0,0,20,33,0,0,0,0,0,0,0,0,1,7,0,0,0,0,P
76,77,76,71,94,0,2,41,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
18,115,86,82,94,0,1,2,1,1,0,0,0,19,27,0,0,0,0,0,2,6,0,0,0,0,N
49,89,76,71,94,0,0,1,3,1,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
80,87,77,71,94,50,12,0,4,2,3,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,P
76,77,76,71,94,0,0,47,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
81,77,76,71,94,2,3,32,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
56,81,81,71,94,0,28,18,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,P
91,102,98,71,94,0,6,27,50,0,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,N
51,83,80,74,94,1,0,0,0,18,27,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,P
48,91,77,71,94,0,0,1,3,0,37,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
14,78,94,109,94,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,23,0,0,0,0,0,N
119,88,76,71,94,0,0,71,8,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
94,84,76,73,122,0,0,0,1,62,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,N
61,77,76,71,94,2,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
97,94,76,71,94,12,50,0,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
83,77,76,71,94,25,46,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
84,92,76,71,94,0,0,0,32,14,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
97,110,95,121,109,0,0,32,14,0,18,59,0,0,0,0,0,3,16,0,0,7,31,0,0,0,N
62,89,76,72,96,1,1,0,0,12,49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,P
107,85,76,71,94,18,28,0,0,28,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
77,121,94,72,97,50,15,0,2,1,0,0,0,4,55,0,0,0,0,0,0,0,0,0,2,1,P
56,77,104,98,94,0,0,0,41,5,0,0,0,0,0,0,0,0,8,32,0,0,0,0,0,0,N
