V1,V5,V6,V8,V14,V15,V17,V18,V19,V20,V21,V22,target
84.0,2,14,2,1,0,1,0,0,338.0,65.0,19,1
213.0,4,16,2,2,0,2,1,0,46.0,13.0,19,1
293.0,3,11,2,2,0,2,0,0,178.0,36.0,19,0
222.0,1,4,2,0,0,0,0,0,49.0,16.0,19,1
202.0,0,8,2,0,0,2,0,0,30.0,12.0,19,1
96.0,9,12,2,2,0,2,0,0,389.0,33.0,19,0
303.0,9,12,2,0,0,2,1,1,135.0,357.0,19,0
84.0,2,71,2,0,0,1,1,0,369.0,173.0,19,0
284.0,6,10,2,2,0,2,1,0,172.0,211.0,19,0
252.0,0,4,2,0,0,2,0,0,20.0,8.0,19,0
82.0,0,12,2,2,0,1,0,0,332.0,86.0,19,1
212.0,5,8,2,0,0,1,0,0,26.0,235.0,19,1
91.0,1,13,2,0,0,2,0,0,346.0,2.0,19,0
260.0,2,4,2,0,0,2,1,0,1.0,71.0,19,0
499.0,0,5,0,1,0,2,1,1,1.0,7.0,19,1
193.0,12,17,2,0,0,0,0,0,26.0,27.0,19,1
76.0,0,10,2,2,0,2,0,0,402.0,17.0,19,0
85.0,13,19,2,1,0,1,0,0,350.0,16.0,19,1
252.0,3,4,2,0,0,1,1,1,25.0,306.0,19,0
168.0,2,15,2,2,0,0,1,1,402.0,38.0,19,0
94.0,2,25,2,0,0,2,1,1,388.0,160.0,19,0
291.0,1,9,2,2,0,1,0,0,179.0,10.0,19,0
192.0,7,14,2,0,0,2,0,0,38.0,20.0,19,1
98.0,4,15,2,0,0,1,1,1,400.0,195.0,19,0
303.0,2,4,2,2,0,2,0,0,52.0,2.0,19,1
101.0,1,6,2,0,0,0,1,0,381.0,1.0,19,0
376.0,0,5,0,1,0,1,1,1,2.0,282.0,19,0
261.0,22,31,2,2,0,0,1,1,82.0,6.0,19,1
253.0,0,10,2,0,0,2,0,0,5.0,9.0,19,0
549.0,1,5,2,1,0,1,1,1,372.0,285.0,19,1
226.0,18,38,2,2,0,2,1,1,132.0,8.0,19,1
94.0,10,13,2,2,0,2,0,0,387.0,34.0,19,1
243.0,1,11,2,2,0,2,1,1,10.0,16.0,19,1
260.0,2,10,2,0,0,2,0,0,1.0,21.0,19,1
351.0,3,47,2,0,0,1,1,0,219.0,303.0,19,1
293.0,0,12,2,2,0,1,0,0,9.0,5.0,19,0
192.0,20,40,2,2,0,2,1,0,308.0,283.0,19,0
168.0,1,12,2,2,0,2,1,1,402.0,83.0,19,0
94.0,40,47,2,2,0,1,1,0,391.0,303.0,19,1
238.0,13,38,2,0,0,1,0,0,11.0,4.0,19,1
271.0,3,17,2,0,0,2,0,0,47.0,11.0,19,1
293.0,18,47,2,2,0,1,1,0,12.0,303.0,19,1
237.0,7,32,2,0,0,2,0,0,11.0,106.0,19,0
256.0,5,9,2,2,0,2,1,0,12.0,9.0,19,0
95.0,2,10,2,2,0,1,0,0,402.0,239.0,19,1
