Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,target
3,9,4,0,0,0,1.0,55,8,1490.0,1,7,414195.0,434445.0,-1.785934,53.806109,13,3,5,200.0,6144.0,0.0,1.0,3,2,1.0,45,7,0,0,9,3,2.0
1,9,18,0,0,10,1.0,68,10,1339.0,1,10,516390.0,185970.0,-0.32238,51.560611,1,2,1,28.0,0.0,0.0,1.0,1,1,2.0,68,10,0,0,9,5,2.0
2,9,3,0,0,0,1.0,31,6,2993.0,2,11,347100.0,429710.0,-2.8038990000000004,53.76104399999999,4,2,3,74.0,584.0,0.0,2.0,1,1,2.0,34,6,0,0,9,7,1.0
1,11,18,0,0,0,1.0,59,9,7300.0,2,14,530090.0,179670.0,-0.12718,51.501005,1,2,1,1.0,302.0,3214.0,1.0,1,1,1.0,48,8,0,0,11,6,1.0
1,98,18,0,0,0,1.0,24,5,2198.0,2,1,400606.0,291018.0,-1.9925,52.517045,20,1,1,305.0,0.0,0.0,1.0,1,1,2.0,16,4,1,1,0,1,1.0
1,9,18,0,0,0,1.0,21,5,1150.0,1,7,408220.0,296220.0,-1.880169,52.563751,20,3,5,300.0,4138.0,0.0,1.0,1,1,2.0,21,5,0,0,9,5,2.0
2,8,18,0,0,0,1.0,49,8,1968.0,2,3,525390.0,168490.0,-0.198815,51.40159,1,2,2,22.0,286.0,0.0,1.0,1,1,2.0,19,4,0,0,9,4,1.0
1,9,18,0,0,0,1.0,36,7,1598.0,1,3,524690.0,212810.0,-0.193131,51.800043,41,2,2,438.0,158.0,645.0,1.0,2,2,2.0,49,8,0,0,9,9,2.0
2,9,18,0,0,0,1.0,51,8,1289.0,1,15,336248.0,416880.0,-2.96584,53.644526,5,2,2,93.0,0.0,0.0,1.0,1,1,2.0,51,8,0,0,8,3,1.0
1,9,18,0,0,0,1.0,23,5,1248.0,2,3,471684.0,172829.0,-0.969817,51.449919,43,2,2,472.0,4.0,327.0,1.0,1,1,2.0,23,5,0,0,9,4,2.0
1,9,18,0,0,0,1.0,24,5,1198.0,1,11,412672.0,286682.0,-1.814853,52.477921,20,6,10,300.0,0.0,0.0,1.0,4,8,2.0,17,4,0,0,9,2,1.0
1,9,18,0,0,0,1.0,43,7,1780.0,1,16,458148.0,336618.0,-1.136531,52.923836,31,2,1,347.0,60.0,0.0,1.0,2,1,2.0,18,4,0,0,9,7,1.0
1,9,9,0,0,0,1.0,44,7,1598.0,1,2,451338.0,362360.0,-1.233724,53.155905,31,3,5,344.0,617.0,0.0,2.0,3,5,1.0,46,8,0,0,9,3,2.0
1,9,9,0,0,0,1.0,63,9,2720.0,2,7,147147.0,30544.0,-5.538686,50.120991,50,1,1,596.0,0.0,0.0,1.0,1,1,2.0,72,10,5,1,0,3,1.0
3,9,18,0,0,0,1.0,49,8,1997.0,2,5,518665.0,200954.0,-0.284505,51.694802,41,3,2,33.0,5378.0,0.0,2.0,1,1,1.0,20,4,0,0,4,6,2.0
1,11,5,0,0,0,1.0,49,8,4500.0,2,6,523180.0,178450.0,-0.22710500000000006,51.491587,1,1,1,11.0,306.0,0.0,1.0,1,1,2.0,80,11,0,0,11,10,1.0
2,9,9,0,0,0,1.0,39,7,1396.0,2,2,450679.0,357702.0,-1.244313,53.114101,31,2,3,340.0,6021.0,6021.0,2.0,1,1,2.0,57,9,0,0,9,6,2.0
1,19,18,0,0,0,1.0,19,4,2143.0,2,1,467873.0,411108.0,-0.976038,53.592165,14,3,5,211.0,180.0,0.0,2.0,3,4,1.0,33,6,0,0,9,6,1.0
2,9,18,0,0,0,1.0,21,5,1753.0,2,7,331481.0,139861.0,-2.981082,51.153885,52,3,2,607.0,5.0,0.0,2.0,2,2,1.0,22,5,0,0,9,3,2.0
1,9,9,0,0,0,1.0,24,5,3189.0,1,10,510881.0,222234.0,-0.390283,51.887645,40,2,1,421.0,505.0,0.0,1.0,2,1,1.0,46,8,0,0,3,2,1.0
1,9,8,0,0,0,1.0,21,5,1198.0,1,8,512590.0,180410.0,-0.37895,51.511409,1,2,1,27.0,0.0,4020.0,1.0,1,1,1.0,21,5,0,0,9,5,1.0
2,21,18,0,0,0,1.0,52,8,5880.0,2,2,538200.0,181730.0,-0.009605,51.517593,1,2,4,5.0,12.0,0.0,1.0,1,2,1.0,18,4,0,0,9,4,1.0
1,8,18,0,0,0,1.0,57,9,1598.0,2,1,450421.0,519237.0,-1.221711,54.565855000000006,17,2,2,243.0,1085.0,0.0,1.0,2,1,2.0,40,7,0,0,9,1,1.0
2,5,18,0,0,0,1.0,50,8,1137.0,1,14,449870.0,365340.0,-1.255212,53.18282900000001,30,2,2,321.0,6417.0,0.0,1.0,1,1,2.0,47,8,0,0,9,2,1.0
1,9,9,0,0,0,1.0,28,6,1149.0,1,13,585181.0,309752.0,0.736266,52.653871,36,2,2,400.0,47.0,538.0,2.0,2,2,2.0,67,10,0,0,9,8,2.0
1,9,18,0,0,6,1.0,42,7,1910.0,2,8,290224.0,79513.0,-3.552655,50.60497700000001,50,1,2,585.0,380.0,0.0,2.0,1,2,1.0,6,2,0,0,9,1,2.0
2,11,3,0,0,0,1.0,30,6,6700.0,2,4,346804.0,392913.0,-2.8020970000000003,53.43030600000001,5,2,6,90.0,58.0,57.0,1.0,2,1,1.0,30,6,0,0,11,1,1.0
2,9,17,0,0,9,1.0,24,5,1197.0,1,1,487140.0,337492.0,-0.705158,52.927776,32,2,3,355.0,52.0,0.0,2.0,2,2,1.0,60,9,0,0,9,2,2.0
1,19,5,9,0,0,1.0,35,6,2198.0,2,7,391380.0,298680.0,-2.12866,52.58585600000001,20,2,1,309.0,0.0,0.0,1.0,2,1,1.0,15,3,0,0,1,1,2.0
1,9,18,0,0,0,1.0,43,7,998.0,1,4,364658.0,167534.0,-2.509485,51.405723,52,1,1,611.0,0.0,0.0,1.0,1,1,1.0,3,1,5,3,0,7,1.0
1,9,18,0,0,0,1.0,30,6,1596.0,1,9,600345.0,224762.0,0.909709,51.885406,42,2,1,455.0,0.0,0.0,1.0,2,1,2.0,45,7,0,0,9,5,1.0
2,9,5,0,0,0,1.0,60,9,1598.0,1,2,398860.0,283440.0,-2.018201,52.448918000000006,20,2,1,303.0,456.0,0.0,2.0,1,1,1.0,58,9,0,0,9,8,2.0
2,9,18,0,0,0,1.0,61,9,1560.0,2,1,436186.0,431165.0,-1.452403,53.77557,13,3,2,204.0,1.0,0.0,2.0,3,2,2.0,23,5,0,0,9,10,1.0
1,9,18,0,0,0,1.0,31,6,1590.0,1,17,435740.0,336320.0,-1.469848,52.923111,30,2,2,323.0,601.0,0.0,2.0,2,1,1.0,49,8,0,0,9,1,1.0
2,9,18,0,0,0,1.0,39,7,2148.0,2,9,339055.0,372915.0,-2.914853,53.249734,7,2,1,130.0,41.0,0.0,2.0,2,1,2.0,39,7,0,0,9,5,2.0
1,9,18,0,0,4,1.0,25,5,1794.0,1,11,423162.0,447794.0,-1.648772,53.925766,12,3,2,182.0,6161.0,0.0,2.0,2,1,2.0,31,6,0,0,9,5,1.0
4,9,18,0,0,0,1.0,33,6,1596.0,1,1,491290.0,239768.0,-0.670196,52.048795,43,5,1,479.0,1.0,0.0,2.0,1,1,1.0,65,9,0,0,9,10,1.0
1,9,16,0,0,0,1.0,43,7,1968.0,2,8,411011.0,341154.0,-1.837502,52.967635,21,3,4,251.0,5030.0,0.0,2.0,2,2,1.0,39,7,0,0,9,7,1.0
1,9,18,0,0,6,1.0,21,5,1242.0,1,14,492462.0,238981.0,-0.653324,52.041527,43,2,2,479.0,1.0,0.0,2.0,1,1,1.0,21,5,0,0,9,2,1.0
1,9,14,0,0,0,1.0,37,7,1390.0,1,18,207789.0,66640.0,-4.709849,50.468002,50,2,2,596.0,0.0,0.0,1.0,1,1,1.0,37,7,0,0,9,4,1.0
1,9,18,0,0,0,1.0,26,6,1749.0,1,11,483451.0,163977.0,-0.802601,51.368733,43,2,5,470.0,7003.0,7003.0,1.0,2,4,1.0,10,2,0,0,9,10,2.0
1,9,5,0,0,0,1.0,27,6,1598.0,1,8,485602.0,238914.0,-0.753332,52.042025,43,2,2,479.0,9097.0,1098.0,1.0,2,2,1.0,44,7,0,0,9,9,2.0
1,9,4,0,0,0,1.0,55,8,1997.0,2,2,519700.0,299050.0,-0.235034,52.576103,35,4,1,394.0,0.0,1119.0,1.0,2,1,1.0,45,7,0,0,9,3,1.0
1,5,16,0,0,0,1.0,47,8,1352.0,1,5,456966.0,392463.0,-1.144182,53.42589200000001,14,4,4,213.0,631.0,0.0,2.0,3,3,2.0,12,3,0,0,9,5,1.0
2,9,17,0,0,0,1.0,54,8,1299.0,1,7,346600.0,313265.0,-2.791919,52.714395,22,2,2,286.0,4380.0,458.0,1.0,2,2,2.0,27,6,0,0,9,6,2.0
2,9,4,0,0,0,1.0,55,8,998.0,1,1,386092.0,219875.0,-2.203439,51.877266,53,4,3,623.0,4063.0,4041.0,1.0,1,1,1.0,23,5,0,0,9,9,2.0
2,9,18,0,0,0,1.0,43,7,1956.0,2,3,422226.0,441980.0,-1.663446,53.873552,13,2,4,204.0,658.0,0.0,1.0,2,3,1.0,14,3,0,0,9,8,2.0
2,9,3,0,0,0,1.0,34,6,1995.0,2,10,417277.0,186720.0,-1.752068,51.579081,54,3,2,633.0,4006.0,0.0,1.0,2,2,1.0,6,2,0,0,9,10,2.0
1,9,14,0,0,0,1.0,77,11,1596.0,1,7,359360.0,479170.0,-2.624563,54.20665200000001,3,2,4,65.0,65.0,0.0,2.0,1,1,1.0,77,11,0,0,9,6,1.0
1,9,18,0,0,0,1.0,27,6,1995.0,2,13,518190.0,184170.0,-0.29703,51.544059,1,2,1,28.0,4089.0,4089.0,1.0,1,1,1.0,27,6,0,0,9,4,1.0
2,9,18,0,0,0,1.0,58,9,1198.0,1,3,375210.0,398030.0,-2.374991,53.478405,6,2,1,107.0,60.0,60.0,1.0,2,1,2.0,58,9,0,0,9,6,2.0
1,9,7,0,0,0,1.0,64,9,1296.0,1,9,426296.0,427802.0,-1.602752,53.745935,13,1,1,204.0,0.0,0.0,1.0,1,1,2.0,79,11,5,9,0,3,2.0
1,9,6,0,0,0,1.0,21,5,1349.0,1,4,343043.0,392487.0,-2.858619,53.426084,5,2,4,90.0,5194.0,0.0,1.0,2,2,2.0,66,10,0,0,11,1,1.0
3,9,18,0,0,0,1.0,66,10,1339.0,1,9,256061.0,55140.0,-4.0257489999999985,50.378495,50,3,3,584.0,38.0,0.0,2.0,3,2,1.0,66,10,0,0,9,5,1.0
2,9,18,0,0,0,1.0,53,8,3200.0,2,9,249265.0,115993.0,-4.146046,50.923649,50,3,4,588.0,386.0,0.0,2.0,3,3,1.0,68,10,0,0,9,4,2.0
2,9,2,0,0,0,1.0,49,8,1769.0,1,13,487653.0,279807.0,-0.712853,52.409256,34,2,1,383.0,7053.0,7090.0,1.0,1,1,1.0,20,4,0,0,9,1,2.0
2,9,14,0,0,0,1.0,51,8,1999.0,1,3,444650.0,356150.0,-1.334594,53.100689,30,2,1,321.0,6019.0,0.0,1.0,1,1,1.0,44,7,0,0,9,3,2.0
1,9,18,0,0,0,1.0,32,6,1598.0,1,12,537000.0,187540.0,-0.024629,51.570094,1,2,2,13.0,1006.0,0.0,1.0,2,2,1.0,32,6,0,0,9,5,2.0
2,9,4,0,0,0,1.0,49,8,1896.0,2,12,535180.0,171580.0,-0.05698300000000001,51.427112,1,2,1,7.0,212.0,0.0,1.0,2,1,1.0,49,8,0,0,9,5,1.0
2,19,4,0,0,0,1.0,48,8,2143.0,2,1,455889.0,341021.0,-1.16937,52.96365,31,3,1,346.0,0.0,0.0,1.0,1,1,1.0,21,5,0,0,1,1,1.0
1,9,2,0,0,0,1.0,28,6,2496.0,2,11,456152.0,387401.0,-1.157329,53.380484,14,3,3,213.0,6463.0,0.0,2.0,2,2,2.0,52,8,0,0,19,4,1.0
2,9,18,0,0,0,1.0,28,6,1796.0,1,11,405690.0,286080.0,-1.917662,52.472625,20,2,3,300.0,4540.0,0.0,1.0,2,2,1.0,28,6,0,0,9,1,1.0
2,9,3,0,0,0,1.0,30,6,1248.0,1,2,407810.0,268190.0,-1.886863,52.311767,22,2,2,274.0,4023.0,0.0,2.0,2,1,2.0,30,6,0,0,9,8,2.0
2,9,4,0,0,0,1.0,31,6,1968.0,2,2,558450.0,188310.0,0.284972,51.571397,1,2,1,15.0,25.0,127.0,2.0,2,1,1.0,31,6,0,0,9,3,1.0
